,Epithelial,Fibroblast,Pericyte,Endothelial,CD4T,Macrophage,B,CD8T,DC,NK,Plasma,NKT,Mast,Monocyte
11898,U2AF1L4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11899,PSENEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11900,PROSER3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11901,ARHGAP33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11902,APLP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11903,NFKBID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11904,HCST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11905,TYROBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11906,LRFN3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11907,SDHAF1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11908,SYNE4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11909,ALKBH6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11910,THAP8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11911,POLR2I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11912,TBCB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11913,CAPNS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11914,COX7A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11915,ZNF565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11916,ZNF146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11917,LINC00665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11918,ZFP14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11919,ZFP82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11920,ZNF566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11921,ZNF260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11922,ZNF529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11923,ZNF529-AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11924,ZNF382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11925,ZNF461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11926,LINC01534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11927,ZNF567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11928,AC020928.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11929,ZNF790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11930,ZNF345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11931,ZNF829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11932,ZNF568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11933,ZNF420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11934,ZNF585A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11935,ZNF585B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11936,ZNF383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11937,LINC01535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11938,HKR1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11939,ZNF527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11940,ZNF569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11941,ZNF570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11942,ZNF793-AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11943,ZNF793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11944,ZNF571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11945,ZFP30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11946,ZNF607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11947,ZNF573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11948,SIPA1L3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11949,SPINT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11950,PPP1R14A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11951,C19orf33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11952,YIF1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11953,KCNK6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11954,CATSPERG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11955,PSMD8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11956,SPRED3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11957,FAM98C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11958,EIF3K,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11959,ACTN4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11960,CAPN12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11961,AC022144.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11962,LGALS7B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11963,ECH1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11964,HNRNPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11965,RINL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11966,SIRT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11967,NFKBIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11968,SARS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11969,MRPS12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11970,FBXO17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11971,FBXO27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11972,PAK4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11973,NCCRP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11974,GMFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11975,SAMD4B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11976,PAF1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11977,MED29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11978,ZFP36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11979,PLEKHG2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11980,RPS16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11981,SUPT5H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11982,TIMM50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11983,DLL3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11984,EID2B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11985,EID2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11986,DYRK1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11987,FBL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11988,PSMC4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11989,ZNF546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11990,ZNF780B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11991,ZNF780A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11992,MAP3K10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11993,CNTD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11994,AKT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11995,C19orf47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11996,PLD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11997,PRX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11998,SERTAD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11999,SERTAD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12000,BLVRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12001,SHKBP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12002,LTBP4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12003,NUMBL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12004,COQ8B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12005,ITPKC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12006,C19orf54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12007,SNRPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12008,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12009,RAB4B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12010,EGLN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12011,AXL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12012,HNRNPUL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12013,TGFB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12014,CCDC97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12015,TMEM91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12016,B9D2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12017,EXOSC5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12018,B3GNT8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12019,DMAC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12020,PCAT19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12021,CEACAM5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12022,CEACAM6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12023,RPS19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12024,ARHGEF1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12025,RABAC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12026,ZNF574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12027,POU2F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12028,DEDD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12029,ZNF526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12030,GSK3A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12031,ERF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12032,CIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12033,PAFAH1B3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12034,MEGF8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12035,CNFN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12036,LIPE-AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12037,LIPE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12038,CXCL17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12039,CEACAM1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12040,PSG4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12041,LYPD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12042,PHLDB3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12043,ETHE1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12044,XRCC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12045,IRGQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12046,ZNF576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12047,ZNF428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12048,CADM4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12049,PLAUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12050,SMG9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12051,KCNN4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12052,LYPD5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12053,ZNF283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12054,AC006213.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12055,ZNF45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12056,ZNF155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12057,ZNF230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12058,ZNF222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12059,ZNF224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12060,ZNF234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12061,ZNF226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12062,ZNF227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12063,ZNF112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12064,ZNF229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12065,ZNF180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12066,AC243964.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12067,PVR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12068,BCL3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12069,CBLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12070,AC092306.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12071,BCAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12072,NECTIN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12073,TOMM40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12074,APOE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12075,APOC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12076,CLPTM1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12077,RELB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12078,CLASRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12079,ZNF296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12080,GEMIN7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12081,MARK4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12082,PPP1R37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12083,TRAPPC6A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12084,BLOC1S3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12085,KLC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12086,ERCC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12087,PPP1R13L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12088,CD3EAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12089,ERCC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12090,FOSB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12091,RTN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12092,PPM1N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12093,VASP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12094,OPA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12095,EML2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12096,GIPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12097,SNRPD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12098,FBXO46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12099,SIX5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12100,DMPK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12101,DMWD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12102,SYMPK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12103,IRF2BP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12104,MYPOP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12105,CCDC61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12106,IGFL1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12107,PPP5C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12108,CCDC8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12109,PPP5D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12110,CALM3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12111,PRKD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12112,STRN4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12113,FKRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12114,SLC1A5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12115,AP2S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12116,ARHGAP35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12117,NPAS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12118,TMEM160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12119,ZC3H4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12120,SAE1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12121,BBC3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12122,CCDC9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12123,INAFM1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12124,C5AR2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12125,DHX34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12126,MEIS3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12127,KPTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12128,NAPA-AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12129,NAPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12130,AC010331.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12131,BICRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12132,EHD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12133,NOP53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12134,SELENOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12135,PLA2G4C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12136,LIG1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12137,ZSWIM9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12138,CARD8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12139,EMP3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12140,TMEM143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12141,KDELR1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12142,GRWD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12143,KCNJ14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12144,CYTH2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12145,LMTK3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12146,SULT2B1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12147,RPL18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12148,SPHK2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12149,DBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12150,CA11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12151,FUT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12152,MAMSTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12153,RASIP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12154,BCAT2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12155,HSD17B14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12156,PLEKHA4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12157,PPP1R15A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12158,NUCB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12159,BAX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12160,FTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12161,GYS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12162,RUVBL2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12163,SNRNP70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12164,LIN7B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12165,C19orf73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12166,PPFIA3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12167,TRPM4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12168,CD37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12169,TEAD2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12170,PIH1D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12171,ALDH16A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12172,FLT3LG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12173,RPL13A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12174,RPS11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12175,FCGRT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12176,NOSIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12177,PRRG2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12178,PRR12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12179,RRAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12180,SCAF1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12181,IRF3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12182,BCL2L12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12183,PRMT1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12184,AP2A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12185,FUZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12186,AC006942.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12187,MED25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
