,Epithelial,Fibroblast,Pericyte,Endothelial,CD4T,Macrophage,B,CD8T,DC,NK,Plasma,NKT,Mast,Monocyte
1832,RND3,RAPH1,SLC25A38,MAP2,SPON2,LMCD1,HOPX,DDX60,EPM2AIP1,NAA15,EAF2,GAR1,AIMP1,FGFRL1
1833,RBM43,PARD3B,RPSA,RPE,CTBP1,RAD18,REST,DDX60L,MLH1,AC097376.2,SLC15A2,FAM241A,PAPSS1,CTBP1
1834,NMI,NRP2,EIF1B,KANSL1L,MAEA,SRGAP3,NOA1,CBR4,LRRFIP2,MGST2,CD86,AP1AR,HADH,MAEA
1835,TNFAIP6,INO80D,ENTPD3,AC007038.2,UVSSA,THUMPD3-AS1,POLR2B,NEK1,GOLGA4,SCOC,CCDC58,TIFA,RPL34,UVSSA
1836,RIF1,NDUFS1,RPL14,LANCL1,SLBP,THUMPD3,IGFBP7,CLCN3,PLCD1,ELMOD2,FAM162A,LARP7,OSTC,AC147067.1
1837,ARL5A,EEF1B2,ZNF620,SPAG16,TMEM129,SETD5,CENPC,HPF1,ACAA1,ZNF330,KPNA1,CAMK2D,CASP6,SLBP
1838,CACNB4,ZDBF2,ZNF621,BARD1,TACC3,MTMR14,STAP1,HMGB2,MYD88,INPP4B,PARP9,SNHG8,PLA2G12A,TMEM129
1839,STAM2,FASTKD2,CTNNB1,ATIC,LETM1,BRPF1,UBA6,AC097534.2,OXSR1,USP38,DTX3L,METTL14,GAR1,TACC3
1840,FMNL2,KLF7,TRAK1,FN1,NSD2,OGG1,YTHDC1,SAP30,EXOG,SMARCA5,PARP14,SEC24D,FAM241A,NELFA
1841,PRPF40A,CREB1,CCK,XRCC5,NELFA,CAMK1,JCHAIN,FBXO8,WDR48,ANAPC10,HSPBAP1,USP53,AP1AR,C4orf48
1842,ARL6IP6,METTL21A,SEC22C,SMARCAL1,C4orf48,TADA3,UTP3,CEP44,GORASP1,ABCE1,DIRC2,C4orf3,LARP7,MXD4
1843,KCNJ3,CCNYL1,SS18L2,RPL37A,HAUS3,ARPC4,RUFY3,SPCS3,CSRNP1,OTUD4,PDIA5,MAD2L1,SNHG8,RNF4
1844,NR4A2,FZD5,NKTR,IGFBP2,MXD4,TTLL3,GRSF1,AGA,CX3CR1,ZNF827,SEC22A,TNIP3,PRSS12,FAM193A
1845,GPD2,PLEKHM3,HIGD1A,IGFBP5,ZFYVE28,RPUSD3,MOB1B,DCTD,SLC25A38,LSM6,HACD2,ANXA5,METTL14,TNIP2
1846,ACVR1,IDH1,SNRK,TNS1,RNF4,JAGN1,DCK,CDKN2AIP,RPSA,SLC10A7,CCDC14,EXOSC9,SEC24D,SH3BP2
1847,CCDC148,PIKFYVE,ANO10,ARPC2,FAM193A,IL17RC,ANKRD17,ING2,EIF1B,PRMT9,UMPS,KIAA1109,USP53,ADD1
1848,PKP4,MAP2,ABHD5,AAMP,TNIP2,CRELD1,RASSF6,RWDD4,ENTPD3-AS1,LRBA,ITGB5,SPRY1,C4orf3,MFSD10
1849,DAPL1,RPE,TCAIM,PNKD,SH3BP2,EMC3,CXCL8,IRF2,RPL14,RPS3A,ZNF148,MFSD8,MAD2L1,RGS12
1850,TANC1,KANSL1L,ZNF445,TMBIM1,ADD1,BRK1,CXCL1,CASP3,ZNF621,FBXW7,SNX4,LARP1B,ANXA5,LRPAP1
1851,WDSUB1,LANCL1,ZNF35,CTDSP1,MFSD10,VHL,CXCL3,PRIMPOL,CTNNB1,ARFIP1,SLC41A3,PGRMC2,EXOSC9,TMEM128
1852,BAZ2B,IKZF2,KIAA1143,USP37,NOP14-AS1,IRAK2,CXCL2,SLC25A4,ULK4,PLRG1,PLXNA1,JADE1,KIAA1109,LYAR
1853,AC009506.1,SPAG16,ZDHHC3,CNOT9,NOP14,TATDN2,MTHFD2L,CFAP97,TRAK1,CTSO,TPRA1,SCLT1,SPRY1,STX18
1854,AC009961.1,BARD1,EXOSC7,AC012510.1,HTT,GHRL,AREG,ANKRD37,SEC22C,C4orf46,PODXL2,C4orf33,ANKRD50,MAN2B2
1855,MARCH7,ATIC,TMEM158,ZNF142,LRPAP1,SEC13,PARM1,UFSP2,SS18L2,ETFDH,ABTB1,ELF2,ABHD18,MRFAP1
1856,CD302,FN1,LIMD1,BCS1L,TMEM128,HRH1,RCHY1,CYP4V2,NKTR,PPID,MGLL,NDUFC1,LARP1B,S100P
