B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT	Pericyte	Plasma
NA	NA	NA	NA	NA	CRIP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACTL6A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VLDLR	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EIF3F	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GLRX3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C6orf48	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMBIM6	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TUBA1C	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPL11	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPL17	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NSMCE1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	STRAP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	STRA13	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARF6	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ADAMTS1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLIRP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C21orf59	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SARAF	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COPZ1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PLIN2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDUFA8	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MST1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPS33	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARL5A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITGB1BP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DPH3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SNAPIN	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SNRNP27	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COL9A2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RHEB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SAT2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ENY2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	THSD4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYB5B	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GARS	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CSRP2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PLSCR4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITGB4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NCOA7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PLD3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IK	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TCEAL2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PUF60	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IFT57	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMPO	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FOSL2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MIR22HG	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANG	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CAST	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	WSB1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	POLR2K	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SHMT2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GNB2L1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDRG2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ERBB3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ITM2A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TPGS2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GORASP2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UQCRH	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM49B	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TOMM20	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MGST3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DRAP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SBDS	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CIB1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HTRA1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ALDH1A1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VMP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRKCI	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TSPAN5	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GDI2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPAG16	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PROS1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPL22	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARL6IP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GSN	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MAGOHB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACADVL	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PSMC5	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PAICS	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NTMT1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	YWHAH	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DAZAP2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	THOC7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PKD2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BID	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TCP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EBNA1BP2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MTCH2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLIT3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ODC1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	THY1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LAMB1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARF3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COA3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CALM3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	STAU1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NSA2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDZD11	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RAB2A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CPSF3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AK1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTMS	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IGHG1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC25A25	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CTNNB1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPS5	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DSP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PSMB2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAIM	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RNASET2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	N4BP2L2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MED10	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PSMB1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMCO1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DDT	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ARF5	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CLTB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DPP4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL37A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACTN1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD9	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TCEAL1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RNASE1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LRRC23	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC16A1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP2B1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TLE4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CTSF	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CAPN1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	UQCRC1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PLPP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NPC2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LINC00998	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPL28	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TALDO1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	QPRT	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FKBP3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NFE2L2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATP5F1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AKAP12	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FOXO3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ETFB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NAP1L1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HOXB2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPAG7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPARC	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HDAC7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATPIF1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	STMN1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ATG3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MYL9	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD47	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RGS16	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PSMA4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CAPG	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PHF1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PMP22	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ECHS1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KRTCAP2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MCTS1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AP1M2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IRF1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HLA-E	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CTNNAL1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COPS8	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RBMS3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	C19orf24	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CYB5A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MAOB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MRPL24	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FCGRT	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BNC2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LDHB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TFG	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PCNA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CISD2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDKN1A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VIM	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TAPBP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MARCKS	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CRYAB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EIF3J	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SOD3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SEZ6L2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CTSD	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GPRC5A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CDON	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ADH5	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GBP2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PSMA2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CAPZA1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSP90AA1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EPAS1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FAM3C	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NNMT	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PIK3R1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ISOC2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DNALI1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EFHC1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GADD45B	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SH3GLB1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	H6PD	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MGST2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LYPLAL1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DST	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IGFBP7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD81	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SLC40A1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ECHDC2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSP90AB1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANXA3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	S100A4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EHD2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MAP1LC3A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DDX3X	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NDUFA7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AVPI1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CFB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	OBSL1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CPXM1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ZDHHC12	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TNFSF10	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SYNE2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ESD	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NR2F2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ROM1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FLRT3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PLK2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MT-ND4L	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ALDH2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PDLIM4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	STXBP2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GLT8D2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PLA2G16	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DAAM1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TMEM141	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SPON1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PTP4A2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRKCDBP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HEBP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KLK7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TNFAIP2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TSC22D1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LIMA1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DDIT4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MYADM	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SMARCA2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GPX3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ACAT1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MPHOSPH8	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CFI	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IL32	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRELP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TUBB4B	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SNHG19	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TUBA1A	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LINC00152	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TIMP3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HERPUD1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LEPROT	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	EGFL6	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	MT-ND2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CLEC2B	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	AHR	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LRP1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TPD52L1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SGCE	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COL6A2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SYNGR1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TUBB	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TCEAL3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ADCK3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	COL5A1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HNRNPA1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VAMP5	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LTBP4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DES	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NUPR1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SERPINB6	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RGS2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PRNP	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PCP4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PIM1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	BNIP3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	WDR13	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	KLK11	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	PPP1R15B	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	TM2D1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	GPC3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CFL2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HSD17B11	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HYI	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SNHG7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CALHM2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	IGFBP4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HIST1H2AC	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DHRS7	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	OAT	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	VPS51	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	DHRS3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	CD55	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	HLA-DRB5	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SERPINF1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NBL1	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	FGFR1OP2	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	ANXA4	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	LAP3	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	RPL22	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	SERINC1	NA	NA	NA	NA	NA	NA	NA	NA
