B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT	Pericyte	Plasma
NA	NA	EEF2	GUK1	UBC	LAMA4	PLAU	IRF2BP2	NA	NA	NA	NA	MXRA5	NA
NA	NA	USMG5	NXT1	SEMA3F	MGARP	CRIP2	FPR3	NA	NA	NA	NA	RPS24	NA
NA	NA	ETS1	ATP6V1F	SPP1	CCDC80	MARCKS	NACA	NA	NA	NA	NA	RHOB	NA
NA	NA	IGFBP6	CEBPB	MGST3	IGLC3	PRAME	STAB1	NA	NA	NA	NA	PRRX1	NA
NA	NA	C12orf75	NACA	BTG1	PAX2	C9orf16	PER1	NA	NA	NA	NA	GUCY1A2	NA
NA	NA	ITGB2	COL3A1	MKL2	MT1A	TUBB2B	RPL6	NA	NA	NA	NA	MOB2	NA
NA	NA	IGFBP7	VIM	PDLIM1	ASRGL1	OST4	FCGRT	NA	NA	NA	NA	IGHG4	NA
NA	NA	RARRES2	TMEM176B	MGP	FGF1	KRT18	CELF2	NA	NA	NA	NA	SMOC2	NA
NA	NA	LMNA	THBS1	PDK4	SPRR2F	CDH11	FCN1	NA	NA	NA	NA	UACA	NA
NA	NA	RPL5	HLA-DRA	ITGA2	SERINC2	HDLBP	RPS27	NA	NA	NA	NA	MT-CYB	NA
NA	NA	GZMM	CD9	IER2	SGK1	FAU	KCTD12	NA	NA	NA	NA	F2R	NA
NA	NA	PTGER4	CRIP1	IGFBP4	GNG11	SKIL	EGR1	NA	NA	NA	NA	DES	NA
NA	NA	H3F3A	SDF2L1	ABLIM3	TXN	ATOX1	C9orf72	NA	NA	NA	NA	HBA2	NA
NA	NA	MT2A	GNA15	IL32	CD74	MT-ND3	RPLP0	NA	NA	NA	NA	CD36	NA
NA	NA	TNFAIP3	CD40	RPS6	CCND1	PPIC	LMNA	NA	NA	NA	NA	FSTL1	NA
NA	NA	CAPG	RHOG	AGRN	ATP5G3	RPS20	CECR1	NA	NA	NA	NA	VCAN	NA
NA	NA	RPL22	SELK	BAALC	RAB4A	CTSB	RPL7A	NA	NA	NA	NA	C4orf48	NA
NA	NA	LYAR	RHOF	PCAT19	UPK3B	RAB31	PGAM1	NA	NA	NA	NA	CD9	NA
NA	NA	NA	IGSF6	FAM101B	OSR1	ACTA2	CLU	NA	NA	NA	NA	SOX4	NA
NA	NA	NA	RP11-160E2.6	HBA1	HN1	EPB41L4A-AS1	FCGBP	NA	NA	NA	NA	IFITM3	NA
NA	NA	NA	DEPTOR	IL6ST	TGFBI	RPL18	EEF1B2	NA	NA	NA	NA	A2M	NA
NA	NA	NA	RPS3	ABRACL	VGLL3	SNHG8	MAP3K8	NA	NA	NA	NA	MARCKSL1	NA
NA	NA	NA	PSMB5	RPS14	PFN1	CD24	SRGN	NA	NA	NA	NA	NREP	NA
NA	NA	NA	MYL9	OAZ1	MAL	PRELP	PABPC4	NA	NA	NA	NA	KCNA5	NA
NA	NA	NA	RPL17	SAT1	CMTM7	MXRA5	IGFBP6	NA	NA	NA	NA	RPL13A	NA
NA	NA	NA	PLAU	TGFBR3	TAGLN2	MAGED1	RBP7	NA	NA	NA	NA	CLU	NA
NA	NA	NA	FCGR2B	PODXL	GYPC	TMSB10	C1QA	NA	NA	NA	NA	SPON2	NA
NA	NA	NA	LILRB1	PTRHD1	NDN	LDHA	RPS20	NA	NA	NA	NA	RPL10A	NA
NA	NA	NA	CCT2	ACTN1	MIF	C1QTNF6	RPLP1	NA	NA	NA	NA	CCNI	NA
NA	NA	NA	NME4	RASD1	SLC2A1	ARL4C	CD63	NA	NA	NA	NA	CD248	NA
NA	NA	NA	AREG	EPAS1	CSTB	ITLN1	MYC	NA	NA	NA	NA	IGLC2	NA
NA	NA	NA	RARRES1	BCL3	RPL11	RPL37A	ADAM8	NA	NA	NA	NA	RPL38	NA
NA	NA	NA	PTPN1	GPIHBP1	FAM153B	SLC16A3	MIF	NA	NA	NA	NA	NDUFA4	NA
NA	NA	NA	SLC25A39	NDRG2	TUBB2B	MSX2	PPIA	NA	NA	NA	NA	RPS16	NA
NA	NA	NA	UBE2D3	PPARG	FLRT2	GLTSCR2	ATP6V1F	NA	NA	NA	NA	POSTN	NA
NA	NA	NA	NME1	LGALS3	GSTP1	MIR181A1HG	SDPR	NA	NA	NA	NA	LGALS1	NA
NA	NA	NA	AKR1A1	PKP4	CKB	EPHX1	MGAT1	NA	NA	NA	NA	NID2	NA
NA	NA	NA	HMGN2	SLC16A3	LCN2	MYH9	RPS27A	NA	NA	NA	NA	LDOC1	NA
NA	NA	NA	UBXN11	NOTCH1	HSPE1	MMP14	FKBP5	NA	NA	NA	NA	RP11-983P16.4	NA
NA	NA	NA	ACP5	CSRP1	PTGER3	GNAS	CADM1	NA	NA	NA	NA	NID1	NA
NA	NA	NA	MRPL14	CALCRL	CHCHD10	CIRBP	MMP7	NA	NA	NA	NA	SH3BGRL3	NA
NA	NA	NA	MTDH	SLC39A10	MEX3A	NME4	GLUL	NA	NA	NA	NA	MT1M	NA
NA	NA	NA	HBEGF	CADM3-AS1	MYC	TCF21	KLF7	NA	NA	NA	NA	GJC1	NA
NA	NA	NA	MZT2A	TPM3	ECM2	RPL39	SH3BGRL3	NA	NA	NA	NA	BTG2	NA
NA	NA	NA	CXCL3	MPZL2	BHLHE41	ACTB	INSIG1	NA	NA	NA	NA	PHLDA1	NA
NA	NA	NA	ARPC3	WWTR1	IL6ST	FSTL1	ARL4A	NA	NA	NA	NA	IGHA1	NA
NA	NA	NA	HPGDS	PKM	MEDAG	IGHG3	TFPI2	NA	NA	NA	NA	PFN1	NA
NA	NA	NA	C1QB	COL3A1	LAPTM4B	JUN	TIMP1	NA	NA	NA	NA	NTRK3	NA
NA	NA	NA	NUP214	GYPC	CMTM6	FLNA	CHMP1B	NA	NA	NA	NA	IGFBP2	NA
NA	NA	NA	HLA-A	THY1	MEG3	CNN2	PRNP	NA	NA	NA	NA	PTMA	NA
NA	NA	NA	TMEM70	SARAF	SNRPE	RPLP2	GPX3	NA	NA	NA	NA	GPM6B	NA
NA	NA	NA	NEDD9	LDHB	IGHG3	ANXA2	RP11-1143G9.4	NA	NA	NA	NA	NUDT4	NA
NA	NA	NA	ABCA6	RPS3	FAM213A	EIF3E	UBA52	NA	NA	NA	NA	LGALS3BP	NA
NA	NA	NA	ARPC1B	PTPRG	HMGN1	KIF5B	COL1A1	NA	NA	NA	NA	RPS3	NA
NA	NA	NA	TPM2	SNTB2	RPS9	EIF4A2	KLF6	NA	NA	NA	NA	PTGES3	NA
NA	NA	NA	FOSB	RGCC	ETV4	KCNQ1OT1	BLVRB	NA	NA	NA	NA	RPLP2	NA
NA	NA	NA	FOSL2	RPL9	CALD1	PPP1R14A	DPT	NA	NA	NA	NA	HLA-A	NA
NA	NA	NA	AVPI1	TTYH3	GCSH	IGHA1	EFEMP1	NA	NA	NA	NA	LOXL2	NA
NA	NA	NA	IL7R	EDN1	SERF2	MAG	CD9	NA	NA	NA	NA	KRT8	NA
NA	NA	NA	CD2	ASRGL1	TNNI3	RPL14	RPL22	NA	NA	NA	NA	COX4I2	NA
NA	NA	NA	ATP1A1	C2orf40	DSC3	CHN1	SIDT2	NA	NA	NA	NA	PGAM2	NA
NA	NA	NA	MRPL41	PRKCDBP	TCF21	NES	IQGAP1	NA	NA	NA	NA	LZTS1	NA
NA	NA	NA	ABI3	MT1M	RPL31	CILP2	TMEM176B	NA	NA	NA	NA	LYPD1	NA
NA	NA	NA	KLF9	CNN3	HLA-DQB1	CCDC167	PPA1	NA	NA	NA	NA	BRSK2	NA
NA	NA	NA	NA	PIK3C2A	GUK1	H3F3B	RPL9	NA	NA	NA	NA	CNN3	NA
NA	NA	NA	NA	KLF6	HES1	MT-ND1	C10orf10	NA	NA	NA	NA	TOB2	NA
NA	NA	NA	NA	LCN6	FABP4	LMO7	PLD4	NA	NA	NA	NA	CTSB	NA
NA	NA	NA	NA	CD34	KRT8	FABP5	PGK1	NA	NA	NA	NA	IGLC3	NA
NA	NA	NA	NA	GRB10	UQCR10	UQCC2	PET100	NA	NA	NA	NA	MYH9	NA
NA	NA	NA	NA	MLEC	IER3	TMEM2	GNB2L1	NA	NA	NA	NA	ZBTB16	NA
NA	NA	NA	NA	JUN	TCEAL4	MFAP2	A2M	NA	NA	NA	NA	AGRN	NA
NA	NA	NA	NA	DCN	RBP1	WNT5A	MCOLN1	NA	NA	NA	NA	RPS10	NA
NA	NA	NA	NA	UNC5B	RPS6	RPL23	C1QC	NA	NA	NA	NA	CLEC11A	NA
NA	NA	NA	NA	CCL21	NREP	EML4	FGL2	NA	NA	NA	NA	SOCS3	NA
NA	NA	NA	NA	CUX1	PCSK1N	KDELR2	TRA2B	NA	NA	NA	NA	TCF4	NA
NA	NA	NA	NA	LAPTM4B	GSTM3	RPSA	RPL18A	NA	NA	NA	NA	ARPC2	NA
NA	NA	NA	NA	S100A11	PTTG1	SRSF5	CALM2	NA	NA	NA	NA	MRFAP1	NA
NA	NA	NA	NA	CCDC85B	VTN	TPM3	SESN1	NA	NA	NA	NA	SEMA5A	NA
