B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	NK	NKT	Pericyte	Plasma
DDX5	SRSF2	NA	GK	PODXL	AMD1	ATP1B3	SPHK1	RPS15A	NA	NA	CARMN	AC005261.1
TPT1	MT-CYB	NA	PELI1	TUBB6	AMDHD2	ATP2A2	EIF1	APOE	NA	NA	THAP2	CDC42SE1
SEC61B	RPS16	NA	ANXA5	ANXA5	AMFR	ATP5F1B	PHLDA1	RPL36AL	NA	NA	EIF5	ANKRD28
KTN1	TGFB1	NA	FLNA	COX6C	AMOTL1	ATP5F1D	HLA-C	RPL3	NA	NA	UBE2D3	GADD45A
HERPUD1	HLA-DRA	NA	ADRM1	ARHGDIB	AMZ2	ATP5F1E	IL7R	ACTB	NA	NA	TUBA1C	NAMPT
EIF3L	EVI2B	NA	ZBTB7A	TUBA1C	ANAPC11	ATP5IF1	RPS15	CPEB4	NA	NA	EIF4A3	RHOQ
HSP90AA1	SOD2	NA	EIF3E	JAG2	ANAPC13	ATP5MC2	ITM2B	CTSD	NA	NA	TM4SF1	H2AFZ
SLC25A3	CD27	NA	AIF1	PHLDA1	ANAPC15	ATP5ME	BTG1	NDUFA4	NA	NA	ATP5F1E	FOS
TXNIP	SERF2	NA	IL4I1	CCL2	ANAPC16	ATP5MF	GPAT3	DNAJB1	NA	NA	SQSTM1	RAPGEF1
PRMT1	FNBP4	NA	ECPAS	NOTCH4	ANGPTL4	ATP5MG	CD55	CELF2	NA	NA	ADAMTS9	JOSD1
SNRPB	RPL36AL	NA	CXCL16	COL4A1	ANKLE2	ATP5MPL	HMOX1	ISG15	NA	NA	YBX1	SQSTM1
TOMM20	SLC3A2	NA	SBNO2	RPL39	ANKRD11	ATP5PF	MAP2K1	ELL2	NA	NA	ELL2	PLEC
SUB1	DDX5	NA	HERPUD1	TFPI2	ANKRD12	ATP5PO	DNTTIP2	HSPD1	NA	NA	SCGB2A2	RRAD
ISCU	MYL12A	NA	H2AFZ	CXCL2	ANKRD30A	ATP6V0D1	RNF144B	BNIP3L	NA	NA	BNIP3L	SH3GLB1
NDUFV2	SAA1	NA	SDC2	INSIG1	ANKRD36C	ATP6V1B2	INSIG1	FXYD5	NA	NA	PDGFRB	GABPB1
PIM3	LINC01871	NA	RHOC	BEX3	ANO6	ATP6V1C1	ATF4	HSPA1B	NA	NA	PFDN2	ARL8A
KMT2E	CFL1	NA	EZH2	EIF4A1	ANP32A	ATP6V1G1	MXD1	ARHGEF6	NA	NA	EIF4A1	RAP1B
EIF3F	ZFP36L2	NA	LACTB	PPP1R15A	ANP32B	AZIN1	NUPR1	BIRC3	NA	NA	MFGE8	GARS
RBX1	CD59	NA	PPP1R12A	UBE2D3	ANXA1	B2M	IRAK3	ARFGAP3	NA	NA	C11orf96	COX7A2
HMGA1	CD8B	NA	SLC6A6	CXCL3	ANXA2	B4GALT3	SIPA1L1	HPGDS	NA	NA	ARID5B	ASNS
MFSD10	ANXA2	NA	TBK1	APLP2	ANXA3	BACH1	PYCARD	RPL32	NA	NA	FLNA	HLA-C
CMSS1	HERPUD1	NA	BIRC6	UPP1	ANXA5	BAG1	RPL28	FOSB	NA	NA	ATP5MC2	SARS
COPE	BAZ1A	NA	CEP350	WTAP	ANXA7	BAG3	SMIM3	PBX1	NA	NA	B2M	LPXN
NFKB1	ATP1B3	NA	TNIP1	RPL36AL	ANXA9	BASP1	EREG	TYROBP	NA	NA	JAG1	CEBPB
STMN1	GLIPR1	NA	PDCD10	HYAL2	AP1M2	BAZ1A	PIM3	RPL18A	NA	NA	GNL3	LRRC8C
FOS	HLA-DRB1	NA	TNFRSF1A	CD74	AP1S1	BCAS2	NFKBIA	CYBA	NA	NA	MYLK	CD59
SOD2	CHST12	NA	RPS15A	VWA1	AP2S1	BCCIP	CD9	LMO4	NA	NA	HSPA9	ELK3
PTGES3	CXCL13	NA	NECTIN2	HSP90AA1	AP3S1	BCL7B	HIPK2	H2AFZ	NA	NA	CST3	WTAP
SNRPD2	SELENOS	NA	ZFP36	RSL24D1	APC	BCLAF1	PTPN1	UBE2D3	NA	NA	EEF1D	SOS2
THRAP3	RPLP0	NA	PTPN1	UBC	APH1A	BDKRB1	TXNRD1	ITM2A	NA	NA	NDUFA4	MIR4435-2HG
TUBA4A	TNFRSF4	NA	SYTL3	PRCP	AQP3	BEX3	TSPO	CD84	NA	NA	DNAJA1	CLMN
RABAC1	PPP1CB	NA	FOSB	UQCR11	AR	BGN	PDE4A	TMSB10	NA	NA	ATP13A3	CAPN2
S100A11	LEPROTL1	NA	EMP3	HMGA1	AREG	BID	GK	MT-ATP6	NA	NA	TGIF1	LITAF
MMP7	CORO1B	NA	RAMP1	CXCL1	ARF4	BIRC3	CD59	RPS21	NA	NA	MYH11	GALNT3
H2AFZ	MSN	NA	IFI30	CD55	ARF5	BLOC1S2	PELI1	BATF	NA	NA	HCFC1R1	SAT1
HNRNPDL	HINT1	NA	OGDH	ATF4	ARFGAP3	BLOC1S6	HLA-DMA	CEBPG	NA	NA	DNTTIP2	YWHAG
ATP5F1B	ARPC2	NA	RELB	CALD1	ARFGEF3	BOD1	ITGB2	RPL30	NA	NA	AKR1C2	KMT2E
PCBP2	TMA7	NA	JUNB	EEF1A1	ARHGAP29	BOP1	TLR2	ITGAV	NA	NA	GLA	PGD
ARPC3	CD69	NA	SRRM1	SNRPB	ARHGAP35	BRD2	MT2A	TUBB6	NA	NA	GABARAPL1	MGAT1
CYBA	FYB1	NA	RPL19	MAFF	ARHGAP5	BRIX1	CST3	ARMH1	NA	NA	MGST3	CDC42
SEC62	STMN1	NA	RAB5A	IFI6	ARHGDIA	BRK1	TRAF1	BTG2	NA	NA	HLA-C	PCBP1
RBM17	PDE4B	NA	SQSTM1	MYH9	ARHGDIB	BSG	SLC3A2	PRNP	NA	NA	SNRPB	TLNRD1
EDF1	LGALS1	NA	ZC3H7A	KLF2	ARID1B	BST2	LYVE1	SAMSN1	NA	NA	TPT1	SERINC1
TPI1	LIMD2	NA	RAP1B	MT1A	ARID5B	BTBD7	CFLAR	ARL8B	NA	NA	LMCD1	CLEC2D
AP2M1	LUZP1	NA	IL10RA	ATP13A3	ARIH1	BTF3	MT-CO2	FOXP1	NA	NA	RPL9	HLA-A
XIST	PSMB9	NA	NA	XIST	ARIH2	BTF3L4	B2M	EIF1	NA	NA	PPP1R14A	PPP2CB
OST4	SEC62	NA	NA	HSPA9	ARL13B	BTG1	GPR183	SOX4	NA	NA	IL1R1	NR3C1
RBM3	HLA-DPA1	NA	NA	SLC9A3R2	ARL3	BTG3	EIF5	TMEM230	NA	NA	FOSL1	SMAP2
CCL2	RPS27	NA	NA	ENO1	ARL4A	BUB3	TOP1	MIF	NA	NA	ATF4	SURF4
ANKRD11	SERP1	NA	NA	GSN	ARL4C	BUD23	AC016831.1	SGK1	NA	NA	OST4	CBX6
RPL4	PDCD4	NA	NA	CIRBP	ARL6IP1	BUD31	SERPINB9	RHEX	NA	NA	TUBA1B	SBDS
S100A6	NR3C1	NA	NA	ENTPD1	ARL6IP4	BYSL	JAK1	MT2A	NA	NA	RPS27L	TYMP
TUBA1A	RSL24D1	NA	NA	CXorf36	ARL6IP5	BZW1	COX6C	NA	NA	NA	SLC25A5	TNIP1
CD69	CD44	NA	NA	MAP1LC3B	ARMC8	BZW2	FLNA	NA	NA	NA	SRGN	SPHK1
MED10	CD63	NA	NA	FAM241A	ARMCX6	C11orf53	ATP5MC2	NA	NA	NA	COX7A2	MYO5A
HMGN1	MTRNR2L12	NA	NA	SLC9B2	ARMT1	C11orf58	MIR155HG	NA	NA	NA	MAP1LC3B	AQP3
POMP	NPM1	NA	NA	NACA	ARPC1B	C11orf96	PFKFB3	NA	NA	NA	MTRNR2L8	MCL1
ZFP36L1	GCC2	NA	NA	TMEM70	ARPC2	C12orf57	SOCS3	NA	NA	NA	H2AFZ	CHD2
HLA-DQB1	CEBPB	NA	NA	ADAMTS6	ARPC3	C16orf72	ISG15	NA	NA	NA	PLPP3	EIF4G2
