B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	NK	NKT	Pericyte	Plasma
ATP6V0B	TAX1BP1	NA	NA	PCDH17	BANF1	CHCHD2	ZC3H12C	NA	NA	NA	RAB21	VDAC2
RAP1B	UBE2B	NA	NA	MARCKSL1	BAZ1A	CHCHD3	PRNP	NA	NA	NA	MYC	ZSWIM6
SRRM1	ANXA1	NA	NA	ICAM2	BCAM	CHD1	MNDA	NA	NA	NA	PNRC1	TPM4
MAP2K3	JAML	NA	NA	ATP5MC2	BCAR1	CHIC2	KRT17	NA	NA	NA	NDUFB1	CORO1C
PHB	HSP90AB1	NA	NA	ATP1A1	BCAS2	CHMP1B	UQCR10	NA	NA	NA	COX5B	UBE2B
TNIP2	N4BP2L2	NA	NA	G3BP1	BCCIP	CHMP2B	IGSF6	NA	NA	NA	THY1	CCNG1
SRSF2	KIAA1551	NA	NA	PTP4A3	BCL10	CHMP4B	RPS14	NA	NA	NA	BTG1	GPR132
GNG5	MAP1LC3B	NA	NA	ESAM	BCL2	CHORDC1	THBD	NA	NA	NA	SLC7A5	KLHL24
RBM8A	MAP2K1	NA	NA	EVL	BCL7C	CHPF	TIPARP	NA	NA	NA	COX6B1	NR1D2
GOLGB1	SLC25A6	NA	NA	PITPNC1	BCLAF1	CIRBP	CD81	NA	NA	NA	LPP	ARHGAP5
SNRPD1	CD55	NA	NA	ICAM1	BEX3	CKB	TXNIP	NA	NA	NA	HLA-B	BIRC3
MALAT1	MECP2	NA	NA	NFE2L2	BEX4	CLCF1	FILIP1L	NA	NA	NA	HNRNPA2B1	MORF4L1
BZW1	EIF3J	NA	NA	TIPARP	BHLHE40	CLDND1	TNFAIP8	NA	NA	NA	BTG3	DAP
TMEM147	PRNP	NA	NA	RTN4	BICD2	CLEC11A	PMAIP1	NA	NA	NA	BZW1	CREB3L2
EIF3D	EEF1B2	NA	NA	MT1X	BID	CLEC2B	BTG3	NA	NA	NA	AMD1	IFNGR2
NFE2L2	SLC25A3	NA	NA	YBX3	BIRC2	CLIC1	FYB1	NA	NA	NA	HNRNPU	ARIH1
PPIG	RARRES3	NA	NA	GNAS	BIRC3	CLIC2	JARID2	NA	NA	NA	SERPING1	UAP1
NSA2	NAP1L1	NA	NA	EEF1B2	BLOC1S1	CLIP1	CDC42EP3	NA	NA	NA	PRNP	SELENOM
NAA50	ZFP36	NA	NA	HNRNPAB	BLOC1S6	CLMP	FOXO3	NA	NA	NA	ENO1	MAFG
CCT6A	NOP53	NA	NA	ZNF267	BLVRB	CLN8	NCS1	NA	NA	NA	OLFML2A	ERN1
ATP5MPL	TMEM59	NA	NA	ATP5F1E	BMPR1B	CLTB	G0S2	NA	NA	NA	MTHFD2	UBE2QL1
NFKBIA	KANSL1	NA	NA	PRDX1	BMS1	CMC2	RPS8	NA	NA	NA	TXNRD1	MT2A
FNBP1	CREBZF	NA	NA	TXNL1	BNIP2	CMSS1	ACSL5	NA	NA	NA	UBC	FTL
VCP	RPS29	NA	NA	ZBTB20	BNIP3	CMTM3	ZC3H12A	NA	NA	NA	CAVIN1	MTRNR2L12
RAD23A	MRFAP1	NA	NA	GTPBP4	BOLA1	CNBP	HIF1A	NA	NA	NA	CCT5	SEC24A
PDE4B	AP2B1	NA	NA	UQCRQ	BOLA3	CNIH1	HLA-DRB5	NA	NA	NA	EIF4E	MGST3
CCNL1	RPL27A	NA	NA	RPL24	BOP1	CNN2	RPS15A	NA	NA	NA	RBM39	EIF4EBP1
ATP6V0E1	DDX21	NA	NA	GNL3	BORCS7	CNN3	HSPD1	NA	NA	NA	SNHG15	ZNF165
HLA-DMA	CCSER2	NA	NA	ELL2	BRD4	CNOT2	AKR1C1	NA	NA	NA	CCNH	PAPOLA
SLC25A6	ATP5F1B	NA	NA	ADRM1	BRIX1	COA4	ABCA1	NA	NA	NA	PABPC1	CD79A
LUC7L3	MPZL3	NA	NA	NOP16	BRK1	COL10A1	PDK4	NA	NA	NA	CHMP1B	PNPLA8
PARK7	SRSF7	NA	NA	TOP1	BSG	COL11A1	HLA-DMB	NA	NA	NA	NOP16	ARF1
DUSP2	PARK7	NA	NA	OST4	BST2	COL12A1	SMOX	NA	NA	NA	EIF3J	HMOX1
PHF1	CLDND1	NA	NA	SPTBN1	BTF3	COL16A1	SDCBP	NA	NA	NA	RSL1D1	SSU72
MYL12B	LY6E	NA	NA	PNO1	BTG2	COL18A1	LUCAT1	NA	NA	NA	CD81	NPC2
STK17B	RPL38	NA	NA	GRPEL1	BTG3	COL1A1	NRP2	NA	NA	NA	CCDC47	C16orf72
CCT5	JAK1	NA	NA	NAA20	BUD23	COL1A2	FOSL2	NA	NA	NA	NOP56	TRIB3
PPA1	NFKBIA	NA	NA	PLPP3	BYSL	COL3A1	ENPP4	NA	NA	NA	BRK1	FAM241A
DCTPP1	BAG1	NA	NA	ACE	BZW1	COL4A1	BST2	NA	NA	NA	LHFPL6	PRNP
MANF	HSPA1A	NA	NA	GARS	BZW2	COL5A1	ZEB2	NA	NA	NA	EIF5A	TNIP2
IER3	LGALS3	NA	NA	NFIB	C12orf29	COL5A2	EMP1	NA	NA	NA	GPATCH4	IL6R
RELB	AKAP13	NA	NA	DNAJB9	C12orf57	COL6A1	GLA	NA	NA	NA	SBDS	VPS35
PPP4C	COX8A	NA	NA	NID1	C12orf75	COL6A2	FURIN	NA	NA	NA	PSMC4	NFE2L2
HADHA	RABAC1	NA	NA	SDCBP	C15orf48	COL6A3	DSE	NA	NA	NA	PNO1	ATG5
ANAPC16	CD37	NA	NA	PTPRM	C16orf74	COL8A1	SLC11A2	NA	NA	NA	NOP58	MED10
TMEM50A	CKLF	NA	NA	NIFK	C17orf58	COMMD6	FCGR1A	NA	NA	NA	TMED5	TMEM258
SERF2	IQGAP2	NA	NA	PSMC4	C19orf33	COMP	SOAT1	NA	NA	NA	RCAN1	EFHD2
FABP5	C12orf57	NA	NA	RAP1B	C19orf53	COPS2	COX4I1	NA	NA	NA	UBB	PSME1
ATP5MC2	UBXN1	NA	NA	SELENON	C19orf70	COPS3	PNP	NA	NA	NA	ETF1	CHSY1
RAC2	CEMIP2	NA	NA	RHEB	C1QBP	COPS8	LYZ	NA	NA	NA	NFIL3	TTLL7
SYNGR2	CLEC2B	NA	NA	TIMP2	C1orf109	COPS9	LST1	NA	NA	NA	HIGD1B	PHLDA2
NR4A2	CLEC2D	NA	NA	BZW1	C1orf122	COQ10B	RAB21	NA	NA	NA	NDUFS2	LINC00662
COX7B	HSPB1	NA	NA	COMMD6	C1orf21	COTL1	HLA-B	NA	NA	NA	PRSS23	S100A11
CDC37	MORF4L1	NA	NA	CCDC47	C1orf35	COX4I1	ATP1A1	NA	NA	NA	HIPK2	ARHGDIA
METAP2	HLA-DPB1	NA	NA	C4orf48	C1orf43	COX5B	CSNK1A1	NA	NA	NA	YBX3	PSMB3
GCC2	AKAP9	NA	NA	SPTAN1	C1orf52	COX6A1	ANKRD12	NA	NA	NA	HNRNPF	PPIA
SARAF	CXCR6	NA	NA	JAK1	C3orf14	COX6B1	UBE2D3	NA	NA	NA	PHLDA1	MAPRE1
NDUFS5	SELENOK	NA	NA	CEBPD	C3orf52	COX6C	IDO1	NA	NA	NA	ATP5MG	LARP1
DNTTIP2	CARD16	NA	NA	TSPO	C4orf3	COX7A2	CDKN1A	NA	NA	NA	HSPA5	GNAI3
NOP10	RORA	NA	NA	AMD1	C4orf48	COX7C	COX6B1	NA	NA	NA	GRPEL1	CALM2
XRCC6	RAP1B	NA	NA	DDX17	C5orf38	COX8A	CTSL	NA	NA	NA	COX4I1	SLCO4A1
VMP1	MRPL1	NA	NA	LRRC59	C5orf46	CPSF6	CD163	NA	NA	NA	ZNF331	CD81
FAM96B	TSTD1	NA	NA	GNG12	C6orf132	CREB3	NOTCH2	NA	NA	NA	NIFK	HUWE1
OAZ1	RPS3	NA	NA	SELENOS	C6orf48	CREB5	HLA-DPB1	NA	NA	NA	SERBP1	INSR
COX6B1	KIF13B	NA	NA	BTG3	C7orf50	CREM	UQCRQ	NA	NA	NA	EEF1B2	RIPOR1
MAP1LC3B	HSPA1B	NA	NA	EIF3I	C8orf59	CRIP2	MECP2	NA	NA	NA	PPP1R12B	MYADM
SON	CMSS1	NA	NA	TARS	C9orf116	CRK	DNMBP	NA	NA	NA	APOLD1	CEBPG
UBE2I	SLC25A5	NA	NA	PTMS	C9orf16	CRY1	RAP1B	NA	NA	NA	NFE2L2	LRRFIP1
COTL1	SYAP1	NA	NA	EIF4E	C9orf3	CSF3	TUBA1C	NA	NA	NA	KPNA2	PCNX1
EIF4G2	DYNLT3	NA	NA	PSMA3	CA12	CSNK1A1	STAT1	NA	NA	NA	BAG3	LAPTM4A
RAB7A	EIF5	NA	NA	IGFBP3	CAB39	CSNK1D	ATP2B1	NA	NA	NA	RHEB	IZUMO4
SAT1	TAF1D	NA	NA	C1QBP	CACNA1D	CSNK1E	NFAT5	NA	NA	NA	CRISPLD2	ANXA5
ARF1	TOMM7	NA	NA	CEBPB	CALD1	CSRNP1	NEU4	NA	NA	NA	LDHA	CXCL8
SARS	CLIC1	NA	NA	EFNB2	CALM3	CTGF	PSMB9	NA	NA	NA	GSTP1	TP53BP2
RTRAF	SRSF4	NA	NA	ARF4	CALML5	CTHRC1	NBPF19	NA	NA	NA	COL5A2	RAC1
PWP1	NDUFB2	NA	NA	UACA	CALR	CTNNAL1	AHR	NA	NA	NA	SRSF3	MBD2
FYTTD1	TMSB4X	NA	NA	RPS7	CAP1	CTNNB1	DNAJB6	NA	NA	NA	CRYAB	MRFAP1
DBI	UBL5	NA	NA	H3F3B	CAPN2	CTSB	GPNMB	NA	NA	NA	MORF4L2	OPTN
SMC5	RNF19A	NA	NA	ACTN4	CAPS	CTSD	EEF1A1	NA	NA	NA	PSMD11	CYTOR
PRPF4B	GCLM	NA	NA	RAB7A	CAPZA2	CTSK	MAPK6	NA	NA	NA	EBNA1BP2	UPF2
GSPT1	SH3GLB1	NA	NA	XBP1	CARHSP1	CTSL	CTSZ	NA	NA	NA	EIF2S1	MSN
TCF25	CCNG1	NA	NA	HMGN3	CARS	CTSZ	ARID5B	NA	NA	NA	PA2G4	OXSR1
ST13	ACAP1	NA	NA	XRCC6	CASD1	CTTN	CREM	NA	NA	NA	FABP4	CXCL1
ANXA5	HMGN2	NA	NA	PPDPF	CASP4	CUL1	CYTIP	NA	NA	NA	ANAPC11	ANKRD33B
NDUFA2	DEK	NA	NA	NAA50	CAST	CUTA	HLA-E	NA	NA	NA	NR4A3	IFNLR1
HIPK2	SERBP1	NA	NA	GADD45B	CAV1	CXCL1	HLA-DPA1	NA	NA	NA	PRDX1	DNAJB1
GAPDH	UQCRH	NA	NA	KLHL21	CAV2	CXCL2	PSMD11	NA	NA	NA	PCOLCE	KRT19
NCL	TUBA1C	NA	NA	CST3	CAVIN1	CXCL3	ATP5ME	NA	NA	NA	HNRNPM	FNBP1
COMMD6	ZBTB43	NA	NA	BST2	CBX3	CXCL6	DYNLL1	NA	NA	NA	HNRNPH3	HNRNPH2
RSRC2	ATF4	NA	NA	CCT8	CBX4	CXCL8	CD300E	NA	NA	NA	SERPINF1	SH3BGRL3
RILPL2	CAMK4	NA	NA	NQO1	CCDC115	CYB5A	ZNF267	NA	NA	NA	CD44	BUD23
PSMB3	EDF1	NA	NA	STAB1	CCDC124	CYB5R3	RB1CC1	NA	NA	NA	CXCL1	CARS
VAMP2	GPX4	NA	NA	DCAF13	CCDC167	CYBA	ASH1L	NA	NA	NA	NACA	MIR29B2CHG
SUPT4H1	IER2	NA	NA	EIF4A3	CCDC170	CYC1	RIT1	NA	NA	NA	CD55	UQCRQ
SESN3	DNAJB6	NA	NA	C9orf16	CCDC34	CYCS	KMO	NA	NA	NA	COQ10B	INSIG1
SINHCAF	SMAP2	NA	NA	FBN1	CCDC47	CYLD	MED13	NA	NA	NA	COX8A	ARFGAP3
MRPL32	OFD1	NA	NA	TAF7	CCDC50	CYP1B1	CD93	NA	NA	NA	TIPARP	AGO2
EIF3A	PSME2	NA	NA	NIP7	CCDC57	DAB2	EMP3	NA	NA	NA	SAP18	THEMIS2
SNU13	ARL6IP5	NA	NA	DNAJB6	CCDC59	DAD1	UBE2B	NA	NA	NA	RSRC2	SPCS3
SCGB2A2	TIPARP	NA	NA	NUCKS1	CCDC74A	DBI	B3GNT5	NA	NA	NA	NOLC1	HSPA4
CLEC2D	IFNGR1	NA	NA	TGM2	CCDC82	DCAF13	ACSL3	NA	NA	NA	PNPLA8	RPS27L
FAM133B	STAT1	NA	NA	COX5B	CCDC85B	DCLK1	ICAM1	NA	NA	NA	ATP5MPL	TRPV3
MRPL52	ZFP36L1	NA	NA	VDAC1	CCDC86	DCP1A	CTNNB1	NA	NA	NA	CCT4	CSRNP1
GRPEL1	H3F3B	NA	NA	LIMA1	CCL2	DCUN1D5	BAZ1A	NA	NA	NA	RABAC1	DERL2
RNH1	SKIL	NA	NA	TNPO1	CCL20	DDX10	ZNF207	NA	NA	NA	TIMP1	EEF2
PSMD2	PTPN22	NA	NA	PNPLA8	CCL28	DDX17	NRIP3	NA	NA	NA	WDR43	TPM3
ERP29	DYNLT1	NA	NA	PA2G4	CCNC	DDX18	ATP5MG	NA	NA	NA	ETS2	CSNK1G3
PTPN1	ST13	NA	NA	EMP1	CCND1	DDX21	CHST7	NA	NA	NA	PRKAR1A	PHF1
ILF2	CNBP	NA	NA	PSMD11	CCND2	DDX24	STK40	NA	NA	NA	MYH9	MTURN
HARS	PCNP	NA	NA	CCT3	CCNG2	DDX27	REL	NA	NA	NA	PHPT1	ATP1B3
YWHAE	SQSTM1	NA	NA	RELB	CCNH	DDX39A	CSGALNACT2	NA	NA	NA	SRSF2	DESI1
CYTIP	XIST	NA	NA	TGIF1	CCNL1	DDX3X	PPP2CA	NA	NA	NA	HSPH1	KLF9
ATP6V1G1	STK17A	NA	NA	PCDH12	CCS	DDX5	SNN	NA	NA	NA	C12orf57	SEMA7A
YY1	RAB27A	NA	NA	KDM6B	CCT2	DDX56	MS4A6A	NA	NA	NA	ANGPTL4	RBM15B
FKBP2	SEPT7	NA	NA	FKBP1A	CCT3	DEGS1	EEF1D	NA	NA	NA	SSTR2	SERPINB1
PABPC1	EZR	NA	NA	XAF1	CCT4	DEK	PPIF	NA	NA	NA	ANXA2	MRPS6
RCN2	ARID5A	NA	NA	SRSF7	CCT5	DENND5A	CLN8	NA	NA	NA	NABP1	CSNK1A1
PGAM1	CD96	NA	NA	PPP2CA	CCT6A	DHX15	SEC24A	NA	NA	NA	HERPUD1	SLC38A2
LPXN	AAED1	NA	NA	IL1RL1	CCT7	DHX36	SFPQ	NA	NA	NA	PNRC2	KAT2B
HLA-E	LDHB	NA	NA	FLT1	CCT8	DHX9	GLUL	NA	NA	NA	ARPC5	S100A6
HNRNPM	IFI27	NA	NA	MZT2B	CD164	DIMT1	TUBB	NA	NA	NA	SH3BGRL	ICAM1
TARS	COX5B	NA	NA	FOXP1	CD200	DKC1	ARHGAP5	NA	NA	NA	ARF4	SEC61A1
TRA2B	PLIN2	NA	NA	C4orf3	CD24	DLK1	KMT2E	NA	NA	NA	OAZ2	PRELID1
PSENEN	SLBP	NA	NA	MAGOH	CD3EAP	DNAJA1	RAB8B	NA	NA	NA	GUK1	NEDD4L
ARPC1B	RTN3	NA	NA	CCT6A	CD44	DNAJA2	ATP6V1C1	NA	NA	NA	TAF1D	SMAD5
HNRNPA1	DNTTIP2	NA	NA	TMED5	CD46	DNAJB6	RHOH	NA	NA	NA	GPBP1	SRSF6
DGUOK	SS18L2	NA	NA	HSPE1	CD47	DNAJB9	MAFF	NA	NA	NA	GTPBP4	HNRNPA0
CCND3	TMED2	NA	NA	ISG15	CD55	DNAJC2	MFSD2A	NA	NA	NA	PLXDC1	PAFAH1B1
TIMM44	HTATIP2	NA	NA	ITGA6	CD59	DNAJC7	HNRNPM	NA	NA	NA	RPL39	CHD4
NOP16	ELOB	NA	NA	TNFRSF12A	CD63	DNAJC8	ETF1	NA	NA	NA	DDX3X	EML5
PBX4	KRT19	NA	NA	PSMD14	CD74	DNTTIP2	SLC6A6	NA	NA	NA	CEBPD	DPH3
PPM1G	KMT2E	NA	NA	EIF2S2	CD81	DPH3	FGR	NA	NA	NA	SDCBP	PTPN1
LARP1	REX1BD	NA	NA	ARL15	CD9	DPM1	RPL36	NA	NA	NA	ATP1A1	ZNF267
FUS	ATP5IF1	NA	NA	NEDD8	CD99	DPT	MTRNR2L8	NA	NA	NA	UPP1	YWHAZ
FTH1	NDUFB1	NA	NA	S100A6	CDC123	DPYSL3	COX5B	NA	NA	NA	RELB	MRPL51
XRN2	TXN	NA	NA	HDAC7	CDC37	DRAM1	KLHL21	NA	NA	NA	RTN4	UBXN4
ATP1B3	CTSC	NA	NA	RPS2	CDC37L1	DRAP1	VCP	NA	NA	NA	TFPI	TARS
CNPY2	ISCU	NA	NA	TOMM7	CDC42EP1	DSTN	YWHAZ	NA	NA	NA	CNBP	USP14
ARRDC2	ELK3	NA	NA	ADIRF	CDC42EP2	DUSP5	NDUFA4	NA	NA	NA	SEM1	CSNK2A1
CAST	PKM	NA	NA	MTRNR2L12	CDC42EP3	DYNLL1	TUBB6	NA	NA	NA	NDUFA11	HSPA9
LMNA	MT-ND4L	NA	NA	CREM	CDC42SE1	E2F6	TNIP2	NA	NA	NA	ACTN1	TOX4
PRELID1	EEF1D	NA	NA	CTNNB1	CDC5L	EBNA1BP2	MSANTD3	NA	NA	NA	EHD2	GALNT2
ATP5IF1	ITGA1	NA	NA	FAM198B	CDCP1	EDF1	GJB2	NA	NA	NA	NEDD8	IL6ST
UPF2	CTLA4	NA	NA	NOL7	CDH3	EDIL3	SLCO4A1	NA	NA	NA	CALM2	ARID5A
IL6	PSME4	NA	NA	HNRNPF	CDK2AP2	EDNRB	TGIF1	NA	NA	NA	MEDAG	CD74
RNPS1	VAPA	NA	NA	JAM2	CDK5RAP3	EEF1A1	DOT1L	NA	NA	NA	TOMM7	NUS1
TM4SF1	RALGAPA1	NA	NA	GSPT1	CDK6	EEF1B2	ELOB	NA	NA	NA	PSME1	HGS
SSR2	PPDPF	NA	NA	MRTO4	CDKN1A	EEF1D	MPP1	NA	NA	NA	ATP5F1B	CYLD
ATF4	MANF	NA	NA	EFCAB14	CDV3	EEF2	ATP1B3	NA	NA	NA	EMP1	RAB1A
TOMM7	RPL12	NA	NA	DEPP1	CEACAM1	EFEMP2	MAP1LC3B	NA	NA	NA	COX6A1	KHDRBS1
MBP	IGKC	NA	NA	BRIX1	CEBPB	EFHD2	IL18R1	NA	NA	NA	VCP	MXD1
MRPS12	SOD1	NA	NA	TMSB10	CEBPD	EFNB2	B4GALT5	NA	NA	NA	GSPT1	COPA
SELENOS	ATP5MPL	NA	NA	RPL18A	CEBPG	EGFR	TANK	NA	NA	NA	FRZB	HGSNAT
PRDX1	TAF7	NA	NA	CALM1	CEBPZ	EGLN1	PSTPIP2	NA	NA	NA	C1QBP	MARCKSL1
DNPEP	RPS20	NA	NA	EIF3J	CELF1	EIF1	CYLD	NA	NA	NA	SELENOK	CYSTM1
GNAI3	RPL3	NA	NA	USP12	CELSR1	EIF1AX	CDC42EP2	NA	NA	NA	CD59	BCLAF1
VDAC2	LSP1	NA	NA	ARHGDIA	CELSR2	EIF1B	ANGPTL4	NA	NA	NA	C4orf3	GLUD1
BAG1	EIF1AX	NA	NA	NCL	CEMIP2	EIF2S1	AKAP13	NA	NA	NA	PPP2CA	MKNK2
SLC52A2	RPL21	NA	NA	MT-ND4	CENPX	EIF2S2	AZIN1	NA	NA	NA	SERPINE1	JMJD1C
MGP	CRYBG1	NA	NA	ANAPC16	CERS2	EIF3A	SLC5A3	NA	NA	NA	EID1	PCBP2
MRTO4	COX5A	NA	NA	KANK1	CERS4	EIF3B	TNIP3	NA	NA	NA	CSNK1A1	FAM129A
NTMT1	MGAT4A	NA	NA	RPS3A	CERS6	EIF3D	ACOT9	NA	NA	NA	HMGN3	VAPA
GPM6B	CREBRF	NA	NA	BIRC3	CETN2	EIF3E	IL1A	NA	NA	NA	STAT3	GFPT1
H2AFV	JOSD1	NA	NA	RPL37A	CFAP298	EIF3I	MTSS1	NA	NA	NA	PTMS	SRSF3
IK	TBC1D10C	NA	NA	LY6E	CFD	EIF3J	RAB7A	NA	NA	NA	WFDC1	MAFF
UBE2D2	MXI1	NA	NA	PEA15	CFL1	EIF3M	B4GALT1	NA	NA	NA	HNRNPA3	LY96
CD79B	CPD	NA	NA	YWHAE	CFL2	EIF4A1	PTPN12	NA	NA	NA	RERGL	IER2
FOXP1	BNIP3L	NA	NA	ATP1B3	CFLAR	EIF4A2	MDM2	NA	NA	NA	RPL24	PICALM
NGDN	SATB1	NA	NA	FSCN1	CHCHD10	EIF4A3	UBE2D1	NA	NA	NA	SERP1	SERPINE2
IL2RA	COTL1	NA	NA	HSPH1	CHCHD5	EIF4E	MIF	NA	NA	NA	LRRFIP1	PFKFB3
GTF3A	FAM177A1	NA	NA	EBNA1BP2	CHD1	EIF4G1	ARL4C	NA	NA	NA	TMA7	ZC3H18
ANXA7	UCP2	NA	NA	SLC25A3	CHD2	EIF4G2	RPL10A	NA	NA	NA	TBX2	JMY
YWHAQ	ARHGAP9	NA	NA	FCGRT	CHD9	EIF4H	IL6R	NA	NA	NA	CCNL1	TMEM165
TUT4	ISG15	NA	NA	AKIRIN2	CHI3L1	EIF5	ADA	NA	NA	NA	COL14A1	KMT2A
PSMB6	HMGB2	NA	NA	MIR22HG	CHI3L2	EIF5A	ELOVL7	NA	NA	NA	BAG1	LNX2
LUC7L	NFE2L2	NA	NA	NDUFA4	CHIC2	EIF5B	IL6	NA	NA	NA	PPDPF	GPAT3
ZC3H15	ATP5MC3	NA	NA	GJA4	CHMP1B	EIF6	RPL35	NA	NA	NA	NEAT1	UBE2H
LINC01781	PAPOLA	NA	NA	SLC25A5	CHMP2A	ELF1	DYNC1H1	NA	NA	NA	AK6	AARS
CEBPG	LAMTOR4	NA	NA	COX6B1	CHMP2B	ELK3	SPART	NA	NA	NA	GPRC5A	KPNA4
H3F3B	IFI16	NA	NA	PKIG	CHMP4A	ELL	PFDN5	NA	NA	NA	G3BP1	PLEKHB2
KDM6B	TSPO	NA	NA	TNS2	CHORDC1	ELL2	GEM	NA	NA	NA	HNRNPH1	PGM3
DNAJC8	ARHGEF7	NA	NA	SYNGR2	CHPT1	ELOA	LY96	NA	NA	NA	ARPC1A	LGALS1
SPAG9	FAM102A	NA	NA	RASD1	CIB1	ELOB	ATP5MF	NA	NA	NA	SMIM3	CTDSP2
EMD	MZT2A	NA	NA	ETF1	CIRBP	ELOC	DNAJC8	NA	NA	NA	LTBP1	ST3GAL1
PSMC1	MZT2B	NA	NA	CHIC2	CISD1	ELOVL5	ATP5IF1	NA	NA	NA	CEBPZ	TAB2
MAF1	FUS	NA	NA	SLC4A7	CISD3	EMC6	LGALS3BP	NA	NA	NA	TCF4	PURB
NPM3	PFDN2	NA	NA	NOP56	CKB	EMD	FGL2	NA	NA	NA	SUMO2	SEC63
PRKCB	RNF149	NA	NA	SLCO2A1	CKLF	EMILIN1	TP53BP2	NA	NA	NA	RWDD1	CSGALNACT2
FBL	UPP1	NA	NA	SOX7	CKS1B	EMP1	TMEM38B	NA	NA	NA	SEPHS2	MED28
ACTR2	CAMLG	NA	NA	RAB11A	CKS2	EMP3	RPL10	NA	NA	NA	LRRC59	IFRD1
CHCHD10	PRMT2	NA	NA	THY1	CLCF1	ENO1	C1QC	NA	NA	NA	RAB7A	NFKB1
CKS1B	VPS35	NA	NA	PUF60	CLDN1	EPAS1	RBX1	NA	NA	NA	HNRNPA0	EHD4
POU2F2	IL10RA	NA	NA	NOLC1	CLDN3	EPB41L4A-AS1	SAA1	NA	NA	NA	PTP4A3	STX11
MTRNR2L8	MED10	NA	NA	POLR2J3.1	CLDND1	ERCC1	COX7A2	NA	NA	NA	EBF1	MCMBP
FOSB	MT2A	NA	NA	TMEM219	CLEC3A	ERH	PFN1	NA	NA	NA	GSTO1	LYN
PPP1CA	SUPT4H1	NA	NA	BAZ1A	CLIC1	ERN1	PPP1R15A	NA	NA	NA	MRTO4	MGAT2
BCL11A	DBI	NA	NA	BAG3	CLIC3	ERRFI1	SLAMF7	NA	NA	NA	HNRNPA1	NA
SP100	ANKLE2	NA	NA	SLC7A1	CLIC4	ESF1	AC016831.7	NA	NA	NA	EIF2S2	NA
SAT2	CD3G	NA	NA	DUSP23	CLIC6	ETF1	ITGA5	NA	NA	NA	HBP1	NA
SHMT2	TIGIT	NA	NA	HSPA5	CLINT1	ETS1	PSMD12	NA	NA	NA	CD99	NA
XRCC5	RBBP7	NA	NA	GTF2I	CLIP1	ETS2	RPL11	NA	NA	NA	MAGOH	NA
CCDC107	PFKFB3	NA	NA	GPATCH4	CLK1	EVL	NINJ1	NA	NA	NA	BCAS2	NA
BRIX1	UQCR10	NA	NA	PUM3	CLMP	EWSR1	SRSF2	NA	NA	NA	MAP3K20	NA
S100A10	PRDX6	NA	NA	FKBP9	CLNS1A	EXOSC4	ARHGEF2	NA	NA	NA	ICAM1	NA
ZNF207	AGO2	NA	NA	H2AFZ	CLTB	EXT1	PRDX1	NA	NA	NA	UBE2B	NA
WDR43	BTF3	NA	NA	STIP1	CMBL	FAM126A	SH3BGRL3	NA	NA	NA	AHNAK	NA
CFL1	SPRY1	NA	NA	PPA1	CMIP	FAM133B	YWHAH	NA	NA	NA	HNRNPK	NA
NR1H2	PMEPA1	NA	NA	ATP5IF1	CMPK1	FAM180A	PRRC2C	NA	NA	NA	RSL24D1	NA
ATP6V1F	METRNL	NA	NA	PPIC	CMSS1	FAM208B	CREG1	NA	NA	NA	PRDX6	NA
AHI1	UGP2	NA	NA	TMA7	CMTM3	FAM241A	NDUFB1	NA	NA	NA	STRAP	NA
NOP53	SYF2	NA	NA	SOX18	CMTM7	FAP	SLC7A5	NA	NA	NA	XRCC6	NA
PRDX6	DNAJC1	NA	NA	SERTAD1	CNBP	FARSA	CDV3	NA	NA	NA	APEX1	NA
RAC1	TOMM20	NA	NA	PSMD12	CNFN	FASN	EIF1B	NA	NA	NA	SLIT3	NA
MTHFD2	LUC7L3	NA	NA	COL18A1	CNIH1	FBL	RILPL2	NA	NA	NA	NASP	NA
DNAJB6	RNF115	NA	NA	LAMTOR4	CNN1	FBN1	PSME2	NA	NA	NA	BEX3	NA
MZT2B	TMEM50A	NA	NA	C1orf54	CNN3	FBXO11	PABPC1	NA	NA	NA	TOMM40	NA
EIF4E	ABCF1	NA	NA	PMAIP1	CNPY2	FBXO30	PTPRE	NA	NA	NA	REL	NA
ABCF1	NEDD8	NA	NA	EFNA1	COA3	FERMT2	RGS10	NA	NA	NA	PSMC6	NA
FKBP4	CD82	NA	NA	STC1	COA5	FGF7	MGLL	NA	NA	NA	PFDN5	NA
PRDM2	KRAS	NA	NA	TSC22D3	COBL	FGFR1	COX8A	NA	NA	NA	ATP5F1D	NA
CISD2	FAM96B	NA	NA	ZPR1	COL17A1	FIP1L1	MPHOSPH6	NA	NA	NA	PABPC4	NA
BID	PRDX2	NA	NA	CFLAR	COL1A1	FKBP1A	FABP4	NA	NA	NA	UACA	NA
HLA-DMB	AKIRIN1	NA	NA	VDAC2	COL1A2	FKBP2	CLIC2	NA	NA	NA	FUNDC2	NA
SMC3	ABLIM1	NA	NA	LMNA	COL4A1	FKBP4	ATP5MPL	NA	NA	NA	ZFAS1	NA
POLR1D	MUC20-OT1	NA	NA	MGST3	COL4A2	FLNA	RYBP	NA	NA	NA	ATOX1	NA
MT-ND2	TUBA1A	NA	NA	BLOC1S1	COL6A1	FMNL2	ARF1	NA	NA	NA	C9orf16	NA
