,CD8T,Epithelial,Fibroblast,Pericyte,Macrophage,Endothelial,CD4T,DC,B,NKT,Mast,Monocyte,NK,Plasma
10537,NA,ZNF213-AS1,CYB5D2,RP5-908M14.9,KLK11,KIAA1328,NA,PLEKHG2,NA,BBC3,NA,NA,NA,NA
10538,NA,ZNF205,ANKFY1,RPS21,SIGLEC9,PIK3C3,NA,RPS16,NA,CCDC9,NA,NA,NA,NA
10539,NA,ZNF213,UBE2G1,MRGBP,SIGLEC7,SETBP1,NA,SUPT5H,NA,INAFM1,NA,NA,NA,NA
10540,NA,RP11-473M20.16,MYBBP1A,OGFR,CD33,SLC14A1,NA,TIMM50,NA,C5AR1,NA,NA,NA,NA
10541,NA,ZNF200,SMTNL2,DIDO1,IGLON5,EPG5,NA,EID2B,NA,C5AR2,NA,NA,NA,NA
10542,NA,ZNF263,PELP1,GID8,VSIG10L,ATP5A1,NA,DYRK1B,NA,DHX34,NA,NA,NA,NA
10543,NA,TIGD7,ARRB2,HAR1A,ETFB,HAUS1,NA,FBL,NA,NAPA-AS1,NA,NA,NA,NA
10544,NA,ZNF75A,MED11,YTHDF1,NKG7,C18orf25,NA,FCGBP,NA,NAPA,NA,NA,NA,NA
10545,NA,ZSCAN32,CXCL16,ARFGAP1,SIGLEC10,RNF165,NA,PSMC4,NA,GLTSCR1,NA,NA,NA,NA
10546,NA,ZNF174,VMO1,PPDPF,SIGLEC8,PIAS2,NA,ZNF546,NA,EHD2,NA,NA,NA,NA
10547,NA,ZNF597,PSMB6,HELZ2,ZNF175,KATNAL2,NA,ZNF780B,NA,GLTSCR2,NA,NA,NA,NA
10548,NA,NAA60,RP11-81A22.5,GMEB2,SIGLEC5,HDHD2,NA,ZNF780A,NA,SEPW1,NA,NA,NA,NA
10549,NA,CLUAP1,PLD2,CTD-3184A7.4,SIGLEC14,IER3IP1,NA,AKT2,NA,PLA2G4C,NA,NA,NA,NA
10550,NA,LA16c-390H2.4,MINK1,STMN3,HAS1,SMAD2,NA,PLD3,NA,LIG1,NA,NA,NA,NA
10551,NA,SLX4,CHRNE,ARFRP1,FPR1,ZBTB7C,NA,SERTAD1,NA,C19orf68,NA,NA,NA,NA
10552,NA,DNASE1,C17orf107,SLC2A4RG,FPR2,CTIF,NA,SERTAD3,NA,CARD8,NA,NA,NA,NA
10553,NA,TRAP1,SLC25A11,ZBTB46,FPR3,SMAD7,NA,BLVRB,NA,CARD8-AS1,NA,NA,NA,NA
10554,NA,CREBBP,RNF167,RP4-591C20.9,ZNF577,DYM,NA,SHKBP1,NA,EMP3,NA,NA,NA,NA
10555,NA,ADCY9,PFN1,TPD52L2,ZNF649,C18orf32,NA,LTBP4,NA,KDELR1,NA,NA,NA,NA
10556,NA,LINC01569,SPAG7,DNAJC5,ZNF350,RPL17,NA,NUMBL,NA,GRWD1,NA,NA,NA,NA
10557,NA,TFAP4,CAMTA2,UCKL1,ZNF615,ACAA2,NA,ADCK4,NA,CYTH2,NA,NA,NA,NA
10558,NA,GLIS2,KIF1C,ZNF512B,ZNF614,MBD1,NA,ITPKC,NA,RPL18,NA,NA,NA,NA
10559,NA,PAM16,ZNF232,PRPF6,ZNF432,CXXC1,NA,C19orf54,NA,SPHK2,NA,NA,NA,NA
10560,NA,CORO7,ZNF594,TCEA2,ZNF836,ME2,NA,SNRPA,NA,DBP,NA,NA,NA,NA
10561,NA,VASN,RP11-333E1.1,RGS19,PPP2R1A,ELAC1,NA,RAB4B,NA,CA11,NA,NA,NA,NA
10562,NA,DNAJA3,RABEP1,PCMTD2,ZNF766,SMAD4,NA,EGLN2,NA,BCAT2,NA,NA,NA,NA
10563,NA,NMRAL1,NUP88,CTD-3113P16.11,ZNF480,MEX3C,NA,CYP2S1,NA,HSD17B14,NA,NA,NA,NA
10564,NA,HMOX2,RPAIN,MIER2,ZNF880,MBD2,NA,AXL,NA,PPP1R15A,NA,NA,NA,NA
10565,NA,CDIP1,CTC-524C5.2,SHC2,ZNF528,POLI,NA,HNRNPUL1,NA,NUCB1,NA,NA,NA,NA
10566,NA,UBALD1,C1QBP,TPGS1,ZNF808,C18orf54,NA,TGFB1,NA,BAX,NA,NA,NA,NA
10567,NA,MGRN1,DHX33,CDC34,ZNF701,CCDC68,NA,CCDC97,NA,FTL,NA,NA,NA,NA
10568,NA,NUDT16L1,DERL2,BSG,ZNF83,TCF4,NA,TMEM91,NA,GYS1,NA,NA,NA,NA
10569,NA,ANKS3,MIS12,POLRMT,ZNF611,TXNL1,NA,B9D2,NA,RUVBL2,NA,NA,NA,NA
10570,NA,ZNF500,NLRP1,RNF126,ZNF600,WDR7,NA,EXOSC5,NA,SNRNP70,NA,NA,NA,NA
10571,NA,SMIM22,PITPNM3,FSTL3,ZNF28,FECH,NA,BCKDHA,NA,LIN7B,NA,NA,NA,NA
10572,NA,ROGDI,KIAA0753,PALM,ZNF468,NARS,NA,ATP5SL,NA,TRPM4,NA,NA,NA,NA
10573,NA,GLYR1,TXNDC17,PTBP1,ZNF320,RP11-35G9.3,NA,LINC01480,NA,CD37,NA,NA,NA,NA
10574,NA,UBN1,MED31,CFD,ZNF160,ATP8B1,NA,AC006129.2,NA,PIH1D1,NA,NA,NA,NA
10575,NA,PPL,C17orf100,MED16,ZNF347,NEDD4L,NA,CEACAM21,NA,ALDH16A1,NA,NA,NA,NA
10576,NA,NAGPA,XAF1,R3HDM4,ZNF677,MALT1,NA,CEACAM4,NA,FLT3LG,NA,NA,NA,NA
10577,NA,ALG1,ALOX12-AS1,ARID3A,ZNF845,ZNF532,NA,CEACAM3,NA,RPL13A,NA,NA,NA,NA
10578,NA,EEF2KMT,RP11-589P10.5,WDR18,ZNF765,SEC11C,NA,RPS19,NA,RPS11,NA,NA,NA,NA
10579,NA,RP11-420N3.2,RNASEK,TMEM259,ZNF761,LMAN1,NA,CD79A,NA,FCGRT,NA,NA,NA,NA
10580,NA,METTL22,C17orf49,CNN2,ZNF813,PMAIP1,NA,ARHGEF1,NA,NOSIP,NA,NA,NA,NA
10581,NA,ABAT,MIR497HG,POLR2E,ZNF331,RNF152,NA,RABAC1,NA,PRR12,NA,NA,NA,NA
10582,NA,TMEM186,ASGR1,GPX4,MYADM,PIGN,NA,ZNF574,NA,RRAS,NA,NA,NA,NA
10583,NA,PMM2,DLG4,SBNO2,OSCAR,KIAA1468,NA,POU2F2,NA,SCAF1,NA,NA,NA,NA
10584,NA,CARHSP1,ACADVL,STK11,NDUFA3,TNFRSF11A,NA,DEDD2,NA,IRF3,NA,NA,NA,NA
10585,NA,USP7,DVL2,ATP5D,TFPT,ZCCHC2,NA,GSK3A,NA,BCL2L12,NA,NA,NA,NA
10586,NA,C16orf72,PHF23,MIDN,PRPF31,PHLPP1,NA,ERF,NA,PRMT1,NA,NA,NA,NA
10587,NA,RP11-473I1.5,GABARAP,CIRBP,CNOT3,BCL2,NA,CIC,NA,AP2A1,NA,NA,NA,NA
10588,NA,ATF7IP2,CTDNEP1,C19orf24,LENG1,KDSR,NA,PAFAH1B3,NA,FUZ,NA,NA,NA,NA
10589,NA,EMP2,ELP5,MUM1,TMC4,RP11-635N19.1,NA,TMEM145,NA,MED25,NA,NA,NA,NA
10590,NA,RP11-27M24.1,CLDN7,NDUFS7,MBOAT7,VPS4B,NA,MEGF8,NA,PTOV1,NA,NA,NA,NA
10591,NA,NUBP1,EIF5A,GAMT,TSEN34,SERPINB8,NA,CNFN,NA,PNKP,NA,NA,NA,NA
10592,NA,TVP23A,GPS2,DAZAP1,RPS9,DSEL,NA,LIPE-AS1,NA,AKT1S1,NA,NA,NA,NA
10593,NA,CIITA,NEURL4,RPS15,LILRB3,TMX3,NA,LIPE,NA,TBC1D17,NA,NA,NA,NA
10594,NA,DEXI,ACAP1,CTB-25B13.5,LILRA6,CCDC102B,NA,LYPD3,NA,IL4I1,NA,NA,NA,NA
10595,NA,CLEC16A,KCTD11,C19orf25,LILRB2,RTTN,NA,PHLDB3,NA,NUP62,NA,NA,NA,NA
10596,NA,RMI2,TMEM256,MBD3,LILRB5,SOCS6,NA,ETHE1,NA,ATF5,NA,NA,NA,NA
10597,NA,SOCS1,NLGN2,UQCR11,LILRA5,TIMM21,NA,XRCC1,NA,VRK3,NA,NA,NA,NA
10598,NA,LITAF,CHRNB1,TCF3,LILRA4,CYB5A,NA,IRGQ,NA,ZNF473,NA,NA,NA,NA
10599,NA,SNN,ZBTB4,REXO1,LAIR1,CNDP2,NA,ZNF576,NA,KCNC3,NA,NA,NA,NA
10600,NA,TXNDC11,POLR2A,KLF16,LENG8,LINC00909,NA,ZNF428,NA,NR1H2,NA,NA,NA,NA
10601,NA,ZC3H7A,TNFSF12,CTB-31O20.2,LILRA2,ZNF407,NA,PLAUR,NA,POLD1,NA,NA,NA,NA
10602,NA,RSL1D1,SENP3,ABHD17A,LILRA1,ZADH2,NA,SMG9,NA,SPIB,NA,NA,NA,NA
10603,NA,GSPT1,EIF4A1,SCAMP4,LILRB1,TSHZ1,NA,KCNN4,NA,EMC10,NA,NA,NA,NA
10604,NA,SNX29,CD68,CSNK1G2,LILRB4,ZNF516,NA,ZNF283,NA,JOSD2,NA,NA,NA,NA
10605,NA,CPPED1,AC113189.5,BTBD2,CTB-61M7.2,ZNF236,NA,ZNF404,NA,CLEC11A,NA,NA,NA,NA
10606,NA,SHISA9,MPDU1,MKNK2,RDH13,MBP,NA,ZNF45,NA,C19orf48,NA,NA,NA,NA
10607,NA,ERCC4,SOX15,MOB3A,EPS8L1,ATP9B,NA,ZNF230,NA,KLK6,NA,NA,NA,NA
10608,NA,MKL2,FXR2,IZUMO4,PPP1R12C,NFATC1,NA,ZNF224,NA,KLK7,NA,NA,NA,NA
10609,NA,CTA-276F8.1,SAT2,AP3D1,TNNT1,CTDP1,NA,ZNF225,NA,KLK11,NA,NA,NA,NA
10610,NA,PARN,ATP1B2,DOT1L,PPP6R1,PQLC1,NA,ZNF234,NA,SIGLEC9,NA,NA,NA,NA
10611,NA,BFAR,TP53,PLEKHJ1,HSPBP1,HSBP1L1,NA,ZNF226,NA,SIGLEC7,NA,NA,NA,NA
10612,NA,NPIPA1,WRAP53,SF3A2,TMEM150B,TXNL4A,NA,ZNF227,NA,CD33,NA,NA,NA,NA
10613,NA,NOMO1,EFNB3,OAZ1,KMT5C,RBFA,NA,ZNF180,NA,ETFB,NA,NA,NA,NA
10614,NA,PDXDC1,DNAH2,LSM7,TMEM190,ADNP2,NA,PVR,NA,CLDND2,NA,NA,NA,NA
10615,NA,NTAN1,KDM6B,SPPL2B,RPL28,PARD6G,NA,BCL3,NA,NKG7,NA,NA,NA,NA
10616,NA,RRN3,TMEM88,TIMM13,UBE2S,C20orf96,NA,BCAM,NA,SIGLEC10,NA,NA,NA,NA
10617,NA,MPV17L,NAA38,LMNB2,ISOC2,ZCCHC3,NA,PVRL2,NA,SIGLEC14,NA,NA,NA,NA
10618,NA,C16orf45,CYB5D1,GADD45B,NAT14,SOX12,NA,TOMM40,NA,HAS1,NA,NA,NA,NA
10619,NA,KIAA0430,CHD3,GNG7,SSC5D,NRSN2,NA,APOE,NA,FPR1,NA,NA,NA,NA
10620,NA,NDE1,AC025335.1,SLC39A3,ZNF579,TRIB3,NA,APOC1,NA,FPR2,NA,NA,NA,NA
10621,NA,CTB-193M12.5,KCNAB3,SGTA,ZNF524,RBCK1,NA,APOC4-APOC2,NA,FPR3,NA,NA,NA,NA
10622,NA,MYH11,TRAPPC1,THOP1,ZNF865,TBC1D20,NA,APOC2,NA,ZNF577,NA,NA,NA,NA
10623,NA,FOPNL,CNTROB,ZNF554,ZNF580,CSNK2A1,NA,CLPTM1,NA,ZNF613,NA,NA,NA,NA
10624,NA,ABCC1,PER1,ZNF555,ZNF581,SLC52A3,NA,RELB,NA,ZNF649,NA,NA,NA,NA
10625,NA,ABCC6,VAMP2,ZNF57,CCDC106,FAM110A,NA,CLASRP,NA,ZNF350,NA,NA,NA,NA
10626,NA,NOMO3,TMEM107,ZNF77,U2AF2,PSMF1,NA,ZNF296,NA,ZNF614,NA,NA,NA,NA
10627,NA,RPS15A,BORCS6,TLE2,EPN1,TMEM74B,NA,GEMIN7,NA,ZNF432,NA,NA,NA,NA
10628,NA,ARL6IP1,AURKB,AES,ZNF787,SDCBP2,NA,MARK4,NA,ZNF836,NA,NA,NA,NA
10629,NA,SMG1,LINC00324,GNA11,ZNF444,FKBP1A,NA,PPP1R37,NA,PPP2R1A,NA,NA,NA,NA
10630,NA,COQ7,CTC1,NCLN,ZSCAN5A,NSFL1C,NA,TRAPPC6A,NA,ZNF766,NA,NA,NA,NA
10631,NA,ITPRIPL2,PFAS,NFIC,ZNF583,SIRPA,NA,BLOC1S3,NA,ZNF480,NA,NA,NA,NA
10632,NA,RP11-626G11.3,RANGRF,DOHH,ZNF667-AS1,STK35,NA,CKM,NA,ZNF880,NA,NA,NA,NA
10633,NA,SYT17,KRBA2,FZR1,ZNF71,SNRPB,NA,ERCC2,NA,ZNF528,NA,NA,NA,NA
10634,NA,TMC5,RPL26,MFSD12,AC007228.9,ZNF343,NA,CD3EAP,NA,ZNF808,NA,NA,NA,NA
10635,NA,GDE1,NDEL1,HMG20B,ZNF264,NOP56,NA,ERCC1,NA,ZNF701,NA,NA,NA,NA
10636,NA,CCP110,MYH10,TBXA2R,CTC-444N24.8,IDH3B,NA,FOSB,NA,ZNF83,NA,NA,NA,NA
10637,NA,C16orf62,NTN1,CACTIN,CTC-444N24.11,EBF4,NA,RTN2,NA,ZNF611,NA,NA,NA,NA
10638,NA,KNOP1,STX8,PIP5K1C,TRAPPC2P1,CPXM1,NA,PPM1N,NA,ZNF600,NA,NA,NA,NA
10639,NA,IQCK,GAS7,APBA3,ZNF548,PCED1A,NA,VASP,NA,ZNF28,NA,NA,NA,NA
10640,NA,GPRC5B,SCO1,MRPL54,ZNF419,VPS16,NA,OPA3,NA,ZNF468,NA,NA,NA,NA
10641,NA,ACSM3,ADPRM,NMRK2,ZNF134,PTPRA,NA,EML2,NA,ZNF320,NA,NA,NA,NA
10642,NA,THUMPD1,TMEM220,DAPK3,ZNF211,MRPS26,NA,SNRPD2,NA,ZNF160,NA,NA,NA,NA
10643,NA,ERI2,TMEM220-AS1,EEF2,ZNF776,UBOX5,NA,FBXO46,NA,ZNF347,NA,NA,NA,NA
10644,NA,AC004381.6,ZNF18,PIAS4,ZNF586,FASTKD5,NA,SYMPK,NA,ZNF665,NA,NA,NA,NA
10645,NA,DCUN1D3,MAP2K4,ZBTB7A,ZNF552,DDRGK1,NA,IRF2BP1,NA,ZNF677,NA,NA,NA,NA
10646,NA,LYRM1,ARHGAP44,MAP2K2,ZNF587B,ITPA,NA,MYPOP,NA,ZNF525,NA,NA,NA,NA
10647,NA,TMEM159,ELAC2,SIRT6,ZNF814,C20orf194,NA,IGFL2,NA,ZNF845,NA,NA,NA,NA
10648,NA,CRYM,HS3ST3A1,CCDC94,ZNF587,ATRN,NA,PPP5C,NA,ZNF765,NA,NA,NA,NA
10649,NA,METTL9,COX10,MPND,ZSCAN18,HSPA12B,NA,CCDC8,NA,ZNF761,NA,NA,NA,NA
10650,NA,UQCRC2,HS3ST3B1,SH3GL1,ZNF274,C20orf27,NA,PPP5D1,NA,ZNF331,NA,NA,NA,NA
10651,NA,C16orf52,RP11-214O1.3,CHAF1A,ZNF544,CENPB,NA,CALM3,NA,MYADM,NA,NA,NA,NA
10652,NA,VWA3A,PMP22,UBXN6,CTD-3138B18.5,CDC25B,NA,PTGIR,NA,OSCAR,NA,NA,NA,NA
10653,NA,SDR42E2,TEKT3,CTB-50L17.10,ERVK3-1,AP5S1,NA,PRKD2,NA,NDUFA3,NA,NA,NA,NA
10654,NA,EEF2K,TVP23C,PLIN5,LLNLR-245B6.1,MAVS,NA,STRN4,NA,TFPT,NA,NA,NA,NA
10655,NA,POLR3E,RP11-385D13.3,TNFAIP8L1,A1BG,RP11-119B16.2,NA,FKRP,NA,PRPF31,NA,NA,NA,NA
10656,NA,CDR2,TRIM16,MYDGF,A1BG-AS1,PANK2,NA,SLC1A5,NA,CNOT3,NA,NA,NA,NA
10657,NA,NPIPB5,ZNF286A,DPP9,RPS5,RNF24,NA,AP2S1,NA,LENG1,NA,NA,NA,NA
10658,NA,USP31,CTD-3157E16.2,FEM1A,ZNF324,SMOX,NA,ARHGAP35,NA,TMC4,NA,NA,NA,NA
10659,NA,COG7,ZSWIM7,AC005523.2,ZNF446,PRNP,NA,TMEM160,NA,MBOAT7,NA,NA,NA,NA
10660,NA,CTD-2270L9.4,TTC19,TICAM1,SLC27A5,PRND,NA,ZC3H4,NA,TSEN34,NA,NA,NA,NA
10661,NA,GGA2,NCOR1,PLIN3,ZBTB45,RASSF2,NA,SAE1,NA,RPS9,NA,NA,NA,NA
10662,NA,EARS2,PIGL,UHRF1,TRIM28,SLC23A2,NA,BBC3,NA,LILRB3,NA,NA,NA,NA
10663,NA,UBFD1,CENPV,KDM4B,CHMP2A,TMEM230,NA,CCDC9,NA,LILRB2,NA,NA,NA,NA
10664,NA,NDUFAB1,UBB,PTPRS,UBE2M,PCNA,NA,INAFM1,NA,LILRA5,NA,NA,NA,NA
10665,NA,PALB2,TRPV2,SAFB2,MZF1-AS1,CDS2,NA,C5AR1,NA,LAIR1,NA,NA,NA,NA
10666,NA,DCTN5,LRRC75A,SAFB,MZF1,GPCPD1,NA,C5AR2,NA,TTYH1,NA,NA,NA,NA
10667,NA,PLK1,ZNF287,RPL36,TPTEP1,C20orf196,NA,DHX34,NA,LENG8,NA,NA,NA,NA
10668,NA,RBBP6,ZNF624,C19orf70,IL17RA,TRMT6,NA,KPTN,NA,LENG9,NA,NA,NA,NA
10669,NA,TNRC6A,CCDC144A,HSD11B1L,CECR5,MCM8,NA,NAPA-AS1,NA,LILRA2,NA,NA,NA,NA
10670,NA,ARHGAP17,RP11-219A15.1,LONP1,CECR1,CRLS1,NA,NAPA,NA,LILRB1,NA,NA,NA,NA
10671,NA,LCMT1,MPRIP,DUS3L,ATP6V1E1,BMP2,NA,GLTSCR1,NA,LILRB4,NA,NA,NA,NA
10672,NA,ZKSCAN2,MPRIP-AS1,NDUFA11,BCL2L13,TMX4,NA,GLTSCR2,NA,KIR2DL3,NA,NA,NA,NA
10673,NA,CTD-2547G23.4,PLD6,VMAC,BID,PLCB1,NA,SEPW1,NA,KIR2DL1,NA,NA,NA,NA
10674,NA,NSMCE1,FLCN,CAPS,MICAL3,PLCB4,NA,PLA2G4C,NA,KIR2DL4,NA,NA,NA,NA
10675,NA,FLJ21408,COPS3,RANBP3,PEX26,LAMP5,NA,LIG1,NA,KIR3DL2,NA,NA,NA,NA
10676,NA,IL4R,MED9,RFX2,USP18,ANKEF1,NA,C19orf68,NA,CTB-61M7.2,NA,NA,NA,NA
10677,NA,GTF3C1,RASD1,MLLT1,DGCR2,SNAP25,NA,CARD8,NA,NCR1,NA,NA,NA,NA
10678,NA,KIAA0556,PEMT,CLPP,DGCR14,MKKS,NA,CARD8-AS1,NA,NLRP2,NA,NA,NA,NA
10679,NA,XPO6,RAI1,ALKBH7,SLC25A1,SLX4IP,NA,EMP3,NA,RDH13,NA,NA,NA,NA
10680,NA,SBK1,SMCR5,GTF2F1,HIRA,JAG1,NA,TMEM143,NA,EPS8L1,NA,NA,NA,NA
10681,NA,CLN3,SREBF1,KHSRP,C22orf39,BTBD3,NA,KDELR1,NA,PPP1R12C,NA,NA,NA,NA
10682,NA,NUPR1,TOM1L2,SLC25A23,MRPL40,SPTLC3,NA,GRWD1,NA,TNNT1,NA,NA,NA,NA
10683,NA,RP11-666O2.2,DRC3,C3,UFD1L,TASP1,NA,CYTH2,NA,PPP6R1,NA,NA,NA,NA
10684,NA,SGF29,ATPAF2,GPR108,CLDN5,ESF1,NA,RPL18,NA,HSPBP1,NA,NA,NA,NA
10685,NA,SULT1A2,GID4,TRIP10,GNB1L,NDUFAF5,NA,SPHK2,NA,KMT5C,NA,NA,NA,NA
10686,NA,SULT1A1,DRG2,ZNF557,C22orf29,KIF16B,NA,DBP,NA,TMEM190,NA,NA,NA,NA
10687,NA,EIF3C,MYO15A,INSR,TXNRD2,SNRPB2,NA,CA11,NA,RPL28,NA,NA,NA,NA
10688,NA,ATXN2L,ALKBH5,PEX11G,COMT,DSTN,NA,BCAT2,NA,UBE2S,NA,NA,NA,NA
10689,NA,TUFM,LLGL1,ZNF358,TANGO2,RRBP1,NA,HSD17B14,NA,ISOC2,NA,NA,NA,NA
10690,NA,SH2B1,FLII,MCOLN1,DGCR8,SNX5,NA,PPP1R15A,NA,ZNF628,NA,NA,NA,NA
10691,NA,RP11-22P6.2,MIEF2,PNPLA6,TRMT2A,MGME1,NA,NUCB1,NA,ZNF524,NA,NA,NA,NA
10692,NA,ATP2A1-AS1,TOP3A,XAB2,RANBP1,PET117,NA,BAX,NA,ZNF784,NA,NA,NA,NA
10693,NA,RABEP2,SMCR8,PET100,ZDHHC8,CSRP2BP,NA,FTL,NA,ZNF580,NA,NA,NA,NA
10694,NA,NFATC2IP,SHMT1,STXBP2,DGCR6L,ZNF133,NA,GYS1,NA,ZNF581,NA,NA,NA,NA
10695,NA,SPNS1,ZNF286B,TRAPPC5,KLHL22,POLR3F,NA,RUVBL2,NA,CCDC106,NA,NA,NA,NA
10696,NA,LAT,TRIM16L,EVI5L,MED15,RBBP9,NA,SNRNP70,NA,U2AF2,NA,NA,NA,NA
10697,NA,RP11-345J4.5,TVP23B,MAP2K7,PI4KA,SEC23B,NA,LIN7B,NA,EPN1,NA,NA,NA,NA
10698,NA,SPN,PRPSAP2,SNAPC2,SNAP29,LINC00493,NA,TRPM4,NA,ZNF444,NA,NA,NA,NA
10699,NA,QPRT,RP11-160E2.6,CTXN1,CRKL,DTD1,NA,CD37,NA,ZSCAN5A,NA,NA,NA,NA
10700,NA,KIF22,EPN2,TIMM44,XXbac-B135H6.15,RIN2,NA,PIH1D1,NA,ZNF583,NA,NA,NA,NA
10701,NA,MAZ,B9D1,ELAVL1,LZTR1,NAA20,NA,ALDH16A1,NA,ZNF667-AS1,NA,NA,NA,NA
10702,NA,AC009133.12,MAPK7,CERS4,THAP7,CRNKL1,NA,FLT3LG,NA,ZFP28,NA,NA,NA,NA
10703,NA,PRRT2,MFAP4,CD320,HIC2,RALGAPA2,NA,RPL13A,NA,ZNF470,NA,NA,NA,NA
10704,NA,PAGR1,SLC47A1,NDUFA7,TMEM191C,KIZ,NA,RPS11,NA,ZNF71,NA,NA,NA,NA
10705,NA,MVP,ALDH3A2,RPS28,UBE2L3,KIZ-AS1,NA,FCGRT,NA,PEG3,NA,NA,NA,NA
10706,NA,CDIPT,ULK2,KANK3,YDJC,RP1-198K11.5,NA,RCN3,NA,ZNF264,NA,NA,NA,NA
10707,NA,SEZ6L2,AKAP10,ANGPTL4,SDF2L1,XRN2,NA,NOSIP,NA,CTC-444N24.8,NA,NA,NA,NA
10708,NA,ASPHD1,SPECC1,RAB11B-AS1,PPIL2,THBD,NA,PRR12,NA,CTC-444N24.11,NA,NA,NA,NA
10709,NA,KCTD13,CCDC144NL-AS1,RAB11B,MAPK1,CD93,NA,RRAS,NA,ZNF543,NA,NA,NA,NA
10710,NA,TMEM219,USP22,MARCH2,PPM1F,NXT1,NA,SCAF1,NA,TRAPPC2P1,NA,NA,NA,NA
10711,NA,TAOK2,DHRS7B,HNRNPM,TOP3B,GZF1,NA,IRF3,NA,ZNF548,NA,NA,NA,NA
10712,NA,HIRIP3,TMEM11,ZNF414,IGLC2,NAPB,NA,BCL2L12,NA,ZNF17,NA,NA,NA,NA
10713,NA,INO80E,NATD1,MYO1F,IGLC3,CST3,NA,PRMT1,NA,ZNF419,NA,NA,NA,NA
10714,NA,DOC2A,MAP2K3,ADAMTS10,BCR,CST7,NA,AP2A1,NA,ZNF773,NA,NA,NA,NA
10715,NA,ALDOA,KCNJ12,ZNF558,CHCHD10,APMAP,NA,FUZ,NA,ZNF550,NA,NA,NA,NA
10716,NA,PPP4C,C17orf51,ZNF317,MMP11,ACSS1,NA,MED25,NA,ZNF134,NA,NA,NA,NA
10717,NA,TBX6,MTRNR2L1,ZNF699,SMARCB1,ENTPD6,NA,PTOV1,NA,ZNF211,NA,NA,NA,NA
10718,NA,YPEL3,WSB1,ZNF559,DERL3,PYGB,NA,PNKP,NA,ZNF551,NA,NA,NA,NA
10719,NA,RP11-455F5.3,KSR1,ZNF266,SLC2A11,ABHD12,NA,AKT1S1,NA,ZNF671,NA,NA,NA,NA
10720,NA,GDPD3,LGALS9,ZNF426,MIF,NINL,NA,TBC1D17,NA,ZNF776,NA,NA,NA,NA
10721,NA,MAPK3,RP11-138P22.1,ZNF121,MIF-AS1,NANP,NA,IL4I1,NA,ZNF586,NA,NA,NA,NA
10722,NA,CORO1A,LYRM9,ZNF561,DDT,ZNF337,NA,NUP62,NA,ZNF552,NA,NA,NA,NA
10723,NA,BOLA2B,NLK,ZNF562,CABIN1,REM1,NA,ATF5,NA,ZNF814,NA,NA,NA,NA
10724,NA,SULT1A3,TMEM97,ZNF846,GGT5,HM13,NA,VRK3,NA,ZNF587,NA,NA,NA,NA
10725,NA,CD2BP2,IFT20,FBXL12,SPECC1L,ID1,NA,KCNC3,NA,ZNF256,NA,NA,NA,NA
10726,NA,RP11-347C12.10,TNFAIP1,UBL5,GUCD1,COX4I2,NA,NR1H2,NA,ZNF606,NA,NA,NA,NA
10727,NA,TBC1D10B,POLDIP2,CTD-2623N2.11,SNRPD3,BCL2L1,NA,NAPSA,NA,ZNF135,NA,NA,NA,NA
10728,NA,MYLPF,TMEM199,PIN1,GGT1,FOXS1,NA,POLD1,NA,ZSCAN18,NA,NA,NA,NA
10729,NA,ZNF48,SARM1,OLFM2,LRP5L,PDRG1,NA,SPIB,NA,ZNF329,NA,NA,NA,NA
10730,NA,SEPT1,VTN,COL5A3,ADRBK2,CCM2L,NA,EMC10,NA,ZNF274,NA,NA,NA,NA
10731,NA,ZNF771,SLC46A1,C19orf66,HPS4,TM9SF4,NA,CTD-2545M3.8,NA,ZNF544,NA,NA,NA,NA
10732,NA,DCTPP1,RP11-192H23.4,PPAN,SRRD,PLAGL2,NA,JOSD2,NA,CTD-3138B18.5,NA,NA,NA,NA
10733,NA,ZNF768,UNC119,EIF3G,TFIP11,POFUT1,NA,CLEC11A,NA,ZNF8,NA,NA,NA,NA
10734,NA,ZNF747,PIGS,DNMT1,TPST2,KIF3B,NA,C19orf48,NA,ERVK3-1,NA,NA,NA,NA
10735,NA,AC002310.12,ALDOC,S1PR2,CRYBB1,ASXL1,NA,KLK11,NA,LLNLR-245B6.1,NA,NA,NA,NA
10736,NA,ZNF764,RP11-192H23.6,MRPL4,PITPNB,NOL4L,NA,SIGLEC9,NA,A1BG,NA,NA,NA,NA
10737,NA,ZNF688,SGK494,ICAM1,TTC28,COMMD7,NA,SIGLEC7,NA,A1BG-AS1,NA,NA,NA,NA
10738,NA,ZNF785,KIAA0100,FDX1L,CHEK2,MAPRE1,NA,CD33,NA,ZNF837,NA,NA,NA,NA
10739,NA,ZNF689,SDF2,ICAM3,HSCB,RP5-1085F17.3,NA,ETFB,NA,RPS5,NA,NA,NA,NA
10740,NA,PRR14,SUPT6H,TYK2,CCDC117,CDK5RAP1,NA,CLDND2,NA,ZNF584,NA,NA,NA,NA
10741,NA,FBRS,PROCA1,CDC37,XBP1,CBFA2T2,NA,NKG7,NA,ZNF324,NA,NA,NA,NA
10742,NA,RP11-146F11.1,RAB34,PDE4A,CTA-292E10.6,NECAB3,NA,SIGLEC10,NA,ZNF446,NA,NA,NA,NA
10743,NA,SRCAP,RPL23A,KEAP1,KREMEN1,PXMP4,NA,ZNF175,NA,SLC27A5,NA,NA,NA,NA
