,CD8T,Epithelial,Fibroblast,Pericyte,Macrophage,Endothelial,CD4T,DC,B,NKT,Mast,Monocyte,NK,Plasma
137,ZNF683,DHRS3,PLEKHM2,NBPF1,NBL1,FBXO42,C1QA,UBR4,CNR2,SDHB,MUL1,HNRNPR,ZBTB40,CDC42
138,DHDDS,C1orf158,FBLIM1,CROCC,TMCO4,SZRD1,C1QC,RP1-43E13.2,PNRC2,PADI2,PINK1,ID3,C1QA,ZBTB40
139,HMGN2,PDPN,UQCRHL,RP11-108M9.4,PLA2G2A,NECAP2,C1QB,EMC1,SRSF10,RCC2,DDOST,RPL11,C1QC,C1QA
140,RPS6KA1,PRDM2,FLJ37453,MFAP2,MUL1,RP4-798A10.2,KDM1A,MRTO4,NIPAL3,ARHGEF10L,HP1BP3,TCEB3,C1QB,C1QC
141,ARID1A,KAZN,SPEN,ATP13A2,CDA,NBPF1,LUZP1,AKR7A2,RCAN3,UBR4,EIF4G3,PITHD1,KDM1A,C1QB
142,ZDHHC18,TMEM51,ZBTB17,SDHB,PINK1,CROCC,LINC01355,PQLC2,RP4-594I10.3,EMC1,USP48,LYPLA2,LUZP1,KDM1A
143,GPN2,FHAD1,HSPB7,RCC2,DDOST,RP11-108M9.4,HNRNPR,CAPZB,SRRM1,MRTO4,HSPG2,GALE,LINC01355,LUZP1
144,NUDC,EFHD2,EPHA2,ARHGEF10L,HP1BP3,MFAP2,TCEA3,MINOS1,CLIC4,AKR7A2,CDC42,HMGCL,HNRNPR,LINC01355
145,WDTC1,CASP9,ARHGEF19,ALDH4A1,EIF4G3,ATP13A2,E2F2,NBL1,RUNX3,PQLC2,ZBTB40,FUCA1,ID3,HNRNPR
146,TMEM222,DNAJC16,RSG1,IFFO2,ECE1,SDHB,ID3,TMCO4,SYF2,CAPZB,C1QA,PNRC2,RPL11,TCEA3
147,SYTL1,AGMAT,FBXO42,UBR4,USP48,RCC2,RPL11,OTUD3,RSRP1,MINOS1,C1QC,SRSF10,TCEB3,E2F2
148,MAP3K6,DDI2,SZRD1,RP1-43E13.2,HSPG2,IFFO2,TCEB3,PLA2G2A,TMEM50A,NBL1,C1QB,RCAN3,TCEB3-AS1,ID3
149,WASF2,PLEKHM2,NECAP2,EMC1,LINC00339,UBR4,TCEB3-AS1,MUL1,TMEM57,TMCO4,LUZP1,SRRM1,PITHD1,RPL11
150,AHDC1,FBLIM1,NBPF1,MRTO4,CDC42,RP1-43E13.2,PITHD1,PINK1,LDLRAP1,OTUD3,HNRNPR,CLIC4,LYPLA2,TCEB3
151,FGR,UQCRHL,CROCC,AKR7A2,ZBTB40,EMC1,LYPLA2,DDOST,SEPN1,PLA2G2A,ZNF436,RUNX3,GALE,TCEB3-AS1
152,IFI6,FLJ37453,RP11-108M9.4,PQLC2,C1QA,MRTO4,GALE,KIF17,MTFR1L,CAMK2N1,TCEA3,SYF2,HMGCL,PITHD1
153,FAM76A,SPEN,RP11-108M9.6,CAPZB,C1QC,AKR7A2,HMGCL,HP1BP3,STMN1,MUL1,ASAP3,RSRP1,FUCA1,LYPLA2
154,STX12,ZBTB17,MFAP2,MINOS1,C1QB,PQLC2,FUCA1,EIF4G3,PAFAH2,CDA,ID3,TMEM50A,CNR2,GALE
155,PPP1R8,HSPB7,ATP13A2,NBL1,EPHB2,CAPZB,PNRC2,ECE1,ZNF593,PINK1,RPL11,TMEM57,PNRC2,HMGCL
