,NK,NKT,CD4T,CD8T,Endothelial,Epithelial,Macrophage,Monocyte,DC,B,Plasma,Mast,Fibroblast,Pericyte
56,CAMTA1,RNF207,DNAJC11,VAMP3,RPL22,RP3-395M20.12,LRRC47,VAMP3,TNFRSF25,TNFRSF9,CEP104,FUCA1,MMEL1,CEP104
57,VAMP3,ICMT,CAMTA1,UTS2,RNF207,TNFRSF14,CEP104,UTS2,NOL9,PARK7,C1orf174,PNRC2,TPRG1L,C1orf174
58,UTS2,ACOT7,VAMP3,TNFRSF9,ICMT,FAM213B,DFFB,PARK7,ZBTB48,ERRFI1,KCNAB2,SRSF10,WRAP73,RPL22
59,TNFRSF9,TNFRSF25,UTS2,PARK7,ACOT7,MMEL1,C1orf174,ERRFI1,KLHL21,RERE,RPL22,SRRM1,TP73-AS1,RNF207
60,PARK7,NOL9,TNFRSF9,ERRFI1,HES2,TPRG1L,NPHP4,RERE,PHF13,ENO1,RNF207,CLIC4,SMIM1,ICMT
61,ERRFI1,ZBTB48,PARK7,RERE,ESPN,WRAP73,KCNAB2,ENO1,THAP3,GPR157,ICMT,RUNX3,LRRC47,ACOT7
62,RERE,KLHL21,ERRFI1,ENO1,TNFRSF25,TP73,RPL22,GPR157,DNAJC11,H6PD,ACOT7,SYF2,CEP104,RP1-202O8.3
63,ENO1,THAP3,RERE,H6PD,PLEKHG5,TP73-AS1,RNF207,H6PD,CAMTA1,SLC25A33,TNFRSF25,C1orf63,DFFB,TNFRSF25
64,H6PD,DNAJC11,ENO1,SLC25A33,NOL9,SMIM1,ICMT,SLC25A33,VAMP3,PIK3CD,NOL9,TMEM50A,C1orf174,PLEKHG5
65,SLC25A33,CAMTA1,H6PD,PIK3CD,ZBTB48,LRRC47,ACOT7,PIK3CD,UTS2,CLSTN1,ZBTB48,LDLRAP1,NPHP4,NOL9
66,PIK3CD,VAMP3,SPSB1,CLSTN1,KLHL21,CEP104,TNFRSF25,CLSTN1,TNFRSF9,CTNNBIP1,KLHL21,PAQR7,KCNAB2,ZBTB48
67,CLSTN1,PER3,SLC25A33,CTNNBIP1,PHF13,DFFB,PLEKHG5,CTNNBIP1,PARK7,LZIC,PHF13,STMN1,RPL22,KLHL21
68,CTNNBIP1,UTS2,PIK3CD,LZIC,THAP3,C1orf174,NOL9,LZIC,ERRFI1,UBE4B,THAP3,PDIK1L,RNF207,PHF13
69,LZIC,TNFRSF9,CLSTN1,UBE4B,DNAJC11,NPHP4,ZBTB48,RBP7,RERE,KIF1B,DNAJC11,ZNF593,ICMT,THAP3
70,UBE4B,PARK7,CTNNBIP1,KIF1B,CAMTA1,KCNAB2,KLHL21,UBE4B,ENO1,PGD,CAMTA1,SH3BGRL3,ACOT7,DNAJC11
71,KIF1B,ERRFI1,LZIC,PGD,VAMP3,RPL22,PHF13,KIF1B,GPR157,DFFA,VAMP3,CD52,ESPN,CAMTA1
72,PGD,RERE,UBE4B,DFFA,PER3,RNF207,THAP3,PGD,H6PD,TARDBP,PER3,HMGN2,TNFRSF25,VAMP3
73,DFFA,ENO1,KIF1B,PEX14,TNFRSF9,ICMT,DNAJC11,DFFA,SPSB1,SRM,UTS2,ARID1A,PLEKHG5,PER3
74,PEX14,GPR157,PGD,CASZ1,PARK7,ACOT7,CAMTA1,PEX14,SLC25A33,EXOSC10,TNFRSF9,NUDC,NOL9,PARK7
75,CASZ1,H6PD,APITD1,TARDBP,ERRFI1,RP1-202O8.3,VAMP3,TARDBP,TMEM201,MTOR,PARK7,NR0B2,ZBTB48,ERRFI1
76,TARDBP,SLC25A33,DFFA,RP4-635E18.8,RERE,HES2,PER3,SRM,PIK3CD,UBIAD1,ERRFI1,WDTC1,KLHL21,SLC45A1
77,SRM,PIK3CD,PEX14,SRM,ENO1,ESPN,UTS2,EXOSC10,CLSTN1,FBXO2,RERE,SYTL1,PHF13,RERE
78,EXOSC10,CLSTN1,CASZ1,EXOSC10,H6PD,TNFRSF25,TNFRSF9,MTOR,CTNNBIP1,FBXO44,ENO1,FCN3,THAP3,ENO1
79,MTOR,CTNNBIP1,TARDBP,MTOR,SPSB1,PLEKHG5,PARK7,UBIAD1,LZIC,FBXO6,ENO1-AS1,WASF2,DNAJC11,H6PD
80,UBIAD1,LZIC,RP4-635E18.8,UBIAD1,SLC25A33,NOL9,ERRFI1,FBXO44,NMNAT1,MAD2L2,SLC2A5,IFI6,CAMTA1,SPSB1
81,FBXO2,NMNAT1,SRM,FBXO2,TMEM201,ZBTB48,RERE,FBXO6,RBP7,AGTRAP,GPR157,STX12,VAMP3,SLC25A33
82,FBXO44,RBP7,EXOSC10,FBXO44,PIK3CD,KLHL21,ENO1,MAD2L2,UBE4B,MTHFR,H6PD,ATPIF1,PER3,TMEM201
83,FBXO6,UBE4B,MTOR,FBXO6,CLSTN1,PHF13,SLC2A5,AGTRAP,KIF1B,CLCN6,SPSB1,PHACTR4,UTS2,RP11-558F24.4
84,MAD2L2,KIF1B,UBIAD1,MAD2L2,CTNNBIP1,THAP3,GPR157,MTHFR,PGD,KIAA2013,SLC25A33,RCC1,TNFRSF9,CLSTN1
85,AGTRAP,PGD,FBXO2,AGTRAP,LZIC,DNAJC11,H6PD,CLCN6,APITD1,PLOD1,PIK3CD,TAF12,PARK7,CTNNBIP1
86,MTHFR,APITD1,FBXO44,MTHFR,NMNAT1,CAMTA1,SPSB1,KIAA2013,DFFA,MFN2,RP11-558F24.4,SRSF4,ERRFI1,LZIC
87,KIAA2013,DFFA,FBXO6,KIAA2013,RBP7,VAMP3,SLC25A33,PLOD1,PEX14,MIIP,CLSTN1,LAPTM5,SLC45A1,NMNAT1
88,PLOD1,PEX14,MAD2L2,MFN2,UBE4B,PER3,TMEM201,MFN2,TARDBP,TNFRSF1B,CTNNBIP1,PUM1,RERE,UBE4B
89,MFN2,CASZ1,AGTRAP,MIIP,KIF1B,UTS2,PIK3CD,MIIP,RP4-635E18.8,VPS13D,LZIC,PTP4A2,ENO1,KIF1B
90,MIIP,TARDBP,MTHFR,TNFRSF1B,PGD,TNFRSF9,CLSTN1,TNFRSF8,SRM,DHRS3,NMNAT1,KHDRBS1,SLC2A5,PGD
91,TNFRSF1B,RP4-635E18.8,KIAA2013,VPS13D,APITD1,PARK7,CTNNBIP1,TNFRSF1B,EXOSC10,PRDM2,RBP7,LCK,GPR157,APITD1
92,VPS13D,SRM,PLOD1,DHRS3,DFFA,ERRFI1,LZIC,VPS13D,MTOR,EFHD2,UBE4B,HDAC1,H6PD,DFFA
93,DHRS3,EXOSC10,MFN2,PRDM2,PEX14,RERE,NMNAT1,DHRS3,UBIAD1,CASP9,KIF1B,MARCKSL1,SPSB1,PEX14
94,PRDM2,MTOR,MIIP,EFHD2,CASZ1,ENO1,RBP7,PRDM2,FBXO2,DNAJC16,PGD,BSDC1,SLC25A33,CASZ1
95,EFHD2,UBIAD1,TNFRSF1B,CASP9,TARDBP,ENO1-AS1,UBE4B,TMEM51,FBXO44,DDI2,APITD1,ZBTB8A,TMEM201,TARDBP
96,CASP9,FBXO2,VPS13D,DNAJC16,RP4-635E18.8,GPR157,KIF1B,EFHD2,FBXO6,PLEKHM2,DFFA,ZBTB8OS,PIK3CD,RP4-635E18.8
97,DNAJC16,FBXO44,DHRS3,AGMAT,SRM,H6PD,PGD,CASP9,MAD2L2,RP11-169K16.9,PEX14,RBBP4,RP11-558F24.4,SRM
98,AGMAT,FBXO6,PRDM2,DDI2,EXOSC10,SPSB1,APITD1,DNAJC16,AGTRAP,SPEN,CASZ1,YARS,CLSTN1,EXOSC10
99,DDI2,MAD2L2,EFHD2,PLEKHM2,MTOR,SLC25A33,DFFA,DDI2,MTHFR,ZBTB17,TARDBP,RNF19B,CTNNBIP1,MTOR
100,PLEKHM2,AGTRAP,CASP9,RP11-169K16.9,UBIAD1,TMEM201,PEX14,PLEKHM2,CLCN6,FBXO42,RP4-635E18.8,AK2,LZIC,UBIAD1
101,RP11-169K16.9,MTHFR,DNAJC16,SPEN,FBXO2,PIK3CD,CASZ1,RP11-169K16.9,KIAA2013,SZRD1,SRM,PHC2,NMNAT1,FBXO2
102,SPEN,CLCN6,AGMAT,ZBTB17,FBXO44,RP11-558F24.4,TARDBP,SPEN,PLOD1,NECAP2,EXOSC10,SMIM12,RBP7,FBXO44
103,ZBTB17,KIAA2013,DDI2,ARHGEF19,FBXO6,CLSTN1,RP4-635E18.8,ZBTB17,MFN2,NBPF1,MTOR,SFPQ,UBE4B,FBXO6
104,ARHGEF19,PLOD1,PLEKHM2,FBXO42,MAD2L2,CTNNBIP1,SRM,FBXO42,MIIP,CROCCP2,UBIAD1,PSMB2,KIF1B,MAD2L2
105,FBXO42,MFN2,RP11-169K16.9,SZRD1,AGTRAP,LZIC,EXOSC10,SZRD1,TNFRSF1B,RP11-108M9.4,FBXO2,THRAP3,PGD,AGTRAP
106,SZRD1,MIIP,SPEN,NECAP2,MTHFR,NMNAT1,MTOR,NECAP2,VPS13D,ATP13A2,FBXO44,EVA1B,APITD1,C1orf167
107,NECAP2,TNFRSF1B,ZBTB17,CROCCP2,CLCN6,RBP7,UBIAD1,NBPF1,DHRS3,SDHB,FBXO6,STK40,DFFA,MTHFR
108,CROCCP2,VPS13D,ARHGEF19,RP11-108M9.4,KIAA2013,UBE4B,FBXO2,CROCCP2,PRDM2,RCC2,MAD2L2,MRPS15,PEX14,CLCN6
109,CROCC,DHRS3,FBXO42,ATP13A2,PLOD1,KIF1B,FBXO44,RP11-108M9.4,TMEM51,IFFO2,AGTRAP,ZC3H12A,CASZ1,KIAA2013
110,RP11-108M9.4,PRDM2,SZRD1,SDHB,MFN2,PGD,FBXO6,ATP13A2,EFHD2,UBR4,C1orf167,MEAF6,TARDBP,PLOD1
111,ATP13A2,TMEM51,NECAP2,RCC2,MIIP,APITD1,MAD2L2,SDHB,CASP9,EMC1,MTHFR,GNL2,RP4-635E18.8,MFN2
112,SDHB,EFHD2,NBPF1,IFFO2,TNFRSF1B,DFFA,AGTRAP,PADI4,DNAJC16,MRTO4,CLCN6,SF3A3,SRM,MIIP
