B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT
NA	TSHZ2	RPS23	MT2A	LY6E	DUOXA1	CDC42EP2	MYO6	NA	RPS19	LITAF	PSMC3
NA	FAM65B	SAMHD1	IL1RN	RPL26	RPL41	GGCX	TBC1D10C	NA	EVL	DHRS7	MCM3
NA	FCGRT	TUBA4A	SPI1	CAV2	RNASET2	PTGES2	POR	NA	CDKN1B	NINJ1	CD3E
NA	CCT4	RPL8	INSIG1	ANXA2	LINC00152	TSC22D3	ITGB2	NA	TUBA1B	ICAM1	MTHFD2
NA	YTHDC1	ISG15	ANKRD12	NRP2	FGL1	TINAGL1	TRPV2	NA	PICALM	CDKN1A	NUDC
NA	RNF145	PMAIP1	EML4	LY96	IGHM	ACTN1	PKP2	NA	YBX1	TUBA4A	PPP1R15A
NA	TSPO	RPL4	IL1B	CYB5A	LPP	LTBP4	PLIN2	NA	SLC25A37	IGFBP2	IFI27L2
NA	ANXA5	UQCR11	TCOF1	ANKRD28	PYCR1	UBE2L3	LDHB	NA	VPS26A	TTC38	CENPM
NA	LDLRAD4	PHLDA1	ANXA1	TFPI	DPCR1	RPS12	C1ORF162	NA	DDX21	CX3CR1	GALM
NA	AAK1	KDM6B	ID3	APH1A	CEACAM6	CD248	CREG1	NA	ATP5B	STIP1	TMPO
NA	DYNLT1	KLRB1	GZF1	ATP2B1	ARPC3	C19ORF24	TKT	NA	CRIP1	CD47	IER5
NA	LDLR	ADD3	PPA1	LEPROT	FADS3	PFDN5	ALOX5	NA	TLR2	NFKB2	PSME2
NA	FAM118A	BIRC3	CAMK1	EDNRB	RPS27A	TRAPPC4	VAT1	NA	CLEC2B	CD3G	SLBP
NA	PPP1R15B	RPL32	CDKN2D	RPS10	SAT1	MFAP4	LIMS1	NA	PTPN6	CAP1	VAMP2
NA	FBLN7	ABHD3	TPM4	HSPH1	AKR7A3	MED28	MGST1	NA	FLNA	PSAP	TPX2
NA	TRAF1	RPL35	CTSA	MTUS1	COL4A3	PLEKHA5	CD9	NA	OXR1	EMP3	MAD2L1
NA	GYG1	TSC22D1	RGS16	CCDC85B	RPS11	GINM1	FN1	NA	HMOX1	AGPAT5	SNRPD1
NA	BST2	SUN2	MEF2C	SEC62	ICAM1	RAB31	CORO1A	NA	GRK6	RPL41	ANXA5
