B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT
NA	NFKBIA	CYTIP	SBDS	RPLP0	IFI6	BRD3	HIF1A	NA	CDK11B	SYNE2	HMGB3
NA	DUSP1	PNRC1	MAT2A	WAC	KLF6	SDCBP	ZFP36L1	NA	UBXN1	IGFBP7	ASPM
NA	RALGAPA1	EIF3J	LMNA	SELE	CETN2	RBP1	FABP5	NA	ANP32B	BRK1	IFI16
NA	G3BP2	RPS5	PSME2	MYC	UNC13D	KCNK3	TUBB6	NA	HSPE1	SELPLG	CDT1
NA	IL2RA	IFRD1	HEXB	NDUFB11	NDUFS5	RTCB	MEF2C	NA	SKIL	EML4	PRDX3
NA	NFKB2	GAPDH	HLA.DMA	PPP1R14B	SEMA3B	ALDH7A1	STAC	NA	RBX1	HLA.DPB1	TNFRSF18
NA	CBFB	FABP5	PICALM	RPL24	RPL27	SUN2	CD84	NA	FCGR3A	LYAR	FCER1G
NA	GLIPR2	NAMPT	SYNGR2	IFI16	CAPS	RCN3	ADAM8	NA	PABPC4	PLP2	ACTG1
NA	CDV3	ZFAND5	SRP14	DDOST	ANKRD1	SRP72	MMP9	NA	TREM1	GIMAP7	CKLF
NA	CORO1B	LDHA	PECAM1	MPZL2	MGLL	ATP5B	ACOT7	NA	MTRNR2L8	KLRC2	IFNG
NA	BICDL1	CCT2	ATP2B1	BAZ1A	CKLF	ZNF24	ADAMTSL4	NA	RALY	SOX4	HNRNPLL
NA	AKAP13	RAN	CBX6	FAM167B	S100A11	PMP22	PTMA	NA	ARHGDIA	CHST2	BAZ1B
NA	NINJ1	ARID5A	CALM1	ZBTB16	RPS3	PARN	ENPP2	NA	WDR1	PRDM1	SNRNP70
NA	NASP	RPS18	NAF1	TMEM255B	COX6B1	SELT	TGFBI	NA	TRIB1	TRAF3IP3	ATP5J
NA	ARID5B	SAMD3	NUP214	APRT	UCHL1	CFDP1	MSR1	NA	ISG20	HCST	HPRT1
NA	ZBTB16	TSPYL2	RNF130	COX8A	FKBP11	AOC3	PAG1	NA	NA	ZEB2	RPL7
NA	EIF4A3	TMA7	ISCU	NUAK1	TMEM258	CLIC4	CALR	NA	NA	PCSK7	HELLS
NA	NUDC	NOP58	MRC1	TPD52L1	APOC1	TBX5	ACVRL1	NA	NA	KLF2	PSMA4
NA	ELOVL5	RP11.291B21.2	CAMK1D	DDX21	MUC3A	TMEM67	PPIB	NA	NA	PPIB	DTYMK
NA	STK10	ITGA1	SLC31A2	MCAM	MMP1	STX4	CAPZB	NA	NA	PTMA	RMI2
NA	PTP4A1	MXD1	BIRC3	RPS15	TFCP2L1	ELOVL1	AKR1C2	NA	NA	TNFRSF12A	MIR155HG
NA	DDX3Y	RPL37	DUSP4	OSTC	WFDC2	HOXB5	STX11	NA	NA	C1QB	PTGES3
NA	FKBP11	TRGC2	GADD45B	GAPDH	RPL32	HIF1A	FDFT1	NA	NA	RPL36	LSM2
NA	SEPT11	PGK1	IDS	LSM8	SPINK4	SDF2	AGPAT2	NA	NA	ABCG1	TFDP1
NA	CYSLTR1	NABP1	FLT3	NDEL1	IGHG3	URM1	BHLHE41	NA	NA	CXCR4	AURKA
NA	H2AFZ	CYCS	FYB	CD34	PEBP1	TAF7	ENPP4	NA	NA	PPP2R5C	GNAS
NA	G0S2	MOB4	IRF8	RPL35A	ANXA3	WLS	HLA.DMB	NA	NA	LTB	BST2
NA	NKG7	P2RY8	NUB1	TPR	SNRPE	GPNMB	RPS20	NA	NA	ARPC3	NDUFV2
NA	PABPC1	TUBA1B	LDHA	NEAT1	TNFRSF21	ETFA	SOD2	NA	NA	IFRD1	LINC00152
NA	VMP1	CLK1	DEDD2	JMJD1C	FMO2	HSPB1	ARL4C	NA	NA	UCP2	COX5A
NA	PTTG1	TSC22D3	CST7	RAB11A	FOXJ1	FKBP5	ENO1	NA	NA	CSRNP1	IGHG4
NA	HNRNPU	CDC25B	LAT2	BMPR2	RP11.462G2.1	RTN4	PPA1	NA	NA	CCT4	CBX3
NA	SRSF2	TGFBR3	EIF3J	DHRS7	WSB1	OPN3	VSIG4	NA	NA	KIR2DL4	PGAM1
NA	ATP1B3	LPCAT1	SOD2	COL15A1	ROMO1	RPS6	RASSF4	NA	NA	PTP4A2	YWHAE
NA	EVI2A	ARPC1B	PKM	RPL35	FAAP20	BCAT2	RPL36	NA	NA	PSMB9	RRP7A
NA	METTL8	HN1	TUBB6	CACYBP	TSPAN13	DYNC1I2	MYL12A	NA	NA	PLK2	RRM1
NA	HSP90B1	SAT1	ACTR3	RPL27	EFNA1	RARRES2	CHMP1B	NA	NA	C1QA	LSM4
NA	GNA15	KPNA2	EIF4A1	TMBIM6	ODF2L	PPP1CB	FAM49B	NA	NA	SNHG8	H2AFY
NA	ST3GAL1	CD83	ARHGDIB	CBX3	MORN2	CPQ	LGMN	NA	NA	KIR2DL1	PSMA3
NA	RGS10	RNPEPL1	MIR4435.2HG	DLC1	MT.CO1	ANKRD12	PLBD1	NA	NA	CRIP1	IFITM2
NA	SYAP1	TUBA1A	GEM	RPS3A	RPS15	THY1	STAB1	NA	NA	TGFB1	ITGB2
NA	HTATSF1	JMJD6	EIF4A3	KTN1	ANAPC11	USB1	IGSF6	NA	NA	AKR1C3	RPA3
NA	RABAC1	MT.CO3	SPATS2L	PTMS	LRRC1	NT5C2	CXCL5	NA	NA	LAMP1	DUT
NA	FLT3LG	NKRF	CTNNB1	LSM7	HSP90B1	TAOK3	TMEM128	NA	NA	CFL1	ETFB
NA	SC5D	CDKN2C	HIST1H2AC	CFI	XIST	ARMC9	B3GNT7	NA	NA	PTGES3	TCP1
NA	ID3	UBA52	BCL3	RPL11	TMEM176A	RUNX1	CCL13	NA	NA	CD53	HLA.DRA
NA	P4HB	VCAM1	NAAA	CTNNAL1	SOX4	MMP14	ABHD5	NA	NA	EIF4A3	RHOH
NA	FAM133B	CCDC117	LCP1	TMEM123	KRT17	ATP2C1	SCCPDH	NA	NA	PPP1CA	CCNA2
NA	FYB	ATP1B3	TMEM109	PRDX4	NME2	TMEM258	RPS4Y1	NA	NA	SERF2	MRPL12
NA	SAT1	PTP4A1	FDFT1	ADAMTS1	CYB5A	SLPI	CYB5R3	NA	NA	PFKFB3	NONO
NA	ATF3	MGST3	JMY	PGM2L1	CFL1	VPS4A	C20ORF27	NA	NA	GPSM3	GLA
NA	RNF115	PTMS	ITGA4	KMT2E	SCNN1B	SMTN	CAMK1	NA	NA	RGS2	SEC11A
NA	HCST	BST2	SRGAP2	CRIP2	RPL35	YIPF3	KAT8	NA	NA	STK17A	TSC22D3
NA	ZFP36L1	CCL4	PPP1R10	FBL	LINC01207	RPS15	MGLL	NA	NA	TMBIM6	MRPL23
NA	CTSW	NASP	LGALS3	PICALM	SMOC1	SCP2	SLC40A1	NA	NA	ANXA2	ZBED2
NA	RNF125	GALNT2	RAB11FIP1	NDUFAF3	NBL1	ZFAND5	LRPAP1	NA	NA	ARPC1B	GINS2
NA	GIMAP7	TRDC	CLEC7A	ATF3	TNNC1	STX12	ATF3	NA	NA	RARA	NUDT1
NA	MYL12B	CREM	AC016831.7	STAU1	LINC01133	CYB5B	RARA	NA	NA	NFKBIZ	CMC1
NA	SEC61B	PTGER2	M6PR	PECAM1	GPX1	EPAS1	RPL35	NA	NA	EZR	SCAND1
NA	SPOCK2	PCSK7	FCGRT	PPA1	LIMCH1	MINOS1	GPX1	NA	NA	ARL6IP5	TNFRSF4
NA	SUN2	MT.CO1	ACADVL	NOSTRIN	ANXA10	TMEM106B	FOSB	NA	NA	TUBA1C	SNRNP25
NA	MED10	RALGAPA1	C4ORF48	GLRX3	LRRIQ1	COX4I2	CLEC10A	NA	NA	ATP1B1	TRAF1
NA	FAM129A	GPSM3	UQCRH	MMP2	NDNF	TALDO1	AIF1	NA	NA	CD6	CCR7
NA	RSRC2	ST13	RSRP1	SLC38A2	RPS8	TMEM14C	PPT1	NA	NA	RP11.51J9.5	PRDX1
NA	MTHFD2	RACK1	MT1X	SLC2A3	PCP4	TMED3	SCD	NA	NA	DUSP2	H2AFX
NA	SELK	SAP18	PRMT9	FOSB	RPS3A	GUCY1B3	PEA15	NA	NA	EIF3J	TCEB1
NA	FRMD4B	TPI1	TMEM243	KRT10	LGR4	EMILIN1	GAL3ST4	NA	NA	C1ORF21	ARL6IP1
NA	CEBPD	AZIN1	HN1	COPS9	HPGD	C6ORF89	BEST1	NA	NA	VIM	PDLIM4
NA	TPI1	DDIT3	PARM1	COPS6	SHFM1	WDR18	OPTN	NA	NA	PTP4A1	PMVK
NA	TUBB4B	FAM177A1	RP11.138A9.2	ACADVL	CST6	PCMTD1	IGHG3	NA	NA	CCL5	ZWINT
NA	ZFAND5	PPP1CA	HLA.DQA2	ACTR1B	CDKN2A	PPP2R3A	AKIRIN2	NA	NA	CD3D	FXR1
NA	NDUFB9	HNRNPU	VAMP2	RPL7	FHL2	VMP1	SERTAD1	NA	NA	GSTK1	VDAC1
NA	SAMHD1	APMAP	YTHDC1	RPL4	WDR54	PPP1R14A	RASGRP2	NA	NA	RPS27	TMEM106C
NA	RAB9A	ARHGAP30	CAPN2	MYZAP	HPCAL1	LHFP	ECH1	NA	NA	MYADM	TAP2
NA	SNX9	UBE2A	ACTB	HLA.DRB1	PIFO	LRPAP1	CLDN7	NA	NA	SCP2	ANAPC11
NA	PDCD1	GZMH	CLN8	P4HB	N4BP2L2	ANTXR1	SLC27A3	NA	NA	SLC1A5	RAB11B
NA	NMB	CTLA4	TOP1	TIMP3	CTSE	A1BG	PDIA6	NA	NA	SYTL1	HN1
NA	NFKB1	UBE2B	LYZ	DDX17	TUBB4B	NAA15	CD48	NA	NA	HSPA4	UBE2S
NA	GLUD1	AC090498.1	CYBB	HSPA1B	MPG	NR1H2	FOLR2	NA	NA	CD69	HIF1A
NA	UBE2B	MATK	MAFB	RBP5	AGR2	CAV1	MTPN	NA	NA	PRKCB	TANK
NA	CD47	TNFSF9	HSP90B1	PDK4	COX6C	GJA4	COL1A2	NA	NA	ARG2	TIFA
NA	LPXN	SCAND1	IER5	PHPT1	RPL13	UGGT2	TMEM53	NA	NA	F2R	BICDL1
NA	NOSIP	C1ORF21	PDK4	GNAS	ADGRG1	GYG1	DNASE2B	NA	NA	ABI3	SKA2
NA	LINC00869	SLC25A5	ETS2	CWC15	AKR1B10	ATP5H	CAT	NA	NA	JAML	CCT8
NA	AKIRIN2	CCL4L2	CCL4	RFK	UBA52	NIT2	ACOT4	NA	NA	ADD3	LITAF
NA	DAD1	UBE2D3	PSMB9	SET	FXYD5	APRT	LRP1	NA	NA	SYAP1	ZNF267
NA	RABGAP1L	IER2	CD207	UBE2N	NME4	DR1	GPNMB	NA	NA	MIR24.2	CCND3
NA	LYAR	SORL1	CLK1	SPTBN1	FOLR1	RAB11B	FCGR2A	NA	NA	IER3	SQLE
NA	APOBEC3G	LGALS3	CAPG	FLNA	CIRBP	NSMCE1	MMP12	NA	NA	CHST12	TALDO1
NA	TSPYL2	LITAF	GABARAPL2	MDK	FABP6	DST	S1PR4	NA	NA	IL4R	ORC6
NA	TBCB	PTPRC	SAMHD1	SSR3	CBX3	C19ORF53	FCGRT	NA	NA	NFKBID	CD83
NA	HLA.DRB1	ZC3H12A	ZNF331	SNRPE	RSPH1	PLXNB2	ACADVL	NA	NA	DBI	DNAJC8
NA	CYTH1	SRGN	LGALS1	COX14	RPS10	SRGN	ABCG1	NA	NA	IL7R	HNRNPD
NA	CNOT6L	CDKN1A	FTL	NASP	COX20	COX11	RALA	NA	NA	RPS9	CENPW
NA	BIRC3	GMFG	LINC00152	SYNPO	DBI	UFC1	IL2RA	NA	NA	LINC00861	ASXL1
NA	LUC7L3	OAZ1	NDUFA12	FAM213A	APOE	CDH13	CDC42EP3	NA	NA	LAT	SUSD3
NA	XBP1	CRTAM	APLP2	IPO11	PFKP	ORMDL1	HLA.C	NA	NA	RPL37	NME1
NA	PRF1	SRSF3	COX5A	SSR4	ABCA1	SLC16A3	PNPLA2	NA	NA	LAIR2	NUCKS1
NA	CST7	CALM2	TCEAL9	ENTPD1	RP1	EIF3M	GPCPD1	NA	NA	TRAC	GNA15
NA	TANK	ATF4	HIST1H1C	NUCB1	COL4A2	NORAD	GPATCH11	NA	NA	RPL37A	C14ORF166
NA	ARHGAP30	PDCL3	SLC20A1	PSMB8	IL32	PRPF6	ANXA2	NA	NA	TBC1D10C	ROMO1
NA	KLF2	FAM118A	RANBP2	SSU72	LAPTM4B	DNM2	REL	NA	NA	ARPC5	OXNAD1
NA	ZBTB38	RHOB	SAMSN1	EIF5A	PPFIBP1	UBE2N	STAT1	NA	NA	POLR2J3	CARHSP1
NA	CD40LG	LINC00861	NFKBIE	NCL	ID1	VCAM1	GAA	NA	NA	CD164	CENPK
NA	CD28	HLA.F	PTP4A1	CALCRL	MT.ND4	SIRT2	HMOX2	NA	NA	NR4A3	MZT2B
NA	ID2	RGS16	NA	RHOJ	COL6A1	DCTN6	ACYP2	NA	NA	MB21D1	BANF1
NA	SLC38A2	MFNG	NA	C4ORF3	FAM177B	PERP	COMT	NA	NA	H2AFX	DCXR
NA	SH2D1A	TOMM7	NA	RPS7	SECISBP2L	EIF4A2	LGALS1	NA	NA	MIF	ATAD2
NA	CTSD	TUBA1C	NA	IGHG4	RPL35A	CCT6A	IFI16	NA	NA	APOC1	LDHB
NA	GLUL	ZC3HAV1	NA	EGR3	C9ORF24	SELM	RPL36A	NA	NA	PTPN4	TBC1D4
NA	GNL3	MT.ATP6	NA	NDUFB1	LGALS3BP	TUBGCP2	IL3RA	NA	NA	GTF3C1	SQSTM1
NA	GZMM	NAF1	NA	ELK3	MAGI1	SYPL1	AP1S2	NA	NA	TMEM14C	CSNK2B
NA	C1ORF162	TRMT112	NA	RPS16	MT.ND5	NTMT1	GAS6	NA	NA	ITGAL	JCHAIN
NA	CHD2	MTHFD2	NA	DDX3X	ARL14	NDUFA4	ZBTB8OS	NA	NA	RPS29	AIP
NA	MRPS6	GSTP1	NA	HNRNPU	HMGB3	HNRNPDL	BST1	NA	NA	MRPS6	SGO1
NA	CYCS	TRAF3IP3	NA	CMTM8	RPL18A	USP8	ICAM2	NA	NA	CMPK1	CHAF1A
NA	RHBDD2	RPL17	NA	LINC01420	MT.ND3	ATP5L	AZI2	NA	NA	ARL5B	GZMM
NA	HMGB2	IFNGR1	NA	HSPA1A	C20ORF85	PRNP	SRGN	NA	NA	AHI1	RPL34
NA	GGNBP2	CD99	NA	EIF3I	KDELR3	RGS19	ADAM28	NA	NA	LCK	DENR
NA	M6PR	LINC00869	NA	RPL17	RNF213	SON	IL7R	NA	NA	FKBP11	ANP32E
NA	ZFP36	MBP	NA	MMRN1	PDPN	C4ORF48	C1QA	NA	NA	FOSL2	ATP5G3
NA	LY6E	PDCD1	NA	HES1	LINC01290	FAM162B	AHNAK	NA	NA	MYL12B	FABP4
NA	CD74	SKIL	NA	TUBB6	ATOX1	PPT1	MT1E	NA	NA	ATF4	EXOSC9
NA	SYTL3	ELL2	NA	RPL10	COX7C	ISCA1	NCEH1	NA	NA	LDHA	LMCD1
NA	TLE4	PPIB	NA	LAMTOR5	ZFP36	SPARC	OLFML3	NA	NA	CD160	PSME1
NA	ISG20	ID3	NA	TPRKB	TSPAN1	DNM1L	ZFAND5	NA	NA	MORF4L2	SNRPG
NA	RP11.51J9.5	NCL	NA	PRPSAP1	MT.ND4L	ATF6B	LDHA	NA	NA	TRAPPC1	KIF20B
NA	GZMA	CCR7	NA	STXBP6	SUSD2	NUDT21	SSR4	NA	NA	C5ORF56	SHMT2
NA	GADD45G	TIFA	NA	RPL37	ATOH8	C9ORF16	HCAR2	NA	NA	SYPL1	PARK7
NA	ZEB2	RBM8A	NA	LGALS9	LUM	AQP1	SMIM14	NA	NA	S100A13	RNF19A
NA	CASP8	SMAP2	NA	RPL14	AQP5	AAED1	PDIA3	NA	NA	RPS28	CDC5L
NA	ACP5	MKNK2	NA	SUB1	C10ORF67	HOXB6	TNFSF13B	NA	NA	HDDC2	KPNA2
NA	ITM2A	IER5	NA	KNOP1	NEBL	PRKAR2A	DNPH1	NA	NA	RPL39	HSD17B10
NA	LINC00152	CCND3	NA	CLEC14A	CRTAC1	FDX1	SELPLG	NA	NA	ARPC4	SRSF5
NA	SESN1	SLC3A2	NA	DUSP1	S100A16	RB1CC1	MFSD1	NA	NA	RPLP2	C17ORF67
NA	ISG15	POLR2J3	NA	HAPLN3	IFT27	GPC1	PDLIM2	NA	NA	IL2RG	TIGIT
NA	GZMB	CD27	NA	HLA.DMA	MANF	ZFAND2B	PHLDA2	NA	NA	DDOST	NOP56
NA	NEAT1	MRPS6	NA	HSPD1	MARK3	SMIM7	CTSW	NA	NA	N4BP2L2	ZEB1
NA	PGM2L1	CCL3L3	NA	CRBN	ARL6IP1	HMGN3	CD4	NA	NA	OSTF1	AK2
NA	NA	SH3BP5	NA	FAM107A	IGFBP2	PPIC	ALAS1	NA	NA	THEMIS2	POLR2J3
NA	NA	UBE2S	NA	GPX3	GMDS	RBM39	BASP1	NA	NA	NDUFB7	EFHD2
NA	NA	RASGRP2	NA	RPS29	FILIP1	ZNF583	P4HB	NA	NA	NAF1	SRSF3
NA	NA	TYROBP	NA	UQCR11	DST	ZCRB1	PFDN5	NA	NA	LIMD2	EMP3
NA	NA	NFKB2	NA	COX5B	CEACAM1	EMC2	LPAR6	NA	NA	DENND2D	KIF22
NA	NA	HOPX	NA	ANXA5	RPL36A	MPHOSPH8	ROGDI	NA	NA	NSG1	EMB
NA	NA	CDKN2D	NA	ABCD4	CLIC5	ADAR	CXCR4	NA	NA	C9ORF142	HLA.E
NA	NA	PTTG1	NA	DUSP2	UQCRHL	CDC5L	SLC35E3	NA	NA	STX11	ATP5H
NA	NA	TNIP3	NA	HSP90AA1	DNAAF1	SAT2	IER3	NA	NA	YPEL1	ANP32B
NA	NA	CD96	NA	NAA20	TMSB4X	SNRPC	CD83	NA	NA	KLF3	ZC3H12A
NA	NA	MUM1	NA	RPL3	SCAND1	FAM204A	JAML	NA	NA	CEP78	NINJ1
NA	NA	TRAPPC1	NA	NECTIN2	MRPS31	PLIN3	FAM3B	NA	NA	GSAP	PSMA1
NA	NA	CD48	NA	DAZAP2	NME1	RPS21	TGM2	NA	NA	LPCAT1	CTSB
NA	NA	MRPL1	NA	NDUFB9	SLC44A4	HCFC1R1	SLC31A2	NA	NA	CREM	PPM1G
NA	NA	RASA3	NA	HEBP1	FAM92B	HDAC5	SLC25A25	NA	NA	NAP1L1	CENPU
NA	NA	EEF2	NA	CTNNB1	C5ORF49	UBE2V2	PLEK	NA	NA	PPIA	RANGAP1
NA	NA	SFPQ	NA	ENY2	SNX9	EIF2B3	PKIB	NA	NA	NABP1	YWHAH
NA	NA	AMD1	NA	PCAT19	CARHSP1	ACTR6	TCF4	NA	NA	PHLDA1	MPC2
NA	NA	CALM1	NA	NDUFS5	DSP	TMA7	TUBB2A	NA	NA	ITM2B	PPA1
NA	NA	HNRNPAB	NA	CCT5	SFTPA2	ISG15	RNASET2	NA	NA	SELK	RHBDD2
NA	NA	DUSP2	NA	IFNGR2	KCNN4	FARP1	HLA.DQA2	NA	NA	RARRES3	BIRC5
NA	NA	TRAF1	NA	CLEC2B	LEMD1	DNTTIP1	CD163	NA	NA	RAP1B	SAE1
NA	NA	CCT6A	NA	LAMC1	SPRYD7	TMEM109	CCND3	NA	NA	PLEKHA1	ZFP36L2
NA	NA	EFHD2	NA	BANF1	SRSF5	TRPV2	NINJ1	NA	NA	CAPN2	COX8A
NA	NA	HIBCH	NA	HM13	HMGA1	EMP2	CTSH	NA	NA	MT.CO1	SSRP1
NA	NA	AKNA	NA	CD109	LASP1	VDAC3	PDCL	NA	NA	CLDND1	PPP1R2
NA	NA	VAMP2	NA	TPM1	COA6	CFD	CNIH4	NA	NA	NXT1	FAM96A
NA	NA	HSPA5	NA	RPL18	HEBP2	MKLN1	DOK2	NA	NA	TRBC1	CLK1
NA	NA	BICDL1	NA	HNRNPA3	LRRFIP1	MRPL27	PTPN12	NA	NA	CAPZB	CCT2
NA	NA	VMP1	NA	TYROBP	C1ORF194	PLAU	ETV5	NA	NA	PGAM1	TNFSF14
NA	NA	ERO1B	NA	RPL19	AKAP9	SLC44A2	STOM	NA	NA	PSME1	PFN1
NA	NA	COX6C	NA	YBX3	P4HB	PABPC1	PTGS1	NA	NA	TRAF4	MYL6B
NA	NA	CD247	NA	SNCG	WIF1	VBP1	HMGB2	NA	NA	MOB4	ICOS
NA	NA	STMN1	NA	MCTS1	SFN	LRP1	PLXNC1	NA	NA	GNLY	PTMS
NA	NA	DDOST	NA	SNRPB	PGD	PRDX3	C19ORF43	NA	NA	P4HB	CDCA5
NA	NA	IL6ST	NA	UBXN1	XAGE1A	IMP3	RPL22L1	NA	NA	PTPRC	TCF25
NA	NA	ATP2B1	NA	GTF2H5	ZNF90	C1S	CFLAR	NA	NA	RPS21	ICAM3
NA	NA	ZEB2	NA	SEC61G	VEGFA	TCF21	CITED2	NA	NA	SCAND1	PIM3
NA	NA	RNF125	NA	NRN1	ZMYND10	NDUFAF3	FPR3	NA	NA	HMGN3	RPL6
NA	NA	FXYD5	NA	ARPC1B	HHIP	NCOR1	PLAU	NA	NA	HIST1H4C	AES
NA	NA	ZNF267	NA	SNRPG	WRB	SURF1	AC090498.1	NA	NA	ARL6IP4	RALY
NA	NA	SRSF2	NA	WARS	C4ORF48	FAM126A	ANKRD22	NA	NA	BCL3	DPY30
NA	NA	FAM215B	NA	USP16	FAM183A	ASF1A	GPR34	NA	NA	PTGDR	CHST12
NA	NA	CTSS	NA	MEF2C	CAPSL	CHMP1A	CD300A	NA	NA	CORO1A	NDUFB3
NA	NA	P2RY10	NA	WASF2	PTPN1	RNH1	NPL	NA	NA	TARSL2	NDUFB1
NA	NA	NFKB1	NA	ADGRL4	PRDX5	ETHE1	CARD16	NA	NA	TRGC2	COA6
NA	NA	EIF3L	NA	ARRDC3	ACADL	SRRM2	EVI2B	NA	NA	CRTAM	UPF3B
NA	NA	NDUFC2	NA	HSP90AB1	RPS4Y1	COL6A1	TMIGD3	NA	NA	RPL31	TMEM14C
NA	NA	RPA2	NA	ATOX1	IL20RA	ADD3	P2RY6	NA	NA	PPP1R18	PSMA7
NA	NA	PXN	NA	COTL1	C11ORF88	DGCR6L	CALM3	NA	NA	SPN	GPBP1
NA	NA	IFI16	NA	EIF3E	SCHIP1	WDR61	HNRNPA3	NA	NA	SPAG1	IDH2
NA	NA	ITGAL	NA	MIF	ID3	SLC38A10	MT.CYB	NA	NA	IRF2BP2	HNRNPL
NA	NA	ICOS	NA	RPLP2	AC008268.1	SLC30A9	CLEC5A	NA	NA	FGR	BLOC1S1
NA	NA	BTG3	NA	BACE2	CPB2	SF3B1	ZBTB7A	NA	NA	NAMPT	YEATS4
NA	NA	MAP1LC3B	NA	CHD1	EPS8L2	PBRM1	LIMD2	NA	NA	CYBA	SEPW1
NA	NA	RHBDD2	NA	PFDN5	LY6D	IFT81	ANKRD37	NA	NA	MBP	C19ORF53
NA	NA	ARF4	NA	RPL38	CFAP157	ACYP1	SDS	NA	NA	CLK1	NDUFB5
NA	NA	MT.ND5	NA	SEL1L	MS4A8	GABARAPL2	GALM	NA	NA	MSN	TMEM167A
NA	NA	RPL36A	NA	NAA50	MT.ATP8	SPP1	NAMPT	NA	NA	FAM65B	UBE2N
NA	NA	RBL2	NA	SYAP1	UQCR11	FBLN5	BLVRA	NA	NA	DSTN	CDKN3
NA	NA	CD82	NA	CCDC50	TPM1	IGLC3	LY96	NA	NA	MTHFD2	CENPN
NA	NA	GTF3A	NA	HSP90B1	ODF3B	ZBED5	RPS27L	NA	NA	MYO1G	DDX39A
NA	NA	TAGLN2	NA	LDHB	LAMTOR2	LSM2	MAF	NA	NA	APOE	SRA1
NA	NA	SLC1A5	NA	LAMP1	C9ORF116	GAS6	CKLF	NA	NA	RPS19	SMC1A
NA	NA	ATM	NA	PSMC5	MUC15	ISLR	NME1	NA	NA	LY6E	NFKB2
NA	NA	TPST2	NA	SLC3A2	STX11	BNIP3L	EEF1A1	NA	NA	H2AFZ	SSR2
NA	NA	SMC4	NA	NUCKS1	CREB3L1	PSMF1	B3GNT5	NA	NA	CD320	NDUFA2
NA	NA	TCF7	NA	APOLD1	FOXA3	USO1	ABI3	NA	NA	HNRNPAB	DDX17
NA	NA	ARHGAP25	NA	YWHAH	FLRT3	MEA1	TMED5	NA	NA	LUZP1	UQCR10
NA	NA	CD47	NA	STRN4	CTSH	MGST2	ZFP36	NA	NA	LST1	UQCC2
NA	NA	ULBP2	NA	IGHM	LRRC23	GLUL	TFRC	NA	NA	SLA	ZFAND5
NA	NA	CAPN2	NA	NRGN	RPS28	MED27	NCF2	NA	NA	KMT5C	GTF3C6
NA	NA	CD7	NA	MGST3	SLCO3A1	PIH1D1	HRH2	NA	NA	EVL	JAK1
NA	NA	GADD45G	NA	ILK	TM4SF5	COMMD6	STX12	NA	NA	TMA7	PHLDA1
NA	NA	EIF1AD	NA	SSR2	ERO1A	TJP1	DAZAP2	NA	NA	SRPK2	CKAP2
NA	NA	HLA.DQB1	NA	ANKRD11	CKAP4	VDAC2	OPN3	NA	NA	HEXA	NKRF
NA	NA	PBXIP1	NA	CKS2	MYO1C	KIF5B	GLA	NA	NA	GK5	ANKRD37
NA	NA	RSRC2	NA	ATP5L	CCDC78	CHCHD10	MITF	NA	NA	GLRX	ABHD3
NA	NA	OTULIN	NA	FGD5	DYNLL2	ADAMTS12	ATP1B1	NA	NA	RPL22L1	NDC80
NA	NA	PTPN4	NA	C11ORF96	TPT1	LDHB	TMEM37	NA	NA	ITGB7	MCTS1
NA	NA	TNFAIP3	NA	CNBP	TEKT1	CHPT1	EIF4A3	NA	NA	ERO1B	CRIP1
NA	NA	TBC1D4	NA	POLR2L	HOPX	CCDC107	RPS21	NA	NA	DDIT3	GMNN
NA	NA	CD3G	NA	HMGN2	FERMT1	RGS16	GPX4	NA	NA	GLA	RPS27L
NA	NA	DNTTIP2	NA	SH2B3	ABI2	CSDE1	IDH2	NA	NA	GRAP2	METTL8
NA	NA	FLNA	NA	STRAP	SEMA5A	KTN1	ATF5	NA	NA	MFNG	GRPEL1
NA	NA	C1ORF56	NA	TCEB1	DDX5	RPS6KA2	CCL20	NA	NA	ANXA4	RSRC2
NA	NA	DDX24	NA	NDUFC1	RDX	YIPF4	FOS	NA	NA	ZAP70	AURKB
NA	NA	MAT2A	NA	RBM39	RSPH9	PSAP	RNF149	NA	NA	ICAM3	PHF19
NA	NA	H2AFX	NA	GPIHBP1	COL4A1	CALU	ZDHHC3	NA	NA	TMEM230	NAB1
NA	NA	ANXA6	NA	RPL23A	NPC2	PON2	CCL23	NA	NA	ERP29	TACC3
NA	NA	GIMAP7	NA	RPS20	ENC1	UAP1	PGD	NA	NA	GNL3	PSMD8
NA	NA	TGFB1	NA	SOD2	CCDC74A	DSE	ISCU	NA	NA	HLA.DPA1	TWF2
NA	NA	CSRNP1	NA	MT.ND4L	PDE4C	BMP1	C3	NA	NA	DUSP10	SRRM2
NA	NA	SSBP4	NA	MRPS25	CANX	SDC1	ALDH3A2	NA	NA	LBH	LRIF1
NA	NA	PELO	NA	MIR4435.2HG	ASS1	LAYN	ATP5I	NA	NA	FAM49B	GGH
NA	NA	TRAC	NA	MRPS33	TNC	JMJD1C	SMCO4	NA	NA	ULBP2	SNRPF
NA	NA	FOSB	NA	PRAF2	TSPAN15	FEZ2	ID3	NA	NA	RORA	PSMD3
NA	NA	LAG3	NA	EIF4A1	ARHGAP26	EEF1B2	NR4A3	NA	NA	KPNA2	SYF2
