"";"orig.ident";"seurat_clusters";"cancer_name";"nCount_RNA";"nFeature_RNA";"percent.mito";"group";"Celltype_main";"Celltype_final"
"15684";"KUL30.N";8;"Colon";7151;880;3,87358411410991;"N";"Lymphocytes";"Plasma"
"15685";"KUL30.N";8;"Colon";8281;1189;2,8982007003985;"N";"Lymphocytes";"Plasma"
"15686";"KUL30.N";8;"Colon";11989;1303;3,94528317624489;"N";"Lymphocytes";"Plasma"
"15687";"KUL30.N";4;"Colon";3991;770;6,13881232773741;"N";"Lymphocytes";"Plasma"
"15688";"KUL30.N";4;"Colon";9216;1030;1,97482638888889;"N";"Lymphocytes";"Plasma"
"15689";"KUL30.N";4;"Colon";8623;973;2,37736286675171;"N";"Lymphocytes";"Plasma"
"15690";"KUL30.N";4;"Colon";10946;1161;2,39356842682258;"N";"Lymphocytes";"Plasma"
"15691";"KUL30.N";4;"Colon";11169;1012;6,9836153639538;"N";"Lymphocytes";"Plasma"
"15692";"KUL30.N";8;"Colon";5987;921;3,97527977284116;"N";"Lymphocytes";"Plasma"
"15693";"KUL30.N";4;"Colon";5779;795;2,50908461671569;"N";"Lymphocytes";"Plasma"
"15694";"KUL30.N";8;"Colon";5837;904;3,03237964707898;"N";"Lymphocytes";"Plasma"
"15695";"KUL30.N";4;"Colon";13261;1280;3,02390468290476;"N";"Lymphocytes";"Plasma"
"15696";"KUL30.N";4;"Colon";2908;556;10,0068775790922;"N";"Lymphocytes";"Plasma"
"15697";"KUL30.N";8;"Colon";8586;781;2,60889820638248;"N";"Lymphocytes";"Plasma"
"15698";"KUL30.N";4;"Colon";2035;520;13,9066339066339;"N";"Lymphocytes";"Plasma"
"15699";"KUL30.N";7;"Colon";6412;1277;3,18153462258266;"N";"Lymphocytes";"Plasma"
"15700";"KUL30.N";4;"Colon";5899;715;3,94982200372945;"N";"Lymphocytes";"Plasma"
"15701";"KUL30.N";4;"Colon";8488;917;2,1559849198869;"N";"Lymphocytes";"Plasma"
"15702";"KUL30.N";4;"Colon";2048;494;16,50390625;"N";"Lymphocytes";"Plasma"
"15703";"KUL30.N";8;"Colon";10683;1033;2,47121595057568;"N";"Lymphocytes";"Plasma"
"15704";"KUL30.N";4;"Colon";3936;559;11,0772357723577;"N";"Lymphocytes";"Plasma"
"15705";"KUL30.N";4;"Colon";12221;1169;2,34023402340234;"N";"Lymphocytes";"Plasma"
"15706";"KUL30.N";8;"Colon";8538;1133;2,75240103068634;"N";"Lymphocytes";"Plasma"
"15707";"KUL30.N";4;"Colon";8956;947;2,83608753907995;"N";"Lymphocytes";"Plasma"
"15708";"KUL30.N";4;"Colon";9341;1237;2,5157906005781;"N";"Lymphocytes";"Plasma"
"15709";"KUL30.N";7;"Colon";7842;1078;4,39938791124713;"N";"Lymphocytes";"Plasma"
"15710";"KUL30.N";8;"Colon";5865;1157;6,46206308610401;"N";"Lymphocytes";"Plasma"
"15711";"KUL30.N";4;"Colon";8196;910;2,47681795998048;"N";"Lymphocytes";"Plasma"
"15712";"KUL30.N";4;"Colon";6305;1277;3,58445678033307;"N";"Lymphocytes";"Plasma"
"15713";"KUL30.N";7;"Colon";2606;606;6,17805065234075;"N";"Lymphocytes";"Plasma"
"15714";"KUL30.N";4;"Colon";10432;1208;3,09624233128834;"N";"Lymphocytes";"Plasma"
"15715";"KUL30.N";8;"Colon";1789;393;9,16713247624371;"N";"Lymphocytes";"Plasma"
"15716";"KUL30.N";7;"Colon";1357;507;10,759027266028;"N";"Lymphocytes";"B"
"15717";"KUL30.N";8;"Colon";5104;1051;6,62225705329154;"N";"Lymphocytes";"Plasma"
"15718";"KUL30.N";8;"Colon";13407;1372;2,4837771313493;"N";"Lymphocytes";"Plasma"
"15719";"KUL30.N";4;"Colon";5883;929;3,68859425463199;"N";"Lymphocytes";"Plasma"
"15720";"KUL30.N";8;"Colon";14510;1237;2,25361819434873;"N";"Lymphocytes";"Plasma"
"15721";"KUL30.N";4;"Colon";4237;598;3,56384234127921;"N";"Lymphocytes";"Plasma"
"15722";"KUL30.N";4;"Colon";16410;1352;1,65752589884217;"N";"Lymphocytes";"Plasma"
"15723";"KUL30.N";4;"Colon";3457;704;5,0911194677466;"N";"Lymphocytes";"Plasma"
"15724";"KUL30.N";4;"Colon";9089;1151;2,15645285509957;"N";"Lymphocytes";"Plasma"
"15725";"KUL30.N";4;"Colon";5811;769;2,9082774049217;"N";"Lymphocytes";"Plasma"
"15726";"KUL30.N";4;"Colon";10790;1057;3,06765523632993;"N";"Lymphocytes";"Plasma"
"15727";"KUL30.N";8;"Colon";8750;1007;3,52;"N";"Lymphocytes";"Plasma"
"15728";"KUL30.N";4;"Colon";14974;1365;2,47094964605316;"N";"Lymphocytes";"Plasma"
"15729";"KUL30.N";4;"Colon";9611;1166;1,94568723337842;"N";"Lymphocytes";"Plasma"
"15730";"KUL30.N";7;"Colon";5767;901;3,13854690480319;"N";"Lymphocytes";"Plasma"
"15731";"KUL30.N";8;"Colon";1324;388;6,87311178247734;"N";"Lymphocytes";"Plasma"
"15732";"KUL30.N";4;"Colon";7982;1009;8,31871711350539;"N";"Lymphocytes";"Plasma"
"15733";"KUL30.N";8;"Colon";10587;1211;3,10758477377916;"N";"Lymphocytes";"Plasma"
"15734";"KUL30.N";4;"Colon";15271;1248;2,44253814419488;"N";"Lymphocytes";"Plasma"
