,Epithelial,CD4T,Mast,Macrophage,CD8T,DC,Fibroblast,Endothelial,NKT,NK,B,Monocyte,Plasma
7848,C9ORF116,H1FX,DCTPP1,ATF7IP2,ZNF566,CERCAM,KCNT2,VPS39,HOPX,CCDC159,CSF1,AP2A2,NA
7849,ZNF714,RBM43,ZNF771,TVP23A,ZNF529,DOLPP1,AGL,STAT6,LRRC8C,SF3A3,MAML2,SLC8A1,NA
7850,GPSM1,SUMO3,TSHZ1,BEX3,AIDA,ENDOG,VCAM1,PATL1,RSL1D1,GTF2H2C,TOP1MT,ABAT,NA
7851,C19ORF47,IMMP2L,PSTK,COG1,GSAP,C15ORF39,EXTL2,ATP23,LRRC8D,ASB7,COPB2,CAMK1D,NA
7852,CFAP157,FMNL1,SOCS4,PLEKHA7,CYP2R1,SP2,SLC30A7,STX3,PPID,GPR132,THAP7,AFMID,NA
7853,TOR2A,PTRHD1,ZADH2,B2M,ANKRD46,COQ7,ZNF281,MRPL16,ETFDH,MX2,KNTC1,GAS6,NA
7854,ST6GALNAC6,ZFP90,ZNF48,ZNF592,PIP5K1C,CRK,ARPC5,PIP4K2C,PTGER4,EP400,WDR27,RABIF,NA
7855,SHKBP1,NOC4L,SEPT1,CASC4,C2ORF76,FBXO22,CADM3,MTMR10,TBCA,MEX3B,TXNRD2,FANCF,NA
7856,RDH13,USP18,TRNAU1AP,NNMT,POLR3C,TBC1D2B,ZNF496,YWHAB,BCL2L1,FAM46C,PTP4A3,SMDT1,NA
7857,ZER1,NDUFA6,EXOC3,ACSM1,WWOX,NOD2,IGSF8,C15ORF48,PLRG1,COA5,HDDC3,RUVBL2,NA
7858,ZDHHC12,TMEM106A,MED14,AP1G1,CCDC84,SNX20,DDR2,TSC22D4,ZNF584,UTP11,BEX5,PTTG1IP,NA
7859,PKN3,SIVA1,FAHD1,SLFN5,BCL9L,HDHD2,PEA15,MS4A7,CLSTN1,PSMG1,DUSP8,DDX41,NA
7860,TAOK1,BRI3BP,RCC1,CATSPER2,POLR1D,ZNF91,PEX19,DIS3L,CXXC5,PRR14L,SOCS3,DAZAP2,NA
7861,MED27,DGAT1,MYLPF,ZNF667.AS1,ZNRF1,RNF214,NCSTN,CCNDBP1,ZNF274,SETD3,LPAR5,SEP15,NA
7862,DEDD2,AP3M1,PRKRA,KIAA0430,SAPCD2,CDK12,VANGL2,SMAD3,PIK3CD,TANGO2,XPOT,CCDC125,NA
7863,SIK3,F8,ZNRF2,SAAL1,EDARADD,DPEP2,OLFML2B,CCDC178,SLC25A33,SFXN4,TMEM173,BCOR,NA
7864,MPZL3,MAFF,ZNF816,YPEL4,BLOC1S4,DUS2,KLHDC9,RCCD1,ENC1,MRPL54,PDE4B,JRKL,NA
7865,JAML,BRF1,OAZ2,PPIB,ZNF17,POP5,C1ORF74,AKTIP,SPSB1,HMCES,SNN,KIAA2026,NA
7866,NEK8,CIB1,CCDC43,FAM96A,TOR3A,ENGASE,FLVCR1,MAPRE2,BPTF,DGCR6,MED12,FHL3,NA
7867,TLCD1,ANKS1B,HCLS1,FAM111A,PPP1CC,ATP5L,ATF3,EVA1C,ZIK1,NDUFB1,SEPT9,CCDC159,NA
7868,PCSK7,NELFA,ZNF609,KIAA0101,RXRA,CD3D,RBM15,MARS,GPR82,KLHL25,ZBTB40,SF3A3,NA
7869,SAFB,INTS5,PAK2,LDHD,ANKRD37,TBC1D16,DENND2D,MBD6,GPR34,TRMT12,HIST2H2BE,GTF2H2C,NA
7870,CD3G,RPS27L,CCDC66,PEX11A,ZNF75D,TEPSIN,IER5,CNPY4,ATF7IP,ALYREF,EIF4ENIF1,ASB7,NA
7871,CHTOP,ANO9,ATP5EP2,TMEM170A,KRT10,ACAA2,SNED1,PDIA3,RGS19,FAM101B,ATL3,GPR132,NA
7872,ZBTB7B,FAF1,MCFD2,MESP1,NKRF,STIM1,BPNT1,NUDT21,TCEA2,UPP1,NDUFA12,MX2,NA
7873,FLAD1,FAM43A,C11ORF71,ANPEP,KPNA4,RRM1,SPATA17,NKX3.1,HDAC3,TRIM52,UBE2G2,EP400,NA
7874,SHC1,NSMCE3,ARHGAP45,ANKDD1A,ZNF197,TRIM68,C1ORF115,DUSP18,GPHN,TMEM50A,APOO,FAM46C,NA
7875,VPS11,HSF1,ZNF571,C18ORF54,NAP1L2,FN3K,BROX,MEI1,TMEM51,ASCL2,TMED9,COA5,NA
7876,NLRX1,C6ORF120,MIGA1,DCTN5,RPS23,IRGQ,NBPF20,PBX3,CAMTA1,TBK1,TMEM186,UTP11,NA
7877,ADAR,PURA,KCNE1,TERF2IP,GNG2,ZNF226,ACP6,GNGT2,SPATA5L1,CBX6,RBM33,PSMG1,NA
7878,IL6R,LRRC37B,NRIP1,PLK1,BTN3A2,ZNF180,KIF26B,PHB,BCL2,TBL3,ARMCX2,PRR14L,NA
7879,UBE2Q1,SIGIRR,HIST1H2AC,CLPX,INSIG1,PPP2R3B,TFB2M,SNRPD1,RHNO1,ZNF703,BTBD6,SETD3,NA
7880,CRTC2,IFITM2,PCGF5,NEMP1,TMEM222,ZNF668,CNST,SAMD14,CTPS1,RBM12B,H1FX,TANGO2,NA
7881,ANO10,ZNF445,YOD1,NAB2,ARHGAP30,ZNF646,PPP1R21,FAM102A,METTL18,BTBD9,RBM43,SFXN4,NA
7882,FDPS,PGBD2,TMEM64,VPS39,SMYD4,VKORC1,PKDCC,ACSF2,PWWP2B,NUDT14,SUMO3,MRPL54,NA
7883,RUSC1,TCEAL9,GPR157,STAT6,GPATCH8,TPM4,HAAO,GOLGA2,EXOSC10,TOB2,IMMP2L,ZNF438,NA
7884,FAM189B,RAB11B,CHST13,PATL1,NF2,RAB8A,B3GALNT2,TRUB2,ZNF570,TTC32,FMNL1,HMCES,NA
7885,PMF1,PRMT3,SLC36A4,ATP23,C6ORF1,GPX4,MAPKAPK2,COQ4,NINJ2,SH2D1A,PTRHD1,DGCR6,NA
7886,SLC25A44,PRPF39,ZDHHC20,STX3,UBE2H,MIDN,FCMR,SLC27A4,MLLT3,SDR42E2,ZFP90,NDUFB1,NA
7887,LMNA,UBALD2,PPA1,MRPL16,MIR22HG,FAM129C,PIGR,URM1,TRAPPC12,PRKX,NOC4L,TRMT12,NA
7888,NBEAL2,ZBTB37,PSMG4,PIP4K2C,KATNA1,KLHL26,CAPN2,CERCAM,RPS21,KMT5A,USP18,ALYREF,NA
7889,CCDC12,CCDC137,SSR4,MTMR10,ARAP1,GATAD2A,MRPL55,ENDOG,C3AR1,COA3,NDUFA6,FAM101B,NA
7890,UBQLN4,SFTPA2,D2HGDH,YWHAB,PRR5,MVD,WDR26,C15ORF39,MRM3,PTP4A2,TMEM106A,UPP1,NA
7891,PPP1R35,RGPD2,CMTR2,C15ORF48,ZFP91,CDT1,REL,SP2,PTEN,ACTG1,SIVA1,TRIM52,NA
7892,GPATCH4,ARL15,ST20,SCG5,C17ORF58,TRAPPC2L,PUS10,COQ7,RPS7,DIABLO,BRI3BP,TMEM50A,NA
7893,AZGP1,CDK10,PITPNB,TSC22D4,BCDIN3D,ANKRD11,PEX13,GPRC5B,RNASEH1,VPS33B,DGAT1,ASCL2,NA
7894,FGFR4,SOCS1,TCEAL8,MS4A7,LYRM7,SPATA33,KIAA1841,CRK,PRNP,UQCR10,AP3M1,TBK1,NA
7895,NACC1,ATP6V0A2,LRRC57,MS4A14,BCR,SGK494,RFTN2,FBXO22,TVP23B,FAM120C,MAFF,CBX6,NA
7896,IER2,C14ORF80,MRPL14,DIS3L,CXCR3,PROCA1,DISC1,TBC1D2B,ZNF217,EIF3C,BRF1,TBL3,NA
7897,ZNF394,HGS,ZFP82,CCNDBP1,ZNF397,RPL13,MEMO1,KATNAL2,SRGAP2C,NIPSNAP1,SEMA4B,CHEK2,NA
7898,CPSF4,TNFAIP8L1,LSMEM1,SMAD3,TNFRSF4,ZNF641,DPY30,HDHD2,ATPAF2,NR2C2AP,CIB1,AIFM3,NA
7899,LY6E,RAD51D,NQO1,RCCD1,HEXIM1,DHRS13,TYW5,ZNF91,PPIH,CRELD2,NELFA,ZNF703,NA
7900,VPS28,MAPK11,AEN,AKTIP,TRABD2A,TP53I13,C2ORF47,IGF2,C20ORF196,SCFD2,INTS5,C9ORF66,NA
7901,TONSL,SP140L,FKRP,MAPRE2,POFUT2,KMT2D,PQLC3,RNF214,JMJD1C,UBE2F,RPS27L,RBM12B,NA
7902,PTGER1,MRPL30,RPH3AL,EVA1C,TNFRSF18,RHEBL1,ARL5A,CDK12,MAL,PPP1R2,ANO9,BTBD9,NA
7903,MUM1,TARSL2,METTL23,MARS,ZDHHC17,TUBA1A,FAM84A,DPEP2,RAB33B,TSPYL2,FAF1,NUDT14,NA
7904,LRRC14,SMYD3,HIGD1A,MBD6,PPARA,TUBA1C,CLHC1,DUS2,THOP1,PGP,FAM43A,FAM3B,NA
7905,ZNF333,METTL7A,EHMT1,CNPY4,PTRH1,ZNF528,FRZB,POP5,USP19,C22ORF46,NSMCE3,TOB2,NA
7906,PPP1R16A,FAM174B,ZNF707,PDIA3,TMEM216,ZNF701,DUSP19,ENGASE,QARS,SNRNP35,HSF1,TTC32,NA
7907,ORAI2,C19ORF68,NPM1,NUDT21,RPS19BP1,SERTAD3,CFAP36,ATP5L,ORMDL3,IRAK1,C6ORF120,SDR42E2,NA
7908,ALKBH4,TMEM179B,PJA1,NKX3.1,PLCD1,NCKAP5L,NUP35,CD3D,KLF11,CMSS1,PURA,PRKX,NA
7909,C5ORF45,GPRIN3,DHTKD1,DUSP18,NAP1L1,RAB4B,CCDC138,TBC1D16,SMN1,PCDH9,LRRC37B,KMT5A,NA
7910,SQSTM1,MUC1,HIST3H2A,MEI1,CMC1,PROSER3,WDCP,TEPSIN,EIF2AK3,HIST2H2AC,DDX51,COA3,NA
7911,MGAT4B,FAAP100,POLR2A,PBX3,RNF220,CYP2S1,SMC6,ACAA2,MOB3A,TM2D3,SIGIRR,ST6GALNAC3,NA
7912,RPL8,IRF7,TMEM136,GNGT2,TSPYL4,AXL,VSNL1,STIM1,KRCC1,TSSC4,IFITM2,PTP4A2,NA
7913,MAML1,BRCC3,FRAT2,PHB,MT1X,NFKBID,CCDC74A,RRM1,NME6,CLECL1,ZNF445,ACTG1,NA
7914,LRWD1,SP1,ZNF322,SNRPD1,GCNT1,TMC4,H3F3A,TRIM68,CYCS,EFNA5,PGBD2,DENND5A,NA
7915,FBXL13,MRPL40,LRRC75A,FAM102A,FNBP1,LAIR1,COQ8A,FN3K,CD8B,PLA2G6,TCEAL9,DIABLO,NA
7916,NAPEPLD,PCGF3,DDX60L,ACSF2,DYNC2H1,LENG8,TEKT4,PRRT2,SLFN12,MAML2,RAB11B,VPS33B,NA
7917,SCGB3A1,P4HB,OGFOD3,GOLGA2,RSBN1L,ZNF526,SGCB,IRGQ,SNTB1,SS18L1,PRMT3,ADAP2,NA
7918,PSMC2,PSMD13,WASH1,TRUB2,EPOR,TRAPPC9,SPATA18,ZNF226,MTBP,TOP1MT,PRPF39,UQCR10,NA
7919,MFSD12,ZFP36L1,ZNF678,COQ4,TAF9B,ZNF146,NOSTRIN,PPP2R3B,TEFM,COPB2,UBALD2,EIF3C,NA
7920,YDJC,UBE2L3,TMEM45A,SLC27A4,CHP1,ZNF283,CFAP221,ZNF668,MRPL13,THAP7,RBM11,NIPSNAP1,NA
7921,DVL3,BRWD1,RAP2B,URM1,PTMA,PPP1R14A,INHBB,ZNF646,MALT1,TXNRD2,ZBTB37,NR2C2AP,NA
7922,AP2M1,POU3F1,ZBTB2,CERCAM,HSPA14,SPINT2,BBS5,VKORC1,ISG20,FOXO4,CCDC137,CRELD2,NA
7923,ABCF3,SNAI3,RNF135,DOLPP1,SIRT7,C19ORF33,SMARCAD1,CA4,CXCR6,HDDC3,SFTPA2,SCFD2,NA
7924,PCYT1A,EP400NL,ACBD4,ENDOG,USP7,YIF1B,HPGDS,TPM4,CEBPB,BEX5,RGPD2,UBE2F,NA
7925,FBXO27,MYBL1,SETD2,C15ORF39,MAGEH1,DAPK3,PDLIM5,RAB8A,TPSAB1,ZFP1,ARL15,PPP1R2,NA
7926,DMKN,C16ORF52,MRPS23,SP2,ISG15,EEF2,RPRD2,GPX4,PAIP1,DUSP8,CDK10,TSPYL2,NA
7927,U2AF1L4,DRG1,PHLDA2,COQ7,EXD3,TMIGD2,CTSS,MIDN,CLEC7A,SOCS3,SOCS1,PGP,NA
7928,BDH1,ANKFY1,ATG9B,CRK,RGPD1,CHAF1A,MSX1,KLHL26,C5ORF34,LPAR5,ATP6V0A2,C22ORF46,NA
7929,THAP8,YTHDF3,HKR1,FBXO22,DHRS4L2,UBXN6,PACRGL,GATAD2A,ZNF131,XPOT,C14ORF80,SNRNP35,NA
7930,LRRC56,IFIT1,PLAG1,TBC1D2B,VMAC,CTB.50L17.10,TNFAIP8L2,MVD,DPAGT1,TMEM173,HGS,IRAK1,NA
7931,PLXDC1,CXORF38,YIPF6,NOD2,B3GLCT,SEMA6B,LYSMD1,TRAPPC2L,BSG,PDE4B,TNFAIP8L1,CMSS1,NA
7932,PGAP3,MORF4L1,ZBTB20,SNX20,TRPV2,ZNF444,SCNM1,ANKRD11,HINFP,MED12,RAD51D,OLIG1,NA
7933,IKZF3,WDR53,C3ORF58,KATNAL2,TMEM203,FAM57A,VPS72,SPATA33,CERS6,SEPT9,SP140L,OAF,NA
7934,FDXR,DMWD,C5ORF30,HDHD2,TCEA1,GLOD4,ERCC3,SGK494,COPRS,ZBTB40,MRPL30,HIST2H2AC,NA
7935,SAP30BP,SLC52A2,SIAH2,ZNF91,FANCA,MFSD3,RNF149,RPL13,TP53RK,HIST2H2BE,TARSL2,TM2D3,NA
7936,ACOX1,PIGP,COPG1,RNF214,SECISBP2,GPT,IWS1,ZNF641,CLEC12A,EIF4ENIF1,SMYD3,TSSC4,NA
7937,PRPSAP1,IKZF1,LSM10,CDK12,SEMA4D,KIFC2,BOLA3,CACNB3,BPGM,APOBR,METTL7A,TACSTD2,NA
7938,CYGB,PCYT2,RFX7,DPEP2,MCRS1,SLC43A2,CDC42EP3,DHRS13,POP7,ATL3,IFNLR1,CLECL1,NA
7939,SRSF2,BCAP31,SLC35C1,DUS2,HIST1H1C,RILP,S100A11,TP53I13,ALG14,NDUFA12,C19ORF68,CSF1,NA
7940,ZNF577,ARL17A,TIGIT,POP5,EIF4EBP1,SERPINF2,DHX57,KMT2D,SUCLG2,UBE2G2,TMEM179B,MAML2,NA
7941,TMEM143,GNB1L,RNF41,ENGASE,CCDC157,WDR81,ARHGAP25,RHEBL1,STARD5,APOO,ROR1,SS18L1,NA
7942,ALDH16A1,EVI2B,IBA57,ATP5L,FAM122A,SRR,S100A9,TUBA1A,RCAN2,TMED9,MUC1,TOP1MT,NA
7943,ITGA5,TRIM69,ZNF101,CD3D,ARHGAP11B,TSR1,CCNYL1,TUBA1C,IL16,TMEM186,FAAP100,COPB2,NA
7944,ZNF385A,IFITM1,C5ORF24,TBC1D16,CYHR1,HSD11B1L,FZD5,ZNF701,GNB2,RBM33,IRF7,THAP7,NA
7945,MPP3,LAMP1,ADO,TEPSIN,RINL,CYB5D2,DCAF16,SERTAD3,MCRIP2,BTBD6,BRCC3,TXNRD2,NA
7946,NAGS,C16ORF54,COA4,ACAA2,TPRG1,C19ORF48,NPPC,NCKAP5L,C2CD2L,H1FX,SP1,PTP4A3,NA
7947,LSM12,SETD4,PRKAG1,STIM1,UBQLN2,KLK1,GNPDA2,RAB4B,CLP1,RBM43,MRPL40,TMEM255B,NA
7948,EMC10,RNPC3,MRPS11,RRM1,ZNF490,ZNF83,PAQR3,PROSER3,COPS9,SUMO3,FAM212A,HDDC3,NA
7949,JOSD2,ZNF267,SNRPE,TRIM68,ARL4C,OTUB1,ANTXR2,NFKBID,GTPBP2,IMMP2L,PCGF3,SOCS3,NA
7950,DBF4B,IRS2,CHST15,FN3K,GPR89B,ANGPTL4,HELQ,LENG8,FGGY,FMNL1,P4HB,XPOT,NA
7951,PLCD3,BICD2,IDH2,IRGQ,NHS,CD320,MRPS18C,CDC42EP5,TCEAL1,PTRHD1,PSMD13,TMEM173,NA
7952,AQP5,TMLHE,TMEM259,ZNF226,ZNF626,SPRYD3,CGGBP1,ZNF526,ZNF24,ZFP90,ZFP36L1,PDE4B,NA
7953,RACGAP1,RASA3,WRB,ZNF180,ZC3H6,IGFBP6,FAM175A,TRAPPC9,MANEA,NOC4L,UBE2L3,SNN,NA
7954,LARP4,LRCH3,TNRC18,PPP2R3B,LAMTOR4,NDUFV1,GPR155,ZNF146,AFF1,USP18,BRWD1,MED12,NA
7955,GRASP,NDUFA13,DEXI,ZNF668,PRKAR1B,CDK2AP2,DAPL1,ZNF283,FIBP,NDUFA6,POU3F1,ZNF93,NA
7956,LEMD2,ZNF566,NOP10,ZNF646,DCUN1D3,NUDT8,PMVK,PPP1R14A,BANP,TMEM106A,SNAI3,SEPT9,NA
7957,ZNF653,ZNF529,ZNF708,VKORC1,TUBB4B,CTD.2369P2.10,PBXIP1,SPINT2,PPP1CA,SIVA1,EP400NL,ZBTB40,NA
7958,MED11,AIDA,IST1,TPM4,COMMD6,PRDX2,CLDN1,YIF1B,HCFC1,BRI3BP,C16ORF52,HIST2H2BE,NA
7959,CXCL16,GSAP,ERCC6L2,RAB8A,ZNF383,ZNF232,PYGO2,ATCAY,CTSW,DGAT1,DRG1,EIF4ENIF1,NA
7960,SCIMP,CYP2R1,MRPL41,GPX4,HES4,MIS12,HIPK1,LY6D,RASGRP1,AP3M1,ANKFY1,APOBR,NA
7961,SENP3,ANKRD46,CREB3L2,MIDN,ZNF669,CD300C,COL6A3,DAPK3,KLHL6,UBOX5,YTHDF3,ATL3,NA
7962,FGF11,PIP5K1C,TP53TG1,JSRP1,PLSCR1,CD300A,LINC01116,EEF2,CHCHD1,MAFF,CXORF38,NDUFA12,NA
7963,EIF4A1,C2ORF76,TSEN54,KLHL26,ZNF559,MRPL58,YY1AP1,CHAF1A,MRPL52,BRF1,MORF4L1,UBE2G2,NA
7964,RPL26,POLR3C,UBA7,GATAD2A,GTF2F2,ATP5H,KBTBD8,UBXN6,SMPDL3A,CIB1,WDR53,APOO,NA
7965,POLR3K,WWOX,MRPS16,MVD,FOCAD,TMEM88,EOGT,CTB.50L17.10,RND1,NELFA,DMWD,TMED9,NA
7966,SNRNP25,CCDC84,RAD51B,CDT1,H3F3C,SRP68,LMOD3,SEMA6B,RAD9A,INTS5,SLC52A2,RBM33,NA
7967,WDR90,BCL9L,LDOC1,TRAPPC2L,PDCD1,TMC8,NAXE,ZNF444,FAM21C,RPS27L,PIGP,BTBD6,NA
7968,JMJD8,POLR1D,ARL6IP4,ANKRD11,SELL,TK1,POGLUT1,NXN,TMEM134,FAF1,IKZF1,H1FX,NA
7969,CCDC78,ZNRF1,EXT1,SPATA33,CHM,TMEM68,SLC22A15,FAM57A,ZMAT3,FAM43A,PCYT2,RBM43,NA
7970,SPSB3,SAPCD2,SHMT2,SGK494,BLOC1S5,TMEM99,ATP1A1,GLOD4,ZFAND4,NSMCE3,BCAP31,SUMO3,NA
7971,C16ORF59,EDARADD,MOB2,PROCA1,IER5L,GHDC,EIF4E3,MFSD3,THEMIS,HSF1,ARL17A,IMMP2L,NA
7972,CCNF,BLOC1S4,ATP6AP2,RPL13,H2AFX,FAM234A,LRRC58,SLC43A2,ZNF738,C6ORF120,GNB1L,FMNL1,NA
7973,TBC1D24,MKL2,CYB5D1,ZNF641,SRSF10,ZNF598,FSTL1,RILP,SLFN11,PURA,EVI2B,PTRHD1,NA
7974,AMDHD2,ZNF17,BACE2,CACNB3,DUSP28,MLST8,LMOD1,SERPINF2,CORO1B,LRRC37B,NPIPB4,ZFP90,NA
7975,BICDL2,TOR3A,AP1S2,DHRS13,NBR1,E4F1,ELF3,WDR81,FUT10,DDX51,ZNF829,NOC4L,NA
7976,PAQR4,PPP1CC,C8ORF33,TP53I13,RALGAPA2,ECI1,TMEM183A,SRR,LRRC20,SIGIRR,TRIM69,NDUFA6,NA
7977,FLYWCH2,RXRA,SPACA6,KMT2D,CLN3,ABCA3,TMEM169,TSR1,MUS81,PRSS57,IFITM1,TMEM106A,NA
7978,ZG16B,ANKRD37,FBXL6,RHEBL1,SUMO2,KCTD5,IGFBP7,HSD11B1L,CFL1,IFITM2,LAMP1,SIVA1,NA
7979,ZNF75A,ZNF75D,KBTBD3,TUBA1A,LDOC1L,SRRM2,TRIM46,CYB5D2,TMCC1,ZNF445,C16ORF54,BRI3BP,NA
7980,ADCY9,KRT10,YBEY,TUBA1C,DPYD,ZNF597,KRTCAP2,C19ORF48,NAA16,PGBD2,SETD4,DGAT1,NA
7981,SHANK2,NKRF,CLN8,ZNF528,PTAR1,SDHAF2,ARPC2,ZNF83,FAM192A,RAB11B,RNPC3,AP3M1,NA
7982,CLPB,KPNA4,PLCXD1,ZNF701,PARVB,DDB1,CCT3,OTUB1,CBWD1,PRMT3,ZNF267,MAFF,NA
7983,NEU3,ZNF197,CACNB4,SERTAD3,UROS,VPS37C,SSR2,ANGPTL4,RAB37,PRPF39,IRS2,BRF1,NA
7984,CYB561A3,NAP1L2,TRAPPC6B,NCKAP5L,SMIM15,BEST1,RNF25,CD320,DCP2,UBALD2,BICD2,SEMA4B,NA
7985,ASRGL1,RPS23,NPLOC4,RAB4B,FAM221A,FTH1,STK36,SPRYD3,RPL38,ZBTB37,TMLHE,CIB1,NA
7986,UBXN1,GNG2,CAPN12,GPD1,TMEM120B,POLR2G,KIAA1524,IGFBP6,RARG,CCDC137,RASA3,NELFA,NA
7987,TTC9C,BTN3A2,EXOC7,PROSER3,RBM34,SLC3A2,CWC22,ZNF558,CES4A,SFTPA2,LRCH3,INTS5,NA
7988,TAF6L,INSIG1,KPNA2,CYP2S1,ZNF548,C11ORF84,AZI2,NDUFV1,SSH3,ARL15,NDUFA13,RPS27L,NA
7989,NXF1,TMEM222,BGN,AXL,MTF1,ATG16L2,TGFBR2,CDK2AP2,CES2,CDK10,ZNF566,FAF1,NA
7990,STX5,ARHGAP30,FES,NFKBID,NHLRC3,C2CD3,ANKZF1,NUDT8,PDP2,SOCS1,ZNF529,FAM43A,NA
7991,SLC25A45,SMYD4,GLRX5,TMC4,FAM26F,TRANK1,HDAC11,CTD.2369P2.10,SP3,ATP6V0A2,AIDA,NSMCE3,NA
7992,RPL29,GPATCH8,FAM104B,LAIR1,RPL14,TTC21A,TRAT1,PRDX2,DMXL1,C14ORF80,GSAP,HSF1,NA
7993,SYVN1,NF2,LIMK2,LENG8,ZNF563,RPSA,FBLN2,ZNF232,METAP1D,HGS,CYP2R1,C6ORF120,NA
7994,ZFPL1,C6ORF1,MFSD5,LAIR2,FBF1,CTNNB1,GLB1L,MIS12,ZNF621,TNFAIP8L1,ANKRD46,PURA,NA
7995,RPS6KA4,UBE2H,ADI1,ZNF526,MSL1,ULK4,STT3B,HID1,NADSYN1,RAD51D,PIP5K1C,LRRC37B,NA
7996,LRP5,MIR22HG,RWDD4,TRAPPC9,TRMT2B,FADD,CHCHD4,MRPL58,DHCR7,SP140L,ZBTB6,DDX51,NA
7997,TPCN2,KATNA1,SATB1,ZNF146,HACD4,LTBP3,NFASC,ATP5H,RNASEH2C,MRPL30,C2ORF76,LINC00482,NA
7998,PDZK1IP1,ARAP1,TRAK1,ZNF283,FAM120AOS,NAALADL1,SGO2,TMEM88,ANKRD13D,TARSL2,POLR3C,SIGIRR,NA
7999,CMPK1,PRR5,SKA2,PPP1R14A,NOC2L,SAC3D1,SERPINI1,SRP68,MYD88,SMYD3,WWOX,IFITM2,NA
8000,BEND5,ZFP91,LINC01006,SPINT2,NELFB,SF1,CLASP2,TMC8,OXSR1,METTL7A,CCDC84,TNFAIP2,NA
8001,COA7,BCDIN3D,NTM,C19ORF33,ZNF292,MAP4K2,SUCLG1,TK1,PHF8,C19ORF68,BCL9L,ZNF445,NA
8002,ZYG11B,LYRM7,TTC3,YIF1B,ADAT2,CCDC88B,NUAK2,TMEM68,LCLAT1,TMEM179B,POLR1D,PGBD2,NA
8003,SLC1A7,BCR,TSKU,LY6D,ZNF567,COPS6,PRKCI,TMEM99,MIR4435.2HG,GPRIN3,SAPCD2,TCEAL9,NA
8004,C1ORF123,CXCR3,ANXA2,DAPK3,NDUFA4,PAFAH1B2,MNDA,GHDC,KAT5,FAAP100,BLOC1S4,RAB11B,NA
8005,MAGOH,ZNF397,HOXB4,EEF2,ALKBH2,ANKS3,PYHIN1,FAM234A,DCAKD,IRF7,ZNF17,PRMT3,NA
8006,ACOT11,TNFRSF4,PAQR7,CHAF1A,RNFT1,NUDT16L1,IFI16,ZNF598,TADA2B,BRCC3,TOR3A,PRPF39,NA
8007,PARS2,HEXIM1,NGRN,UBXN6,LITAF,KIAA1586,EIF5A2,MLST8,GRK2,PDE6G,PPP1CC,UBALD2,NA
8008,USP24,TRABD2A,RPS17,CTB.50L17.10,TMEM120A,RAB4A,RPL22L1,E4F1,RELA,SP1,RXRA,ZBTB37,NA
8009,PLPP3,POFUT2,CRIP2,SEMA6B,ARID2,SETD5,PPM1L,ECI1,ZNF680,MRPL40,ANKRD37,IL3RA,NA
8010,NOL9,TNFRSF18,DDX28,ZNF444,SF3B3,VASN,ICA1L,ABCA3,HECTD4,PCGF3,KRT10,CCDC137,NA
8011,PRKAA2,ZDHHC17,ACBD3,GLOD4,BLOC1S3,THAP9,ICOS,KCTD5,FAM222B,P4HB,NKRF,SFTPA2,NA
8012,KLHL21,PPARA,C16ORF72,MFSD3,CLDN4,RNF187,RYBP,SRRM2,BNC2,PSMD13,KPNA4,ARL15,NA
8013,ZSWIM5,PTRH1,VMO1,KIFC2,ZNF573,HOOK3,PPP4R2,ZNF597,HPSE,ZFP36L1,ZNF197,CDK10,NA
8014,GMEB1,TMEM216,COL18A1,SLC43A2,HN1,MAPK1IP1L,GTPBP8,SDHAF2,COQ2,UBE2L3,RPS23,SOCS1,NA
8015,SEPN1,RPS19BP1,RBM10,RILP,S100A13,DDIT4,NEPRO,DDB1,HSPA6,BRWD1,GNG2,TCN2,NA
8016,AK4,PLCD1,RPL35A,SERPINF2,ZNF33A,RBPJ,SPICE1,VPS37C,TRMT112,SNAI3,BTN3A2,GAS2L1,NA
8017,JAK1,NAP1L1,ZNF721,WDR81,ZNF600,LMBRD1,CCDC191,BEST1,LRRN3,EP400NL,INSIG1,ATP6V0A2,NA
8018,RAVER2,CMC1,C11ORF54,SRR,C15ORF61,ZCCHC4,CADPS,FTH1,KDM2A,MYBL1,TMEM222,C14ORF80,NA
8019,LZIC,RNF220,CEP63,TSR1,TSPYL1,TTC39C,WDFY3,POLR2G,ADCK5,C16ORF52,ARHGAP30,HGS,NA
8020,FBLIM1,TSPYL4,SRPRA,HSD11B1L,PNRC2,GLYCTK,COX18,SLC3A2,MRPL57,DRG1,SMYD4,TNFAIP8L1,NA
8021,AKR7A3,MT1X,EWSR1,CYB5D2,RRP7A,UBTD2,PTPN13,C11ORF84,NOC3L,ANKFY1,GPATCH8,RAD51D,NA
8022,PDPN,GCNT1,HMGN4,C19ORF48,LIN54,POLR2J3,C4ORF36,ATG16L2,ESRRA,YTHDF3,NF2,SP140L,NA
8023,DHRS3,FNBP1,SPATA13,KLK1,FAM53B,NKIRAS2,THOC7,C2CD3,COMMD1,IFIT1,C6ORF1,MRPL30,NA
8024,LAPTM5,RSBN1L,CNOT10,KLK11,SLC35E2B,DNAJC7,ATXN7,TRANK1,MTX1,CXORF38,UBE2H,TARSL2,NA
8025,SDC3,EPOR,MTA1,ZNF83,FAM179A,IRF2BP2,PSMD6,TTC21A,PARP14,MORF4L1,MIR22HG,SMYD3,NA
