,Epithelial,CD4T,Mast,Macrophage,CD8T,DC,Fibroblast,Endothelial,NKT,NK,B,Monocyte,Plasma
9895,RALGAPA1,NA,NA,PTMA,NA,ZDHHC9,ACAD9,FAM26F,ARHGEF35,NA,NA,NA,NA
9896,LIG4,NA,NA,HSPA14,NA,ZBED6CL,IL17RA,RPL14,SUPT4H1,NA,NA,NA,NA
9897,GTF2IRD2B,NA,NA,SIRT7,NA,SMIM15,PNPLA2,ZNF563,NRAS,NA,NA,NA,NA
9898,ATP2A2,NA,NA,TLR5,NA,FAM221A,AGTRAP,MSL1,ANKRD39,NA,NA,NA,NA
9899,ZWILCH,NA,NA,USP7,NA,TMEM120B,CD163L1,LRRK2,QTRT1,NA,NA,NA,NA
9900,RPL4,NA,NA,NHLRC1,NA,RBM34,SRRM3,HACD4,CHUK,NA,NA,NA,NA
9901,SNAPC5,NA,NA,MAGEH1,NA,NOXA1,THAP5,FAM120AOS,MXD3,NA,NA,NA,NA
9902,C12ORF76,NA,NA,TET3,NA,ZNF548,CRACR2B,NOC2L,GSTM2,NA,NA,NA,NA
9903,ZCCHC12,NA,NA,ISG15,NA,MTF1,SUMO4,NELFB,COG8,NA,NA,NA,NA
9904,CNTNAP2,NA,NA,EXD3,NA,TMEM201,NAALADL2,ZNF292,ARHGAP19,NA,NA,NA,NA
9905,GALNTL6,NA,NA,C17ORF97,NA,NHLRC3,CD151,ADAT2,HAUS7,NA,NA,NA,NA
9906,BBS1,NA,NA,ZKSCAN4,NA,FAM26F,POLR2L,ZNF567,SIPA1,NA,NA,NA,NA
9907,DENND4A,NA,NA,DHRS4L2,NA,SLX4,FAM20C,NDUFA4,ERV3.1,NA,NA,NA,NA
9908,ANKRD36C,NA,NA,VMAC,NA,RPL14,NECTIN3,ALKBH2,SYNJ2BP,NA,NA,NA,NA
9909,SLC26A9,NA,NA,B3GLCT,NA,ZNF563,ANXA2R,RNFT1,ARL2,NA,NA,NA,NA
9910,MFSD4A,NA,NA,TRPV2,NA,FBF1,TMEM94,APOD,RBMXL1,NA,NA,NA,NA
9911,PELI3,NA,NA,TMEM203,NA,MSL1,FLII,H1F0,SRA1,NA,NA,NA,NA
9912,MRPL11,NA,NA,TCEA1,NA,CTD.3088G3.8,SOX12,LITAF,TMEM110,NA,NA,NA,NA
9913,GOLT1A,NA,NA,FANCA,NA,LRRK2,HNRNPA0,TMEM120A,DNAJC9,NA,NA,NA,NA
9914,AKIRIN1,NA,NA,SECISBP2,NA,TRMT2B,MYOZ1,ARID2,C8ORF82,NA,NA,NA,NA
9915,MSL2,NA,NA,SEMA4D,NA,HACD4,CHID1,SF3B3,VDAC1,NA,NA,NA,NA
9916,TRAM1L1,NA,NA,DNAH17,NA,FAM120AOS,PCDHB9,BLOC1S3,TMX2,NA,NA,NA,NA
9917,ANGEL2,NA,NA,MCRS1,NA,C9ORF152,ZNF518A,SP6,HEXA,NA,NA,NA,NA
9918,UGT8,NA,NA,FANCM,NA,NOC2L,TMEM187,PLAC9,NDUFS3,NA,NA,NA,NA
9919,IQCK,NA,NA,CARD9,NA,NELFB,SVBP,NKAPL,LEPROT,NA,NA,NA,NA
9920,SLCO2A1,NA,NA,SOWAHD,NA,ZNF292,CCDC184,CLDN4,LBH,NA,NA,NA,NA
9921,ZNF266,NA,NA,ZFP69,NA,KCTD21,AP3S1,ZNF573,ADAT3,NA,NA,NA,NA
9922,SLC29A2,NA,NA,TMEM220,NA,ADAT2,GRB2,HN1,PPP1CB,NA,NA,NA,NA
9923,BRSK2,NA,NA,HIST1H1C,NA,ZNF567,ZBTB41,ZNF527,GPSM3,NA,NA,NA,NA
9924,B4GAT1,NA,NA,EIF4EBP1,NA,NDUFA4,UBE2N,S100A13,LAT,NA,NA,NA,NA
9925,TMEM167A,NA,NA,CCDC157,NA,ALKBH2,ARL6IP6,ZNF33A,NCKIPSD,NA,NA,NA,NA
9926,SH3PXD2B,NA,NA,FAM122A,NA,RNFT1,ZNF354C,ZNF600,ATF6B,NA,NA,NA,NA
9927,KIAA1551,NA,NA,DMBT1,NA,H1F0,MAMDC4,BTBD8,SLC35F6,NA,NA,NA,NA
9928,LARP7,NA,NA,ARHGAP11B,NA,LITAF,CENPBD1,MAOA,CLIC1,NA,NA,NA,NA
9929,FGFBP3,NA,NA,CYHR1,NA,TMEM120A,BET1L,C15ORF61,DDAH2,NA,NA,NA,NA
9930,NR1D2,NA,NA,RINL,NA,ARID2,RPS27,TSPYL1,RPS29,NA,NA,NA,NA
9931,BRMS1,NA,NA,TPRG1,NA,SF3B3,RIC8A,PNRC2,ZNF134,NA,NA,NA,NA
9932,RPL15,NA,NA,MORN2,NA,BLOC1S3,IMP3,FHIT,ZNF845,NA,NA,NA,NA
9933,C4ORF32,NA,NA,UBQLN2,NA,NKAPL,ASB8,FAM150B,KLRK1,NA,NA,NA,NA
9934,HRAS,NA,NA,ARL4C,NA,CLDN4,ODF3B,RRP7A,EMP2,NA,NA,NA,NA
9935,WDR49,NA,NA,RAB42,NA,ZNF573,LRRC75B,LIN54,KCTD11,NA,NA,NA,NA
9936,SRP72,NA,NA,GPR89B,NA,HN1,DMAP1,FAM53B,C8ORF44,NA,NA,NA,NA
9937,PCP2,NA,NA,AGRN,NA,ZNF527,ADAMTSL1,S100A14,PPM1N,NA,NA,NA,NA
9938,THAP6,NA,NA,ZNF626,NA,S100A13,FAM26E,KAZN,LTB4R,NA,NA,NA,NA
9939,CEP135,NA,NA,ZC3H6,NA,ZNF33A,IMPDH2,SLC35E2B,DNASE1,NA,NA,NA,NA
9940,FZD4,NA,NA,LAMTOR4,NA,ZNF600,ALS2CL,NEMP2,MDP1,NA,NA,NA,NA
9941,BTC,NA,NA,PRKAR1B,NA,MAOA,MLF1,GSPT2,CSNK1E,NA,NA,NA,NA
9942,DENND6A,NA,NA,NCR3LG1,NA,C15ORF61,NDUFAF3,C8ORF76,IRF9,NA,NA,NA,NA
9943,PDE12,NA,NA,DCUN1D3,NA,TSPYL1,C2ORF69,CXCL17,GALT,NA,NA,NA,NA
9944,GLMN,NA,NA,TUBB4B,NA,PNRC2,GRAMD1C,HMGB1,ITGA1,NA,NA,NA,NA
9945,DNAH12,NA,NA,AGAP4,NA,FHIT,STAP2,MMP23B,NUDT19,NA,NA,NA,NA
9946,YIF1A,NA,NA,COMMD6,NA,RRP7A,BOLA1,BLOC1S2,ZNF726,NA,NA,NA,NA
9947,CNIH2,NA,NA,RUFY4,NA,LIN54,PDE4DIP,SYCP2,TAX1BP3,NA,NA,NA,NA
9948,AMY1B,NA,NA,ZNF383,NA,FAM53B,DDX10,IL1RAP,AP1G2,NA,NA,NA,NA
9949,NDUFA11,NA,NA,HES4,NA,S100A14,NDUFV2,ZNF676,ZNF90,NA,NA,NA,NA
9950,RSRC1,NA,NA,ZNF669,NA,SLC35E2B,DALRD3,ZNF699,NAXD,NA,NA,NA,NA
9951,PQLC2L,NA,NA,CENPP,NA,NEMP2,ZNF518B,TDRD7,GANC,NA,NA,NA,NA
9952,RAB1B,NA,NA,PLSCR1,NA,GSPT2,LCORL,KIAA0895L,TTLL3,NA,NA,NA,NA
9953,PTDSS2,NA,NA,C3ORF62,NA,C8ORF76,PARD6G,HLA.DRB1,REPIN1,NA,NA,NA,NA
9954,C19ORF70,NA,NA,ZNF559,NA,CXCL17,ZNF454,AKR1C3,MRPL23,NA,NA,NA,NA
9955,C3ORF33,NA,NA,GTF2F2,NA,HMGB1,SH2B1,SPATS2L,ZNF891,NA,NA,NA,NA
9956,SEZ6L2,NA,NA,FAM92A1,NA,MMP23B,ZC3H12D,ZNF250,SMIM7,NA,NA,NA,NA
9957,ASPHD1,NA,NA,FOCAD,NA,BLOC1S2,KDELC2,WDSUB1,TSPAN4,NA,NA,NA,NA
9958,KCTD13,NA,NA,ZP3,NA,ZNF724,PLEC,S100A4,CPNE1,NA,NA,NA,NA
9959,GPR171,NA,NA,H3F3C,NA,IL1RAP,RNF212,FAT4,ARL16,NA,NA,NA,NA
9960,CD164L2,NA,NA,TCTEX1D4,NA,ZNF699,ZNF543,KIF19,LYRM4,NA,NA,NA,NA
9961,FUT1,NA,NA,SELL,NA,TDRD7,GALNT11,ZNF681,MYCBP,NA,NA,NA,NA
9962,DHX36,NA,NA,CHM,NA,CCDC189,WDR6,ACADSB,ALG3,NA,NA,NA,NA
