B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Monocyte	NK	NKT	Pericyte	Plasma
NA	JMJD1C	KIAA0040	CXCL1	HLA-DRA	CASP1	MMP11	TUBA1C	NA	ATP5C1	NA	UQCRFS1	CKS2
NA	HPCAL1	KPNA6	LYSMD2	ADIRF	CAST	STEAP1	SEC61B	NA	RAB18	NA	PNISR	COL5A1
NA	SUPT4H1	KRR1	RGCC	PSMB9	CAT	ACTA2	MAF	NA	NOP14	NA	FAM118A	GNG7
NA	CEBPB	DNAJA1	DAP	SVIP	CAV1	PLSCR1	VCAN	NA	CFLAR	NA	PDLIM7	SEPW1
NA	SMCHD1	JUNB	TPM4	C19orf33	CBR1	LITAF	AGPAT2	NA	AHCY	NA	TTR	RNASE1
NA	HSPB1	ATP6V1F	RARRES3	GMFG	CBY1	MAGED1	RAB13	NA	MT-ND6	NA	SYAP1	WBP5
NA	DDX3X	CBX3	HLA-DQA1	JAG2	CCDC109B	ZFP36	SUCNR1	NA	DBNL	NA	EMC4	C4orf48
NA	SKIL	OSTC	EVL	EEF1B2	CCDC12	LEPRE1	CECR1	NA	SIPA1	NA	RNF152	MT1G
NA	SEPT1	KLRB1	RP11-138A9.1	ADAMTS6	CCDC167	GAPDH	LCP1	NA	MGST2	NA	SLPI	SNORD3B-2
NA	GSPT1	JTB	RPL38	CTSA	CCDC25	CETN2	CLEC4G	NA	ATP2A2	NA	OS9	GLUL
NA	LRRFIP1	EBPL	TIPARP	LMNA	CCDC6	IL33	APOC1	NA	CMTM3	NA	PSMC2	RPS26
NA	SDC4	CMTM6	GSPT1	CCL23	CCDC80	LUM	FOLR2	NA	FYB	NA	SSRP1	LIMD2
NA	IMPDH2	PTPRA	HIF1A	FEZ1	CCDC85B	MLEC	TFRC	NA	ITM2C	NA	MT1G	NINJ1
NA	CD55	PTMS	YBX3	HIF1A	CCL4	PTGES3	ATP2B1	NA	SPAG9	NA	CIRBP	CHMP1B
NA	TRAT1	VTI1B	C19orf33	RPL7	CCL5	NPL	TCF7L2	NA	IVD	NA	SPCS2	GTF2I
NA	CIRBP	PLP2	RPSAP58	PNP	CCND3	PLAC8	PSMB3	NA	C22orf39	NA	ERF	ID3
NA	TMEM248	RPS26	MIR22HG	MYL6B	CCNDBP1	HYAL2	EXT1	NA	MACF1	NA	SAA1	POMP
NA	PERP	DTHD1	CLNS1A	TXN	CCNG1	CST3	ABRACL	NA	RNF213	NA	AAMP	RUNX1
NA	JOSD1	SEPT1	GOLGA4	PERP	CCNH	PRAF2	THAP2	NA	UQCRC1	NA	CD9	SIK1
NA	PDCD2	PLSCR1	ITPR2	STAB2	CCNI	AGR2	TUBB4B	NA	AIP	NA	CTSB	MYL9
NA	OSBPL8	GSKIP	NAMPT	RPS7	CCNL1	SRGN	ICAM2	NA	APBB1IP	NA	RAB7A	APOA2
NA	CD59	GNPTAB	PHLDA2	MIR24-2	CCT7	HLA-DRA	TUBA1A	NA	POLR3GL	NA	SLC3A2	TNFRSF17
NA	BTG1	CHMP4A	CYBB	MRPL33	CCT8	APOC3	MGAT4A	NA	CFDP1	NA	ARL2	VMP1
NA	CST7	RNF19A	ATP5A1	NUDT4	CD151	UCHL1	DDX3Y	NA	TXLNG	NA	CPNE1	SPINT1
NA	PARP1	SPEN	ABRACL	LARS	CD164	SPATS2L	TSC22D1	NA	PRPF4B	NA	PHLDB1	SUMO1
NA	CCR7	TRAF4	SFPQ	LIFR	CD2	PLIN2	RABAC1	NA	RFC1	NA	SELENBP1	SOCS1
NA	GZMK	SNRNP25	ADAM28	PLA2G16	CD247	HNRNPF	GABARAP	NA	PAPOLA	NA	VIM	GPC1
NA	HMGN1	DUSP4	LGALS1	CALD1	CD2AP	ARHGDIB	PRNP	NA	KTN1	NA	CXCL2	CRABP2
NA	PSMB8	MLEC	LIMD2	CNN3	CD37	C12orf57	MT-ND3	NA	IL21R	NA	LAMTOR2	SNRPD2
NA	CHD1	SQLE	XCR1	TMA7	CD38	RAB31	EIF3E	NA	NDUFB7	NA	RHOB	RHOB
NA	CAP1	DIP2A	H2AFV	MYOF	CD3D	CD276	ATP5J2	NA	G6PD	NA	MCL1	RND3
NA	S100A11	AHSA1	RAP1B	PRPF4B	CD3E	GNAS	TCEB2	NA	POLR2G	NA	BCAP31	PLAUR
NA	CLK1	BIRC2	CCT8	CALM2	CD3G	ITM2B	IQGAP1	NA	PLEKHO1	NA	PHLDA2	ANXA1
NA	CD9	SLPI	THAP2	MEF2A	CD46	TGFBR2	GBP2	NA	BIN2	NA	PGAM1	CDC42SE2
NA	RPL22L1	PRDX3	MTCH1	NRP1	CD47	TMEM45A	MDK	NA	LAPTM4A	NA	PRKCDBP	NAMPT
NA	UCP2	HAVCR2	GNAI2	ITGB4	CD48	LEPROTL1	SELENBP1	NA	SKIL	NA	CHD1	GNLY
NA	HMGA1	SEC11A	SDC4	NME1	CD52	MYOF	PHPT1	NA	HCG18	NA	POLR2K	CAPG
NA	GNLY	RANGAP1	LAIR1	MEDAG	CD53	ICAM2	IL10RA	NA	SP1	NA	PPIB	HEBP2
NA	STOM	EML4	PURB	RPS6	CD59	LY96	MMD	NA	TERF2IP	NA	NDN	COTL1
NA	CD63	OSTF1	CMTM3	ATP1B3	CD63	TMEM165	PCBP1	NA	LSM10	NA	AGR2	RAC2
NA	LBH	DYNLT1	SLC25A6	TMEM66	CD69	RAB5C	GPX4	NA	CASP3	NA	CIB1	CSTB
NA	CEBPZ	RC3H1	PSMG2	RPL23A	CD74	RER1	CHMP1B	NA	RYBP	NA	AEBP1	SAT1
NA	FDCSP	LRRFIP1	EIF4A2	RPL13A	CD82	FLNA	KRT10	NA	DHRS7	NA	CDC42SE1	TMEM176B
NA	SEPT7	TXLNG	DDX3X	STMN1	CD8A	FILIP1L	EMP1	NA	WNK1	NA	ALDH1A1	LINC00152
NA	MRP63	RYBP	MAF1	ATP5E	CD8B	HAS2	PDXK	NA	LRRFIP2	NA	HIF1A	QPRT
NA	PPP1R18	CD59	PDXK	DDAH2	CD9	MAF	CSF1R	NA	ASCC3	NA	GPI	IFNGR2
NA	SPARC	PRPF4B	GLS	NR4A1	CD96	GOLIM4	CST6	NA	PSME4	NA	CHMP5	LGALS1
NA	AHNAK	SLIRP	ALKBH5	RPL22	CD99	SLC38A2	EEF1A1	NA	PPP1CC	NA	LSM5	FOSL2
NA	SRSF5	PCBD1	MSRA	COL3A1	CDC25B	APH1A	SLC25A19	NA	GNG5	NA	MRPS22	PSMA4
NA	M6PR	GMFG	LINC00657	SULF2	CDC37	FBN1	GPR183	NA	RPL7L1	NA	C10orf54	COPZ1
NA	ALOX5AP	C3	FRMD8	CTHRC1	CDC42	LIFR	OST4	NA	RRAD	NA	CBLN1	FCER1G
NA	RNASET2	ODC1	MEF2D	ECM1	CDC42SE2	IGFBP6	MTSS1	NA	B3GNT2	NA	PACSIN2	SLC25A6
NA	ID1	KLRC1	IFITM3	RPL15	CDH3	TADA3	FCGR2B	NA	H2AFX	NA	RPL22L1	RHOC
NA	FXYD3	RBBP4	CTSB	RPL31	CDK2AP2	SVIL	NDUFB5	NA	KRT5	NA	CYBA	ALB
NA	RELB	CHTOP	WIPI2	NNMT	CDKN1A	SNX2	CLTB	NA	MEAF6	NA	HSPB8	PPIA
NA	APRT	AHI1	CCR7	SERPINA1	CDO1	CUX1	ARHGAP18	NA	PDCD5	NA	TPRKB	SNORD3B-1
NA	ODC1	SEP15	KRT5	RAP1B	CEBPB	CTSC	BRI3	NA	TNFRSF18	NA	ANXA1	UCP2
NA	AES	WBSCR16	F13A1	RPS12	CEBPD	RRP7A	NEK6	NA	CLK1	NA	RAB13	RAD23B
NA	TXN	IFI27L2	FAM50A	IGF2	CELF1	SH3BP5	SHFM1	NA	RAB3GAP1	NA	WWTR1	PTMS
NA	NGFRAP1	PHLDA2	NFKBIE	RPL29	CELF2	ERCC1	BHLHE40	NA	ENOSF1	NA	PSMC1	SLC38A2
NA	CD151	PPP2R5C	TMEM248	RPL4	CENPM	PLP2	CD84	NA	CD48	NA	EAPP	SRSF9
NA	CHMP2A	RP11-138A9.1	ESD	C9orf16	CFL1	SLC40A1	GSTP1	NA	TCF25	NA	RNPS1	NCOA7
NA	CNN2	PDCD4	PSMB8	F2RL3	CHMP3	YWHAB	MFSD1	NA	GK5	NA	ARL3	PTP4A3
NA	ATP6V0E1	RAB1A	CLEC2B	DARC	CHMP4A	CD248	CIB1	NA	COPA	NA	KCNE4	ECH1
NA	ANXA5	C16orf87	CHST11	NAMPT	CHMP4B	NPDC1	LRPAP1	NA	ARF5	NA	MRPS7	HLA-DQA2
NA	TYMP	MRPL1	PSIP1	SEC14L1	CHST12	CAPZA2	GNB2	NA	MAT2B	NA	LSM3	PRMT1
NA	PSME1	HNRNPL	VAMP5	PDLIM4	CHURC1	HNRNPD	COX6C	NA	HDAC1	NA	ARPC3	NME4
NA	TGFB1	FABP5	EVI2B	HSP90B1	CIRBP	DLC1	SERINC1	NA	CCNB1IP1	NA	PSMC6	TNFRSF1A
NA	GSTK1	MIR24-2	GABARAPL1	RPSA	CISD3	MFAP2	ICAM1	NA	RASSF5	NA	MAP4	TSPAN1
NA	ARHGAP15	DUSP18	METRNL	PTTG1IP	CKAP4	LDB2	DRAM2	NA	TRIM59	NA	BMPR2	S100A13
NA	SERTAD1	CEBPB	RSL24D1	RAI14	CLDN1	PTRF	FEZ1	NA	CYB5B	NA	FXYD5	CD27
NA	RCN2	CD2BP2	RRAD	RPL24	CLDN3	SDC2	SDC4	NA	TSC22D1	NA	IFI16	RPL15
NA	SNORA76	FAM208B	CD151	GPR182	CLDN4	SULF2	RNASE1	NA	SELT	NA	GRHPR	MBTPS1
NA	ATP1A1	TOPORS	AXL	PSME1	CLDN7	NME4	OAZ1	NA	NEDD9	NA	GTF2A2	LSP1
NA	FN1	TMEM59	ZNF800	VCAN	CLEC2B	ARL5B	HLA-DRA	NA	PSPC1	NA	TBX2	EMP2
NA	FDX1	MRPL47	SLC16A3	JUND	CLEC2D	GGCT	TRIM22	NA	WIPI2	NA	PAFAH1B1	GPSM3
NA	IL4R	SKAP1	IL4R	SLC29A1	CLIC1	THBS1	P4HB	NA	EIF4A2	NA	CHMP1B	COMMD3
NA	COX14	SUGT1	IL32	SEPW1	CLPP	SWI5	TPI1	NA	NT5C2	NA	OR51E1	PDXK
NA	MIDN	TALDO1	ARMC10	PRKAR1A	CLTB	GIMAP7	OSM	NA	SCAMP3	NA	C17orf85	ERH
NA	C12orf75	HMCES	MFSD12	HLA-DPA1	CMAS	KRT18	RBP4	NA	MRPL33	NA	CRK	SPSB1
NA	RUNX3	ANKLE2	ATP5H	LY96	CMC1	EVA1B	ADIRF	NA	ITGB1	NA	ISG20L2	CST6
NA	PPP1R7	NFATC2IP	NGFRAP1	MASP1	CMC2	SLC3A2	PLXDC2	NA	KDM3A	NA	PPDPF	RPL18
NA	GNAI2	RARRES2	SH3KBP1	RPL36A	CNIH4	ICAM1	PQLC3	NA	ATP5F1	NA	AIG1	HINT1
NA	PBXIP1	SYNE2	MX1	CASC15	CNOT7	CD164	CKLF	NA	S100A13	NA	UQCRC2	PSMB10
NA	CASP4	TRAF5	GLUL	VMO1	COL17A1	CLK1	SGK1	NA	IK	NA	TMEM14B	A2M
NA	CXCL1	KIN	CCL4	RPL35A	COL6A1	UBE2E2	CLEC12A	NA	KRT18	NA	NFIA	ITGB4
NA	PIK3IP1	TOP1	HGSNAT	C8orf59	COMMD1	PVALB	FEZ2	NA	AHI1	NA	TNFRSF12A	GABARAPL1
NA	XBP1	SERTAD1	LMBR1L	JAG1	COMMD8	OAZ2	CLIC1	NA	NGFRAP1	NA	NUCB1	CSRP1
NA	H2AFV	SRP19	C1QBP	YBX1	COPE	FGF7	NME1	NA	ZFAND3	NA	ADI1	TYROBP
NA	LYSMD2	EIF3E	TTYH3	MLF2	COPRS	ID2	TUBA1B	NA	PSMB10	NA	DPY30	PLK3
NA	SFT2D1	MRPS6	VAMP2	DST	COPS3	ZCRB1	TRABD	NA	RBBP4	NA	ASAH1	KHDRBS1
NA	GNG5	KIF20B	CTA-384D8.34	PLAC9	COPS4	HLA-DPA1	FGA	NA	H3F3B	NA	TTC1	RPS8
NA	ATPIF1	KRT8	MAP3K2	CRIP2	CORO1A	HIF1A	CD83	NA	COPS5	NA	NFASC	IGF1
NA	IL2RB	CMPK1	TNFRSF1B	VMP1	COX14	SRSF2	AKR1C3	NA	ELOVL5	NA	LAMA5	SPARCL1
NA	RORA	XAF1	SQSTM1	CYR61	COX6A1P2	SERF2	GNS	NA	AFG3L2	NA	TSC22D3	RCN2
NA	PFKFB3	VOPP1	TOMM40	ITGA3	CP	LINC00657	CSTA	NA	UAP1	NA	REXO2	EIF3L
NA	CITED2	SRM	JARID2	LGALS3BP	CPM	SLC16A3	RPS26	NA	PHF20L1	NA	DPYSL2	ACTN1
NA	BAG1	PHLDA1	CD80	NFAT5	CREG1	PLA2G16	MS4A4A	NA	UCP2	NA	TMSB10	PSMA3
NA	RP11-138A9.1	IFI6	TAP1	GIMAP5	CREM	GLTSCR2	TGOLN2	NA	CKS2	NA	DNAJB6	FAM118A
NA	AIP	EAPP	IFNGR2	CAPZA2	CRIP1	ST6GAL1	SNCG	NA	XIST	NA	ATP1A1	RPL13A
NA	TNFRSF1B	WDR45B	IL22RA2	RPL13	CRIP2	CCT5	SDF4	NA	MAFF	NA	RPL21	CORO1A
NA	FAM49B	DPM2	CHD2	MAP4	CRNDE	MXRA5	TMEM59	NA	S100A8	NA	TYMP	EIF5
NA	HLA-C	TDG	ZBTB1	SKIL	CRYL1	ITPRIPL2	ARL4C	NA	KRT81	NA	FILIP1L	SLC16A3
NA	TNFRSF14	LEMD3	EMP1	TES	CSK	NUCKS1	TREM1	NA	ID1	NA	MINOS1	INSIG1
NA	MT1X	RARRES3	UBXN1	RPS14	CSNK1E	LEPREL4	FCGR3A	NA	RELB	NA	TPM3	PRKCDBP
NA	NUDT4	NUDC	RBM47	IFI6	CSNK2B	ANTXR1	APP	NA	RBBP8	NA	FHL3	NUDT4
NA	RPSAP58	LSM3	NDUFV2	DUSP6	CST3	YBX1	PRMT10	NA	LAT	NA	MZT2B	MAFF
NA	UBE2L6	CYR61	RNPEP	DLC1	CST6	ARGLU1	FABP3	NA	PRKAR2A	NA	AC140912.1	YWHAH
NA	IFI6	SREK1	LILRB4	CTSB	CST7	PRDX4	CALM2	NA	MRPL11	NA	MPC1	GLTSCR2
NA	FAM46C	RBBP6	NFAT5	SRP14	CSTA	ARL3	MAFB	NA	VAMP5	NA	CRBN	ALKBH5
NA	CCNI	SLTM	FDX1	ADAMTS1	CSTB	TTC3	LGALS8	NA	AP3S1	NA	FBXO7	RELB
NA	CRIP2	GSPT1	RNF11	TSPO	CTBP2	TM4SF1	PDCL3	NA	ABHD2	NA	TUBB6	SFN
NA	FOSB	EIF3A	DYNLRB1	RPL12	CTHRC1	DSTN	SGPP1	NA	SRSF7	NA	NGF	NOMO1
NA	MT-ND3	BUD31	ALCAM	PDIA6	CTNNA1	EPAS1	EIF1B	NA	DDX49	NA	SPARCL1	LST1
NA	TRAPPC6A	HNRNPUL1	S100A11	SNX6	CTNNBIP1	EMILIN1	H2AFV	NA	DCXR	NA	MAP1LC3B	DAP
NA	PPP2R5C	UGCG	SLC43A2	ITGA5	CTNND1	TMED3	EIF4EBP1	NA	TYMP	NA	CCDC102B	ITGA6
NA	TOB2	EIF2AK2	TTC19	KRT18	CTSB	RPS24	DHRS7	NA	SNHG12	NA	CTNNAL1	ERP29
NA	IRF1	ROMO1	CD48	EHD2	CTSD	GPR124	TALDO1	NA	AKIRIN1	NA	GSTA1	DMKN
NA	WFDC2	CNN2	EIF4A3	USP34	CTSH	TOMM20	PHACTR2	NA	RARRES3	NA	NCOA7	KLF3
NA	SPP1	CHORDC1	RNF139	TAF1D	CTSW	CUEDC2	KLF2	NA	PPP1R2	NA	ZFP36L1	CITED2
NA	IER3	EIF6	AP1S2	RPS27A	CTSZ	GPRC5A	NINJ1	NA	CUEDC2	NA	ADRA2A	SNCG
NA	AGR2	IFI27	RAB11A	CBX6	CTTN	EIF1AX	IL8	NA	LGALS3	NA	COX7B	LMAN2
NA	SIK1	CRLS1	DHX9	OCIAD2	CXCL2	HEBP2	GNG5	NA	SMDT1	NA	MTHFD2	ATP1B1
NA	LEPROTL1	POLG	RUNX1	ATF3	CXCR3	MIDN	CLEC5A	NA	FAM210B	NA	IRF2BP2	GMFG
NA	MGP	DAAM1	HSPA9	CD34	CXCR4	KRT8	SNX5	NA	SCP2	NA	MRPL24	LTBR
NA	SSR4	JMY	DNAJC1	MLEC	CYB5A	RAC1	FNBP1	NA	OSER1	NA	GLO1	HSPA1A
NA	PPIA	CAST	FOXO3	AMBP	CYHR1	FAM114A1	CST3	NA	RAB8A	NA	PROCR	SGK1
NA	H2AFX	NUP160	HIC1	TGFB1	CYP2E1	MRPL18	RPLP0	NA	MCM5	NA	PFN2	SLC2A5
NA	EIF4A3	PLEKHO1	SESN2	S100A4	CYR61	COL16A1	BASP1	NA	TGFBR1	NA	SRSF5	OSTC
NA	WAS	TMEM199	PAFAH1B2	MYL12A	CYTIP	UBB	ALCAM	NA	RWDD4	NA	GADD45GIP1	HIST1H2BD
NA	LINC00969	ZBTB43	THBD	CEBPB	DAAM1	H3F3B	C19orf59	NA	ORAI2	NA	TCEAL1	EVI2B
NA	AIM1	MYH9	RASSF5	VAMP8	DAZAP2	MED10	NRIP1	NA	PREP	NA	PPM1G	ATPAF1
NA	COL1A2	HLA-B	FCGR2A	EHD3	DBI	BMP1	ROMO1	NA	ROMO1	NA	PRPF4B	RPS4X
NA	PTPRA	SPINT1	HNRNPF	PPIC	DBNL	FKBP7	CXCL9	NA	ENO1	NA	NCOA4	PKM
NA	IL2RG	DEXI	LYZ	CCDC109B	DCPS	BRI3	STAT1	NA	COPS4	NA	CCNL2	HIF1A
NA	HSPA1A	HAGH	EFHD2	ACVRL1	DCTN3	CFH	TMEM37	NA	RPA1	NA	PPIC	TXNDC11
NA	POLR2G	ANP32E	PYURF	RPS5	DCXR	MMP23B	ARPC5	NA	SNX3	NA	KMT2E	CTNNB1
NA	TAGLN2	TNFSF4	IDO1	MYH9	DDR1	NDFIP1	CAPZA1	NA	LYST	NA	PUF60	ARID5A
NA	PMEPA1	GTF2I	COX6A1P2	TCEAL4	DDT	BSDC1	RPL27	NA	PGLS	NA	FAM133B	APOA1
NA	HNRNPU	YY1	EIF3G	GADD45B	DDX17	CFLAR	LST1	NA	CAPNS1	NA	SSR3	FDX1
NA	ELF3	MIS18BP1	SYAP1	CCL4	DDX21	MRO	VDR	NA	TXLNA	NA	ARL6IP4	ELL2
NA	CHMP1B	SETD2	RNASE6	ECE1	DDX39A	GSTK1	COX5A	NA	MZT2B	NA	NR4A3	SSR2
NA	GLUD1	SLC38A2	ELL2	ETFB	DEF6	CLEC11A	NQO1	NA	CD2BP2	NA	FDFT1	TSR3
NA	AMICA1	VPS29	CCNL1	RPS15	DEK	FEZ2	TNFSF10	NA	DDX24	NA	NFE2L2	GAS6
NA	SLC7A5	NBL1	PRDX3	WNK1	DENND2D	RP11-572C15.6	CHPT1	NA	LACTB	NA	KDELR2	EIF4G2
NA	EFHD2	PLK3	PFDN2	NDRG1	DGCR6L	DAP	MT-CO1	NA	ICAM1	NA	TAF7	MMP24-AS1
NA	LPXN	IL8	RELB	LDHA	DHCR24	FXYD3	HP	NA	ARL6IP5	NA	DDX18	SAR1B
NA	S1PR4	AURKAIP1	MBOAT7	MYEOV2	DHRS1	LAMA4	GATM	NA	IDS	NA	NOP10	CSRNP1
NA	CDKN1B	EIF5B	HMGN1	CCZ1	DHRS3	COL12A1	KLRB1	NA	SSBP4	NA	METTL9	VAMP5
NA	HEBP2	TUBB2A	LEPROTL1	PTGES3	DHRS4L2	CBX6	CCNI	NA	NUCB2	NA	SNRPE	GZMB
NA	SOCS3	PTBP1	NDUFS2	RSL1D1	DHRS9	CTTN	DAZAP2	NA	NT5C	NA	VDAC2	CTGF
NA	COPZ1	ANAPC16	QSOX1	TMEM230	DKK1	PPA1	EIF4A3	NA	STAU2	NA	COPS8	HBEGF
NA	GZMM	CNTRL	PPP4C	ECSCR	DLD	SRSF7	WWP1	NA	FAM118A	NA	ALKBH5	CMTM3
NA	STAT4	GNL3	OPN3	HEG1	DMKN	SAT2	DOK2	NA	RHOC	NA	PALLD	TREM1
NA	ITM2B	RALA	CEBPD	NFKBID	DNAJC1	AKR1B1	MT-ATP6	NA	PRPF18	NA	ADAMTS9	WIPI2
NA	FAM173A	GABARAP	PNPLA8	ARHGDIB	DNAJC15	EIF2S3	CD164	NA	NXF1	NA	POLD4	VCAN
NA	PIP4K2A	ST6GALNAC6	SOCS3	SHFM1	DNAJC8	OCIAD1	IFI44L	NA	MIER1	NA	LIMS1	C11orf58
NA	KTN1	COA6	CASP1	RAMP3	DNAJC9	DPM2	ME1	NA	PCBP1	NA	SSBP1	LCP1
NA	TRAF3IP3	MOB1A	SPEN	PRRC2C	DNMT1	SEC24D	HMOX1	NA	KARS	NA	PLEKHO1	PSMB1
NA	TAP1	C9orf142	PPP1CA	OST4	DPCD	CHMP5	CRELD2	NA	C4orf3	NA	CAMK2G	TIMP3
NA	PRDX1	PTTG1	MAP7D1	TMEM123	DPYS	GPX1	PRKAR1A	NA	TYMS	NA	ANXA4	EDEM1
NA	FAM129A	MAPK6	RAB7A	TPM1	DSG2	SEMA6A	SOX4	NA	SEPT7	NA	ERP44	PLEC
NA	EMP3	APMAP	DNTTIP2	RND3	DSP	LPAR6	VIM	NA	IGLL5	NA	ZBTB8OS	SMARCB1
NA	SMARCA5	PMF1	RNF168	DUSP1	DST	SLC52A2	CYCS	NA	ERP29	NA	MRPS28	CST3
NA	MAP2K1	TMBIM4.1	FAM49B	XAF1	DSTN	RAB34	GABARAPL1	NA	TRAPPC1	NA	SCN3A	NOP10
NA	STAT1	NDUFA7.1	P4HB	GSTO1	DUT	SOCS2	CD4	NA	HNRNPH2	NA	RUNX1	GPX3
NA	ADA	PSMG1	PSMD2	PODXL	EAPP	MEF2C	ZFP36	NA	MARK3	NA	PNMA1	NCF1
NA	ARID5A	HNRNPLL	CCL5	FILIP1L	EBAG9	IAH1	ADAP2	NA	CDC26	NA	SNAPC5	SNRPD1
NA	NME4	IER3	FAM110A	SNRPE	ECH1	PDCD5	ATP6V0B	NA	LGALS1	NA	KHDRBS1	FABP5
NA	PRKAR1A	GZMA	ACTR3	SPINT1	ECHDC1	ARL1	IFI27	NA	API5	NA	SYNPO2	EPCAM
NA	DNTTIP2	FAM46C	RPL18	SPAG9	ECHDC2	NAGK	PHLDA1	NA	S100A10	NA	HNRNPF	NDUFAF3
NA	S100A6	COMMD4	EIF2S3	CHMP3	ECHS1	UGDH	GNA15	NA	MIR142	NA	CDH11	UBE2I
NA	SIT1	ITGB1	EIF5B	ASRGL1	ECI1	STEAP2	NDUFB2	NA	MYO1F	NA	TMEM167A	HNRNPM
NA	RRP7A	TAF10	TMEM123	HEBP2	ECI2	SEZ6L2	CLIC2	NA	TMEM179B	NA	GATM	EIF3E
NA	CDK11A	GON4L	KTN1	PIK3R3	EEF1G	EMP3	HM13	NA	ZRANB2	NA	BHLHE40	IL6
NA	DNAJB9	TCP1	CD14	UNC5B	EFNA1	DCBLD2	RASGEF1B	NA	GNLY	NA	C1S	THBD
NA	MAP3K2	POLD4	TOB2	STK38L	EFNB2	DDX24	LYPD3	NA	CDK16	NA	CAPZA2	RPS15
NA	ELF1	SKA2	CTNNBIP1	C11orf96	EHF	LXN	RNF13	NA	JUN	NA	ANAPC13	RTN4
NA	TMBIM1	SLC20A1	CYSTM1	RPS16	EID1	ITGAV	ETV5	NA	RBL2	NA	CCND1	CDK14
NA	CCDC167	TXNDC17	NFE2L2	CD164	EIF1B	IFT20	PDCD5	NA	SRRM2	NA	ESAM	ABRACL
NA	SLC16A3	HMGCS1	MS4A4A	MPZL2	EIF3B	FLOT1	CEPT1	NA	RORA	NA	PPP1R11	PRNP
NA	SMAP2	MAP4	AKIRIN2	PDCD5	EIF3G	SEC61A1	C1QB	NA	UPF2	NA	GYG1	PCOLCE
NA	ELAVL1	HSPA4	TNFRSF1A	TIMM13	EIF3I	CRYAB	PSMA7	NA	RP11-468E2.4	NA	CTSC	SF3B5
NA	FBXO34	UBXN1	H3F3B	EEF1G	EIF3M	MAP3K13	METTL7B	NA	AVPI1	NA	OLFML2A	GSTP1
NA	BHLHE40	EIF4A3	EREG	RPL26	EIF4A1	TMEM208	ADAMDEC1	NA	NDUFS2	NA	CUTA	SNRPB2
NA	MAL	PDE12	ST14	TTC37	EIF4A3	C8orf4	QPRT	NA	RHOH	NA	THRAP3	WDR83OS
NA	ZBTB43	PBDC1	ITGB1	NAA10	EIF4E	JOSD2	SNAI1	NA	VPS51	NA	LMNA	IFITM2
NA	ITM2A	SDF2L1	RRBP1	MGAT1	EIF4G1	TPP1	ORM1	NA	ACTA2	NA	H2AFJ	ANKRD37
NA	FYB	VDAC1	AC000003.2	LMCD1	EIF5A	CLDN4	JUND	NA	NINJ1	NA	LYZ	TRAF4
NA	PGK1	UPP1	GTF2A2	ADAMTS5	EIF5AL1	SEPT9	ABCA1	NA	ANKRD12	NA	NRP1	COL9A3
NA	LDHB	ITGB2	CAPZA2	DUSP23	ELF1	COL15A1	SERPINH1	NA	GORASP2	NA	PMVK	TERF2IP
NA	PKM	AKAP5	USP15	ITGA6	ELF3	PPIG	HNMT	NA	CBX3	NA	STK19	SERPINB1
NA	CD28	DIAPH1	IRF2BP2	GSDMD	EMB	S100A4	EIF1AY	NA	TRA2B	NA	C15orf48	ARPC5
NA	PPP1R10	EVI2B	TBXAS1	RAB7A	EMC10	MRPL3	UBC	NA	UTRN	NA	ZC3H12A	ATP5A1
NA	HDAC1	PGP	NDEL1	SLC16A3	EMP1	HINT2	FYB	NA	GPSM3	NA	CTSL	CTA-384D8.34
NA	GPR65	HNRNPU	FLOT1	TPR	EMP2	EGR2	MARCH1	NA	FAM173A	NA	GLOD4	MT-ND6
NA	CXCL2	DEK	PLEKHJ1	PPA1	EMP3	PDLIM4	CYBB	NA	PPCS	NA	PDGFA	TSPAN3
NA	CCNG1	AFAP1L2	NFIL3	RPS28	ENAH	ADM	HSPB1	NA	NAMPT	NA	MACF1	CD79B
NA	ATM	GNG5	ZBTB43	FHL3	ENY2	BCAS2	CDKN1A	NA	DRAP1	NA	NME4	SNORD3A
NA	RBCK1	IDI1	CDC42SE2	PNN	EPCAM	LTBP2	RPS7	NA	C1QA	NA	ADH5	BHLHE40
NA	CNOT6L	USP10	MAP2K1	C2orf88	EPS8	HOPX	CXCL2	NA	PIK3IP1	NA	CSRNP1	EIF2S2
NA	PLIN2	CDC42EP3	PDE4A	SYNCRIP	EPS8L2	RPL27	PIM3	NA	ERGIC1	NA	HAMP	ANP32B
NA	EIF4A2	OAS3	TAF10	PI3	ERBB3	CCL23	CORO1A	NA	PTCD3	NA	ACAA1	MCUR1
NA	YWHAH	UBE2K	PVRL2	UBE2L6	EREG	CASP4	LDHB	NA	SYAP1	NA	RNF213	CTSZ
NA	HLA-DRB1	TMEM256	BZW1	PABPC1	ERP29	MOB4	CXorf40B	NA	TUBA1B	NA	TBCA	PDLIM7
NA	AP3S1	GRB2	GTF2I	RNASEK	ERRFI1	CTGF	FFAR2	NA	DNAJC7	NA	NAB1	TMEM107
NA	TUBA1C	DNAJC9	GNPTAB	ESD	ESD	SEC14L1	GPX1	NA	PSMB9	NA	PCYOX1	HLA-A
NA	CCNH	USP48	CHRNE	PDLIM7	ESRP1	MMP24-AS1	HIC1	NA	PNRC1	NA	TGFB1I1	HDLBP
